
[00:00:00.000 --> 00:00:02.000]  請大家低頭,我們一齊禱告
[00:00:02.000 --> 00:00:06.180]  JESUS,多謝祢的恩典
[00:00:06.180 --> 00:00:09.600]  在祢的裡面,永遠無絕路
[00:00:09.600 --> 00:00:14.140]  實際上,這個世界無論多麼亂七八糟
[00:00:14.140 --> 00:00:19.680]  在祢的裡面,仍然有活路,是有盼望
[00:00:19.680 --> 00:00:22.360]  我多謝祢給我們的應許
[00:00:22.360 --> 00:00:25.600]  而祢自己的應許,不是只講的
[00:00:25.600 --> 00:00:27.600]  祢是做得到的
[00:00:27.600 --> 00:00:29.600]  多謝祢
[00:00:29.600 --> 00:00:32.480]  我們聽祢的禱告,預備我們的心
[00:00:32.480 --> 00:00:34.480]  去聽祢自己的說話
[00:00:34.480 --> 00:00:36.480]  奉耶穌基督的名咁
[00:00:36.480 --> 00:00:38.480]  阿們
[00:00:38.480 --> 00:00:40.480]  因為是第一次
[00:00:40.480 --> 00:00:43.100]  過年之後,第一次跟大家講到
[00:00:43.100 --> 00:00:45.100]  我都要祝福大家
[00:00:45.100 --> 00:00:47.100]  蛇年
[00:00:47.100 --> 00:00:49.100]  到底怎樣恭喜大家好呢
[00:00:49.100 --> 00:00:53.100]  開頭的兩句
[00:00:53.100 --> 00:00:55.100]  是我們的禁忌
[00:00:55.100 --> 00:00:57.100]  靜心言聖道
[00:00:57.100 --> 00:00:59.600]  建步根主宗
[00:00:59.600 --> 00:01:01.600]  好像Raymond一樣
[00:01:01.600 --> 00:01:03.600]  亦好像我們很多的弟兄姊妹一樣
[00:01:03.600 --> 00:01:05.600]  這樣來服侍
[00:01:05.600 --> 00:01:07.600]  接著下面
[00:01:07.600 --> 00:01:09.600]  就是蛇年我的恭祝語
[00:01:09.600 --> 00:01:11.600]  靈巧象蛇
[00:01:11.600 --> 00:01:13.600]  順良象急
[00:01:13.600 --> 00:01:15.600]  世界變幻
[00:01:15.600 --> 00:01:17.600]  處變不驚
[00:01:17.600 --> 00:01:19.600]  我講完這次
[00:01:19.600 --> 00:01:21.600]  你看到這個世界
[00:01:21.600 --> 00:01:23.600]  你不怕都好難
[00:01:23.600 --> 00:01:25.600]  但是
[00:01:25.600 --> 00:01:27.600]  我告訴大家
[00:01:27.600 --> 00:01:29.600]  我們真的不需要怕
[00:01:29.600 --> 00:01:31.600]  應該怕的
[00:01:31.600 --> 00:01:33.600]  是令人怕的人
[00:01:33.600 --> 00:01:35.600]  更加要怕
[00:01:35.600 --> 00:01:37.600]  蛇年怎樣過呢
[00:01:37.600 --> 00:01:39.600]  是因為戰爭的影響
[00:01:39.600 --> 00:01:41.600]  生意不景,通貨膨脹
[00:01:41.600 --> 00:01:43.600]  前途未卜
[00:01:43.600 --> 00:01:45.600]  失業率高企
[00:01:45.600 --> 00:01:47.600]  建造業是重災區
[00:01:47.600 --> 00:01:49.600]  政府的財赤
[00:01:49.600 --> 00:01:51.600]  繼續不斷在增加
[00:01:51.600 --> 00:01:53.600]  不只是香港,是世界性
[00:01:53.600 --> 00:01:55.600]  全球
[00:01:55.600 --> 00:01:57.600]  西局不明朗
[00:01:57.600 --> 00:01:59.600]  危機重重
[00:01:59.600 --> 00:02:01.600]  但是我發覺蛇年一開始的時候
[00:02:01.600 --> 00:02:03.600]  他就先帶了一個好消息
[00:02:03.600 --> 00:02:05.600]  給今天很多的人
[00:02:05.600 --> 00:02:07.600]  這個消息就是
[00:02:07.600 --> 00:02:11.600]  自從
[00:02:11.600 --> 00:02:13.600]  因為中國一位的藝人
[00:02:13.600 --> 00:02:15.600]  王昇
[00:02:15.600 --> 00:02:17.600]  被拐
[00:02:17.600 --> 00:02:19.600]  劫持
[00:02:19.600 --> 00:02:21.600]  做人質
[00:02:21.600 --> 00:02:23.600]  中國連同其他五個東南亞
[00:02:23.600 --> 00:02:25.600]  國家聯合的行動
[00:02:25.600 --> 00:02:27.600]  就倒破在緬甸
[00:02:27.600 --> 00:02:29.600]  境內三不管地帶
[00:02:29.600 --> 00:02:31.600]  就是
[00:02:31.600 --> 00:02:33.600]  苗底雅阿波羅園
[00:02:33.600 --> 00:02:35.600]  區最大型
[00:02:35.600 --> 00:02:37.600]  的網騙中心
[00:02:37.600 --> 00:02:39.600]  你沒有辦法
[00:02:39.600 --> 00:02:41.600]  想得到
[00:02:41.600 --> 00:02:43.600]  這次一個行動
[00:02:43.600 --> 00:02:45.600]  是拘捕七萬人
[00:02:45.600 --> 00:02:47.600]  都是參與網騙
[00:02:47.600 --> 00:02:49.600]  七萬人
[00:02:49.600 --> 00:02:51.600]  救人質有
[00:02:51.600 --> 00:02:53.600]  一百六十幾
