
[00:00:00.000 --> 00:00:06.000]  今天這個題目《聖經中的雲彩與我何干》
[00:00:06.000 --> 00:00:08.000]  與我何干? 關我什麼事?
[00:00:08.000 --> 00:00:11.000]  講廣東話真的很俗 關我什麼事?
[00:00:11.000 --> 00:00:14.000]  或者說跟它有什麼關係?
[00:00:14.000 --> 00:00:18.000]  其實這個題目是怎麼出來的呢?
[00:00:18.000 --> 00:00:21.000]  給大家看一張照片
[00:00:21.000 --> 00:00:24.000]  《雲彩從那裡來》
[00:00:24.000 --> 00:00:26.000]  我前兩個星期 剛剛前兩個星期
[00:00:26.000 --> 00:00:30.000]  母親節那個星期 我就不在這裡慶祝
[00:00:30.000 --> 00:00:33.000]  就去了德州休斯頓那裡
[00:00:33.000 --> 00:00:37.000]  就有一個教會 它就叫我過去
[00:00:37.000 --> 00:00:40.000]  跟它們分享三篇信息
[00:00:40.000 --> 00:00:44.000]  那我回程的時候 在飛機上
[00:00:44.000 --> 00:00:46.000]  我不是坐窗口位的
[00:00:46.000 --> 00:00:49.000]  我是坐外面的 因為方便出入
[00:00:49.000 --> 00:00:55.000]  但是望到外面 剛剛就有一些雲海在那裡
[00:00:55.000 --> 00:00:58.000]  我就叫坐窗口的那個先生
[00:00:58.000 --> 00:01:01.000]  我問他可不可以幫我拍一張照片
[00:01:01.000 --> 00:01:05.000]  他就給我手機 幫我拍了兩張
[00:01:05.000 --> 00:01:07.000]  現在放了一張照片上來
[00:01:07.000 --> 00:01:13.000]  當我遠遠望向窗口外面的雲的時候
[00:01:13.000 --> 00:01:16.000]  突然間那個思想就來了
[00:01:16.000 --> 00:01:20.000]  因為有人問過一個問題 是很好笑的
[00:01:20.000 --> 00:01:24.000]  他說 聖經有這麼多年歷史
[00:01:24.000 --> 00:01:27.000]  這麼多人從舊約信到新約
[00:01:27.000 --> 00:01:29.000]  接著又來到現在現代
[00:01:29.000 --> 00:01:33.000]  這麼多人信耶穌 耶穌基督回來的時候
[00:01:33.000 --> 00:01:37.000]  就說要在空中相會 怎麼站得下
[00:01:37.000 --> 00:01:41.000]  他問那個老師 怎麼站得下
[00:01:41.000 --> 00:01:44.000]  整個天可以裝得下這麼多人嗎
[00:01:44.000 --> 00:01:47.000]  歷世歷代 這麼多人信耶穌
[00:01:47.000 --> 00:01:50.000]  這麼多神的兒女 那怎麼可以裝得下
[00:01:50.000 --> 00:01:54.000]  我說我在窗口外面望出去
[00:01:54.000 --> 00:01:56.000]  我覺得那個姊妹不用擔心
[00:01:56.000 --> 00:01:59.000]  我們的飛機這麼小 窗口這麼小
[00:01:59.000 --> 00:02:01.000]  我望出去都望到無涯
[00:02:01.000 --> 00:02:06.000]  就是沒有一個邊界 是很偉大
[00:02:06.000 --> 00:02:09.000]  以往坐飛機沒那麼體會到一件事
