
[00:00:00.000 --> 00:00:05.120]  頂子們,我周不時的手機突然響
[00:00:05.120 --> 00:00:08.960]  然後有人打來,這裡是入境處
[00:00:08.960 --> 00:00:13.820]  或者這裡是郵局,有什麼寄給你,你快點來拿或者什麼
[00:00:13.820 --> 00:00:16.120]  不知道大家有沒有收到這些電話?
[00:00:16.120 --> 00:00:19.460]  很多是不是?很多人都收過
[00:00:19.460 --> 00:00:25.860]  其實香港過去這幾年,可以說不知為什麼突然間好像發生很多的騙案
[00:00:25.860 --> 00:00:31.240]  在網上看到一個新聞,只是十天前
[00:00:31.240 --> 00:00:37.380]  警方在最近一次的行動裏面,偵破了179宗騙案
[00:00:37.380 --> 00:00:40.200]  涉及的款項是5億多
[00:00:40.200 --> 00:00:45.320]  其中一宗最大的就是一個70歲的女商人
[00:00:45.320 --> 00:00:51.460]  竟然在兩年之內,被人騙了將近2億6千萬
[00:00:51.460 --> 00:00:55.820]  騙徒的手法可以說層出不窮
[00:00:55.820 --> 00:00:58.900]  你避極,他都好像接觸到你的
[00:00:58.900 --> 00:01:03.240]  他們最終的目的,當然是騙錢
[00:01:03.240 --> 00:01:07.340]  不論手法是怎樣,他騙我們的金錢是多少
[00:01:07.340 --> 00:01:12.980]  但是這些行為,都是社會上用不下的罪行
[00:01:12.980 --> 00:01:18.100]  我相信當中每一個人,看到這些事情都很想
[00:01:18.100 --> 00:01:21.160]  警方可以將這些人繩之於法
[00:01:21.160 --> 00:01:24.240]  讓他們受到法律的制裁
[00:01:24.240 --> 00:01:27.820]  今天我們在經文那裏,又看到另一宗騙案
[00:01:27.820 --> 00:01:34.220]  不過這個騙案,雖然手法都有一點點不太好
[00:01:34.220 --> 00:01:39.080]  不過我給了三個字去歸納出來,就是錯誤了
[00:01:39.080 --> 00:01:44.980]  怎樣錯誤呢?我們一會兒一起來看看
[00:01:44.980 --> 00:01:47.800]  《約書記》第九章之前
[00:01:47.800 --> 00:01:50.600]  如果大家有看到頭八章的話
[00:01:50.600 --> 00:01:54.680]  你要知道,是說他們過了約旦河
[00:01:54.680 --> 00:02:00.840]  然後他們就開始了攻佔加南地的戰爭
[00:02:00.840 --> 00:02:03.400]  約書亞帶領著以色列人
[00:02:03.400 --> 00:02:06.480]  他們先後攻陷了耶利歌城
[00:02:06.480 --> 00:02:09.540]  大家記不記得耶利歌城是怎樣倒塌的?
[00:02:09.540 --> 00:02:15.940]  有一個很神蹟地,靠著耶和華,耶利歌城倒塌
[00:02:15.940 --> 00:02:20.040]  然後他們又攻陷了這個艾城
[00:02:20.040 --> 00:02:22.600]  不過來到第九章的時候
[00:02:22.600 --> 00:02:25.160]  在頭兩節就這樣說
[00:02:25.160 --> 00:02:28.480]  他說在約旦河西,住在山上高原
[00:02:28.480 --> 00:02:32.840]  和對著黎巴嫩山大海沿岸所有的王
[00:02:32.840 --> 00:02:38.980]  就是黑人、亞摩利人、加南人、比利西人、希美人、耶布斯人的王
[00:02:38.980 --> 00:02:46.160]  聽見這些事,就是說約書亞和以色列人他們攻陷很多城的這些事
[00:02:46.160 --> 00:02:52.560]  他們就聚集起來,同心協力要和約書亞和以色列人交戰
[00:02:52.560 --> 00:02:57.940]  似乎他們聽到很多以色列人節節勝利的消息之後
[00:02:57.940 --> 00:03:01.520]  他們都沒有害怕,反而要亂手
[00:03:01.520 --> 00:03:06.640]  希望靠著他們眾人的力,和以色列人決一死戰
[00:03:06.640 --> 00:03:12.020]  不過另一邊廂有一幫人跟他們剛剛不同,相反
[00:03:12.020 --> 00:03:14.320]  這一幫就是欺騙的居民
[00:03:14.320 --> 00:03:19.180]  他們聽到約書亞向耶利歌和艾誠所行的事
[00:03:19.180 --> 00:03:22.260]  反而他們就有另一個想法
[00:03:22.260 --> 00:03:24.560]  他們就想了一條主意
[00:03:24.560 --> 00:03:26.600]  這裡說他們施詭計
[00:03:26.600 --> 00:03:36.600]  什麼詭計呢?就是他們假扮是一些使者來見約書亞
[00:03:36.600 --> 00:03:40.940]  我們要了解一下,這一幫的「欺騙人」
[00:03:40.940 --> 00:03:43.760]  究竟他們是什麼人呢?
[00:03:43.760 --> 00:03:48.360]  如果我們回顧《創世紀》第十章那裡
[00:03:48.360 --> 00:03:53.480]  那裡提到加南生鳥長子西頓又生黑
[00:03:53.480 --> 00:03:59.880]  以及耶布斯人、阿摩利人、格加薩人、希美人、亞基人等等等等
[00:03:59.880 --> 00:04:03.480]  後來這些加南人的宗族就分散了
[00:04:03.480 --> 00:04:08.340]  大家看那張圖片,知不知道這幾個是什麼人呢?
[00:04:08.340 --> 00:04:13.720]  有一個爸爸,然後有三個兒子,這幫是什麼人呢?
[00:04:13.720 --> 00:04:16.280]  是羅亞,羅亞有三個兒子
[00:04:16.280 --> 00:04:21.140]  其中一個兒子就叫加南,不知道誰是誰呢?
[00:04:21.140 --> 00:04:29.340]  閃、含、瓦、忽,阿含,然後他就生了加南
[00:04:29.340 --> 00:04:36.240]  閃、含、瓦、忽是羅亞的三個兒子,加南就在含那裡出來
[00:04:36.240 --> 00:04:39.580]  然後加南就生了希美人
[00:04:39.580 --> 00:04:46.240]  所以其實是欺騙人,是加南七族中的希美人
[00:04:46.240 --> 00:04:49.820]  在《約書阿記》九章七節那裡說到,他們是希美人來的
[00:04:49.820 --> 00:04:55.200]  所以你看回那個歷史,就知道其實羅亞他的後代
[00:04:55.200 --> 00:04:58.280]  去到他阿含,然後又生了加南
[00:04:58.280 --> 00:05:02.360]  然後加南再下去他的後代,就出了希美人
[00:05:02.360 --> 00:05:06.960]  所以其實是欺騙人,他們是加南七族的人
[00:05:06.960 --> 00:05:13.360]  而加南七族的人,他們有什麼命運呢?
[00:05:13.360 --> 00:05:18.740]  其實在耶和華對以色列人曾經說過一句話
[00:05:18.740 --> 00:05:25.400]  就是說他們進入加南之後,是要將這些加南人去滅盡的
[00:05:25.400 --> 00:05:30.000]  在《新明記》二十章十六到十八節那裡這麼說
[00:05:30.000 --> 00:05:34.100]  這裡是複述耶和華對以色列人的吩咐
[00:05:34.100 --> 00:05:42.560]  他說:你進入這些加南人的地方,凡有氣息的,連一個都不可以讓他活著
[00:05:42.560 --> 00:05:48.440]  只要照著耶和華你的神吩咐你的,將黑人、亞摩利人、加南人
[00:05:48.440 --> 00:05:52.020]  比利西人、希美人、耶布斯人完全滅絕
[00:05:52.020 --> 00:05:58.160]  免得他們教導你們學習一切可憎的事,就是他們對自己的神所行的事
[00:05:58.160 --> 00:06:01.500]  以致你們得罪耶和華,你們的神
[00:06:01.500 --> 00:06:06.100]  這裡你聽到的時候,可能你會覺得,哇,為什麼我們的神這麼殘忍?
[00:06:06.100 --> 00:06:08.920]  為什麼真的要滅光這些人呢?
[00:06:08.920 --> 00:06:14.820]  其實如果你留意《聖經》一直說的話,你會知道
[00:06:14.820 --> 00:06:22.500]  這裡也說,他們教導你們學習一切可憎的事,就是他們對自己的神所行的事
[00:06:22.500 --> 00:06:27.100]  那這些加南人,他們通常向這些神做些什麼呢?
[00:06:27.100 --> 00:06:33.500]  在《聖經》裡面,你會發現,其實他們不單止拜他們的神,那些偶像
[00:06:33.500 --> 00:06:40.400]  他們當中很多的同性戀,有亂倫,還有他們將他們的兒女獻為祭
[00:06:40.400 --> 00:06:44.000]  燒死他們,獻祭,接著有繡交等等
[00:06:44.000 --> 00:06:49.880]  其實上帝已經忍耐了他們幾百年,要他們悔改,但是他們都沒有悔改
[00:06:49.880 --> 00:06:54.500]  所以上帝才有這樣的命令
[00:06:54.500 --> 00:07:03.200]  免得他們都去教壞這些以色列人,以及得罪耶和華神
[00:07:03.200 --> 00:07:09.340]  所以這個嚴格來說,其實是上帝對人,那個去到絕頂敗壞
[00:07:09.340 --> 00:07:14.720]  不願悔改,死不悔改,所行的審判
[00:07:14.720 --> 00:07:23.420]  當這些的機騙人,他聽到約書亞,他們說怎樣奇妙地滅了耶利哥和艾成之後
[00:07:23.420 --> 00:07:30.080]  又聽到他們連河東的那兩個王都贏了,滅了
[00:07:30.080 --> 00:07:35.960]  他們很害怕,他們不像剛才那幾個的王
[00:07:35.960 --> 00:07:39.300]  而是他們覺得只知道死定了
[00:07:39.300 --> 00:07:46.980]  如果他們強行去跟以色列人對戰的話,他們只知道自己是死路一條
[00:07:46.980 --> 00:07:51.080]  所以為了保命,他們就設了一個計謀
[00:07:51.080 --> 00:07:59.020]  這個計謀其實就在第4到13節那裡說了很多,剛才我相信大家都看了
[00:07:59.020 --> 00:08:06.700]  他們假扮是從遠方,很遠的地方來求和的使者
[00:08:06.700 --> 00:08:12.340]  他們用什麼去證明他們是很遠來的,我們是走了很久的路了
[00:08:12.340 --> 00:08:17.700]  他們就拿出那些又爛又舊的三腹鞋襪,都是爛的
[00:08:17.700 --> 00:08:22.300]  還有那些餅都碎了,乾了,可能發霉了
[00:08:22.300 --> 00:08:26.660]  拿出來去證明他們的確是走了很遠的路
[00:08:26.660 --> 00:08:32.300]  來求和的,我們是帶著善意的,不是想來打仗,是想求和
[00:08:32.300 --> 00:08:36.380]  然後還有就是他們說了很多的好說話
[00:08:36.380 --> 00:08:45.100]  我們聽到你的神,他之前在埃及地和約旦河東向那兩個王做的那些事情
[00:08:45.100 --> 00:08:48.420]  我們都聽到他的名聲
