
[00:00:00.000 --> 00:00:03.300]  弟兄姊妹,我們來到思想
[00:00:03.300 --> 00:00:05.540]  是啟示錄第二、第三章裡面
[00:00:05.540 --> 00:00:11.800]  七間教會的信的最後三卷的其中兩封
[00:00:11.800 --> 00:00:16.100]  是撒迪教會和菲拉鐵非教會
[00:00:16.100 --> 00:00:18.500]  弟兄,我們這樣讀一次
[00:00:18.500 --> 00:00:21.100]  我們都稍稍會體會到
[00:00:21.100 --> 00:00:23.600]  撒迪教會和菲拉鐵非教會
[00:00:23.600 --> 00:00:27.500]  同樣都處於一個高壓的生活當中
[00:00:27.500 --> 00:00:28.300]  還記得嗎?
[00:00:28.300 --> 00:00:30.500]  其實在當時的世界
[00:00:30.500 --> 00:00:32.500]  七封詩信的其他城市
[00:00:32.500 --> 00:00:36.100]  大約都有類似的經歷
[00:00:36.100 --> 00:00:38.600]  在羅馬帝國的統治之下
[00:00:38.600 --> 00:00:41.300]  然後有很多異邦的神
[00:00:41.300 --> 00:00:44.800]  當時的人是很迷入去的
[00:00:44.800 --> 00:00:47.800]  也有君王的崇拜
[00:00:47.800 --> 00:00:52.000]  要他們崇拜羅馬帝國的君王
[00:00:52.000 --> 00:00:53.900]  然後他們做生意
[00:00:53.900 --> 00:00:57.300]  都是有一種要搞關係的那種
[00:00:57.300 --> 00:00:59.300]  以至你要加入他們的工會
[00:00:59.300 --> 00:01:03.500]  然後才可以做生意等等
[00:01:03.500 --> 00:01:06.900]  不過是撒迪的教會
[00:01:06.900 --> 00:01:08.900]  可能他們都還經歷
[00:01:08.900 --> 00:01:11.000]  或者特別是在這裡
[00:01:11.000 --> 00:01:13.400]  你看到撒迪的教會
[00:01:13.400 --> 00:01:16.700]  主耶穌只是責備他們
[00:01:16.700 --> 00:01:20.100]  沒有半點的讚賞
[00:01:20.100 --> 00:01:23.700]  甚至責備他們是第一節
[00:01:23.700 --> 00:01:27.800]  他說你們好像活的,但實際上是死的
[00:01:27.800 --> 00:01:33.000]  意味著他們是一種衰殘、暗淡的生命
[00:01:33.000 --> 00:01:34.600]  但相反
[00:01:34.600 --> 00:01:36.800]  菲拉鐵飛的教會
[00:01:36.800 --> 00:01:38.000]  剛才有沒有印象?
[00:01:38.000 --> 00:01:40.300]  有沒有責備他們?
[00:01:40.300 --> 00:01:41.300]  沒有
[00:01:41.300 --> 00:01:42.200]  只是相反
[00:01:42.200 --> 00:01:44.800]  只有讚賞、肯定
[00:01:44.800 --> 00:01:46.100]  是讓他們
[00:01:46.100 --> 00:01:47.300]  或者讚賞他們
[00:01:47.300 --> 00:01:51.000]  就是顯示到一種福音的光輝
[00:01:51.000 --> 00:01:53.300]  一種生命力
[00:01:53.300 --> 00:01:55.400]  是的,撒迪教會發生什麼事?
[00:01:55.400 --> 00:02:01.100]  這裡其實沒有直接和明明的說
[00:02:01.100 --> 00:02:05.200]  不過除了他們是面對這種高壓的生活之中
