
[00:00:00.000 --> 00:00:03.460]  今天是香港每四年一度的立法會選舉
[00:00:03.460 --> 00:00:06.600]  今天是香港每四年一度的立法局的選舉
[00:00:06.600 --> 00:00:10.300]  我提醒大家履行你作為香港市民的責任
[00:00:10.300 --> 00:00:14.700]  我提醒大家履行成為香港市民的責任
[00:00:14.700 --> 00:00:17.800]  特別香港現在存在很多的矛盾
[00:00:17.800 --> 00:00:20.100]  特別香港現在存在很多的矛盾
[00:00:20.100 --> 00:00:23.700]  求神賜你有智慧的去運用你的一票
[00:00:23.700 --> 00:00:26.500]  求神賜你有智慧的運用你的一票
[00:00:26.500 --> 00:00:29.300]  選出一些真正為香港福祉的議員
[00:00:29.300 --> 00:00:32.100]  選出一些真正為香港福祉的議員
[00:00:32.100 --> 00:00:35.900]  美國黑人人權領袖馬丁路德金穆斯曾經這樣說
[00:00:35.900 --> 00:00:41.300]  美國的黑人人權領袖馬德路德金曾經這樣說
[00:00:41.300 --> 00:00:44.200]  他說我們這一代最終感到悔恨
[00:00:44.200 --> 00:00:46.700]  他說我們這一代最終感到悔恨
[00:00:46.700 --> 00:00:49.700]  他說不是因為壞人可憎的言行
[00:00:49.700 --> 00:00:51.900]  不是因為壞人可憎的言行
[00:00:51.900 --> 00:00:54.700]  因為好人那種可怕的沉默
[00:00:54.700 --> 00:00:57.100]  因為是好人那種可怕的沉默
[00:00:57.100 --> 00:00:59.100]  壞人壞我們就預了
[00:00:59.100 --> 00:01:00.700]  壞人壞我們就預了
[00:01:00.700 --> 00:01:04.200]  但是好人我們對一些不公義的事情沉默
[00:01:04.200 --> 00:01:05.200]  這是很可怕的
[00:01:05.200 --> 00:01:08.900]  但是好人我們對不公義的事情沉默
[00:01:08.900 --> 00:01:12.000]  所以大家不要做沉默的好人
[00:01:12.000 --> 00:01:13.900]  所以大家不要做沉默的好人
[00:01:13.900 --> 00:01:16.900]  善用你手上的一票去改變香港的社會
[00:01:16.900 --> 00:01:20.100]  善用你手上的一票去改變香港的社會
[00:01:20.100 --> 00:01:22.300]  作為牧師我只會提醒大家投票
[00:01:22.300 --> 00:01:25.400]  作為牧師我只會提醒大家投票
[00:01:25.400 --> 00:01:27.500]  我不會干預大家投票的取向
[00:01:27.500 --> 00:01:29.800]  我不會干預大家投票的取向
[00:01:29.800 --> 00:01:31.300]  你可以和你家人商量
[00:01:31.300 --> 00:01:32.700]  你可以和你家人商量
[00:01:32.700 --> 00:01:34.900]  你可以問一下你身邊的朋友
[00:01:34.900 --> 00:01:36.500]  你可以問一下你身邊的朋友
