
[00:00:00.000 --> 00:00:10.300]  我想問問在座,即是在座各位,不論後座少少,有些是我們的哥哥姐姐,大哥哥大姐姐
[00:00:10.300 --> 00:00:16.800]  我想問問有沒有人未聽過甚麼叫上網這兩個字的,都聽過是嗎?
[00:00:16.800 --> 00:00:26.400]  有沒有人未試過上網的呢,但是未試過呢,我覺得這個世代是都有的,都有的
[00:00:26.400 --> 00:00:37.300]  有沒有人未試過上網的,你舉舉手可以嗎?我們為這位姐妹感謝神,因為她是汽油品種來的,是不是很難得的,你知不知道?
[00:00:37.300 --> 00:00:45.800]  喂,即是你不要笑,即是小弟學上網的時候都烏噹噹的,搞好那些東西,為甚麼他永遠都不著呢?
[00:00:45.800 --> 00:00:55.300]  我想想這方面你是比我厲害的,上網方不方便?上網交卡數可以嗎?上網看電視可以嗎?上網看電影又可以?
[00:00:55.300 --> 00:01:06.500]  這個世代差不多是,即是你上網可以做到很多很多的東西的,即是你一上網,差不多是否接通了這個世界的互聯網?
[00:01:06.500 --> 00:01:22.300]  真是的,Rachel點頭,還舉了人家的手指頭,很方便,不過大家有沒有想過一件事呢,這個互聯網是我們屬世裏面的互聯網來的,帶給我們很多方面
[00:01:22.300 --> 00:01:37.300]  不過有沒有屬天的互聯網呢?不知道有沒有想過,前面點頭,可能你看過我的PowerPoint,不知道你有沒有想過,是有屬天的互聯網的
[00:01:37.300 --> 00:02:00.300]  當然我覺得如果你有你手頭上的聖經,我鼓勵你揭開你手上的聖經,如果你沒有你手頭上的聖經,你可以打開你的I密I密那些,不要只依靠PowerPoint,咦,這麼快,我都沒有開,先彈上去,OK
[00:02:00.300 --> 00:02:22.300]  對了,你可以先打開它,為什麼呢?這麼重要呢?因為你的手機可不可以寄存一些東西?可以寄存一些東西,你的聖經呢?你可以寫東西,可以畫東西,我告訴你聖經最忌諱的是什麼呢?聖經最忌諱的就是白說書
[00:02:22.300 --> 00:02:44.300]  買了十年,都是新的,真是慘了,聖經是用來做什麼呢?是看,寫,畫,系例,整本畫的,畫好的那些精髓都在裡面,你消化了,那是誰的呢?是你呀,畫花了整本密密麻麻的,那怎麼辦呢?
[00:02:44.300 --> 00:03:10.300]  問教會,可能教會送一本金邊皮面的給你,這件事很難得的,所以弟兄姊妹,言歸正傳,我們怎樣用這個方法去寄存呢?今天我們聽到的時候,我們所聽到的一些重點,剛才說到有屬地的互聯網,又有屬天的互聯網,那你想不想知道什麼是屬天的互聯網呢?
[00:03:10.300 --> 00:03:26.300]  你想不想知道呢?那我敢問,段姑娘你都要點頭的,如果你這樣都不點頭,那我都應該可以拍一條褲子回去聖地安祖那裡,那另外就是,你想不想知道怎樣用呢?
[00:03:26.300 --> 00:03:51.300]  你要知道它最大的功能是什麼?你用得出的嘛,這個才是重要的,所以我今天的題目,剛才已經打了出來,這個叫接通天地線,很重要的一個題目,這裡有經文在這裡,不過我們開始之前,我們先有個禱告,
[00:03:51.300 --> 00:04:11.300]  親愛的恩主,我們敬拜讚美祢,我們是一群channel的弟兄姊妹,我們回到祢的殿裡面,我們同心敬拜讚美祢,主啊,因為我們的心思意念,現在,主啊,我們都交在祢的手裡面,我們願意和祢連起線上來,
[00:04:11.300 --> 00:04:36.300]  主啊,讓祢的說話,口口的臨到我們在座,每一位的弟兄姊妹,甚至當中有新來賓的,我們願意祢的說話,臨到他們的身上,主啊,讓我們在祢的說話底下去成長,在祢的提醒底下得到力量,主啊,我們將我們的心來交上,我們相信祢會與我們同在,
[00:04:36.300 --> 00:04:45.300]  祢會對我們的心來說話,恭敬,將時間擺上,禱告奉耶穌基督的聖名,阿門。
