
[00:00:00.000 --> 00:00:02.000]  多些年青人
[00:00:02.000 --> 00:00:04.000]  感覺上是比較混亂的
[00:00:04.000 --> 00:00:06.000]  因為青春是在囤火
[00:00:06.000 --> 00:00:09.000]  但青春在囤火容易塌著
[00:00:09.000 --> 00:00:12.000]  容易熄滅
[00:00:12.000 --> 00:00:15.000]  有三個名詞
[00:00:15.000 --> 00:00:17.000]  詞彙很接近
[00:00:17.000 --> 00:00:19.000]  看看能否分辨分別在哪裡
[00:00:19.000 --> 00:00:21.000]  幻想
[00:00:21.000 --> 00:00:23.000]  夢想
[00:00:23.000 --> 00:00:25.000]  和理想
[00:00:25.000 --> 00:00:27.000]  你今天還有沒有幻想呢?
[00:00:27.000 --> 00:00:29.000]  還有沒有夢想呢?
[00:00:29.000 --> 00:00:33.000]  還有沒有理想呢?
[00:00:33.000 --> 00:00:37.000]  在以色列的山頭
[00:00:37.000 --> 00:00:39.000]  有三棵樹
[00:00:39.000 --> 00:00:41.000]  他們經常聊天
[00:00:41.000 --> 00:00:45.000]  訴說將來的夢想
[00:00:45.000 --> 00:00:47.000]  將來的理想
[00:00:47.000 --> 00:00:49.000]  又帶少少幻想
[00:00:49.000 --> 00:00:52.000]  第一棵樹說我將來希望被斬下來
[00:00:52.000 --> 00:00:54.000]  成為最好的建築材料
[00:00:54.000 --> 00:00:58.000]  興建一間是全世界最華麗的酒店
[00:00:58.000 --> 00:01:01.000]  居住的都是達官貴人
[00:01:01.000 --> 00:01:03.000]  名流紳士
[00:01:03.000 --> 00:01:06.000]  一間一流的旅店
[00:01:06.000 --> 00:01:08.000]  第二棵樹說
[00:01:08.000 --> 00:01:10.000]  我志向更加大
[00:01:10.000 --> 00:01:12.000]  我志在四海
[00:01:12.000 --> 00:01:14.000]  我不是希望做建築材料
[00:01:14.000 --> 00:01:16.000]  而是做造船材料
[00:01:16.000 --> 00:01:20.000]  打造一隻能夠中環四海乘風破浪
[00:01:20.000 --> 00:01:22.000]  一艘不沉的船隻
[00:01:22.000 --> 00:01:27.000]  可以帶領人類不斷開拓新的天地
[00:01:27.000 --> 00:01:29.000]  第三棵樹說
[00:01:29.000 --> 00:01:32.000]  我沒有兩位大哥這麼有理想
[00:01:32.000 --> 00:01:34.000]  我沒有大志
[00:01:34.000 --> 00:01:36.000]  我希望不要被斬下來
[00:01:36.000 --> 00:01:38.000]  我永遠守在山頭
[00:01:38.000 --> 00:01:41.000]  好讓經過的行人
[00:01:41.000 --> 00:01:44.000]  可以在樹底下遮陰頭
[00:01:44.000 --> 00:01:47.000]  晚上可以和星星和月亮對話
[00:01:47.000 --> 00:01:51.000]  去見證創造的奇妙榮美
[00:01:51.000 --> 00:01:55.000]  然後三棵樹都長高了
[00:01:55.000 --> 00:01:59.000]  三棵樹都有不同的遭遇
[00:01:59.000 --> 00:02:02.000]  第一棵樹被斬下來
[00:02:02.000 --> 00:02:04.000]  真的做了建築材料
[00:02:04.000 --> 00:02:06.000]  不過不是建Hilton
[00:02:06.000 --> 00:02:08.000]  不是建Four Seasons
[00:02:08.000 --> 00:02:12.000]  它只是興建一間很細小的客店
[00:02:12.000 --> 00:02:15.000]  沒有名氣的
[00:02:15.000 --> 00:02:17.000]  那地方叫做百利行
[00:02:17.000 --> 00:02:19.000]  這間無名的旅店
[00:02:19.000 --> 00:02:21.000]  從來沒有人知道它有多大
[00:02:21.000 --> 00:02:22.000]  有多少間房
[00:02:22.000 --> 00:02:25.000]  直至有一天
[00:02:25.000 --> 00:02:27.000]  一個很疲倦的男人
[00:02:27.000 --> 00:02:30.000]  牽著一個正在臨盆的妻子路過
[00:02:30.000 --> 00:02:32.000]  由於趕路的情況下
[00:02:32.000 --> 00:02:34.000]  他們要投店
[00:02:34.000 --> 00:02:37.000]  當晚客店完全沒有空房
[00:02:37.000 --> 00:02:41.000]  店主可憐快將臨盆的女士
[00:02:41.000 --> 00:02:44.000]  她說你在我們客店的馬棚
[00:02:44.000 --> 00:02:46.000]  有少許遮陰
[00:02:46.000 --> 00:02:50.000]  有少許蓋可以暫縮一宵
[00:02:50.000 --> 00:02:52.000]  當晚這位女士
[00:02:52.000 --> 00:02:56.000]  擔下一個男嬰
[00:02:56.000 --> 00:02:59.000]  這間無名的客店
[00:02:59.000 --> 00:03:01.000]  於是每年聖誕節
[00:03:01.000 --> 00:03:04.000]  我們都會讀到這段聖經的記載
[00:03:04.000 --> 00:03:06.000]  這位男嬰的誕生
[00:03:06.000 --> 00:03:09.000]  也改寫了人類的歷史
[00:03:09.000 --> 00:03:12.000]  第二棵樹都被斬下來
[00:03:12.000 --> 00:03:13.000]  一如所願
[00:03:13.000 --> 00:03:14.000]  真的做了建船的材料
[00:03:14.000 --> 00:03:16.000]  不過又不是甚麼鐵達尼號
[00:03:16.000 --> 00:03:18.000]  不是甚麼甚麼號
[00:03:18.000 --> 00:03:20.000]  是一架無名的小漁船
[00:03:20.000 --> 00:03:22.000]  他不能出大海
[00:03:22.000 --> 00:03:24.000]  只能內海運作
[00:03:24.000 --> 00:03:26.000]  去打魚
[00:03:26.000 --> 00:03:28.000]  因為他的主人帶了一個
[00:03:28.000 --> 00:03:31.000]  一面倦容的老師上船
[00:03:31.000 --> 00:03:34.000]  老師上船後已經沉沉睡去
[00:03:34.000 --> 00:03:37.000]  當晚由於地中海氣變化
[00:03:37.000 --> 00:03:39.000]  風浪大作
[00:03:39.000 --> 00:03:42.000]  船差不多被打散
[00:03:42.000 --> 00:03:44.000]  他的主人叫醒老師
[00:03:44.000 --> 00:03:48.000]  老師不行了,快要淹死了,船沉了
[00:03:48.000 --> 00:03:50.000]  老師起床後站在船頭
[00:03:50.000 --> 00:03:52.000]  大開一聲
[00:03:52.000 --> 00:03:54.000]  風平浪靜
[00:03:54.000 --> 00:03:56.000]  這是誰來的?
[00:03:56.000 --> 00:04:00.000]  竟然風浪都要聽他
[00:04:00.000 --> 00:04:02.000]  這架小漁船都成為了一個
