
[00:00:00.000 --> 00:00:02.000]  第一次為我們做一次低頭祈禱
[00:00:02.000 --> 00:00:04.000]  我們感謝你
[00:00:04.000 --> 00:00:06.000]  因為你不單止昔日
[00:00:06.000 --> 00:00:08.000]  允許約書亞
[00:00:08.000 --> 00:00:10.000]  你與他同在
[00:00:10.000 --> 00:00:12.000]  所以我們感謝你
[00:00:12.000 --> 00:00:14.000]  也允許了
[00:00:14.000 --> 00:00:16.000]  要尚與我們同在
[00:00:16.000 --> 00:00:18.000]  直到世界沒了
[00:00:18.000 --> 00:00:20.000]  幫助我們能夠明白你的心意
[00:00:20.000 --> 00:00:22.000]  幫助我們能夠勇敢
[00:00:22.000 --> 00:00:24.000]  按著你的旨意
[00:00:24.000 --> 00:00:26.000]  行著你的道中
[00:00:26.000 --> 00:00:28.000]  我們深信無論將來有什麼變化
[00:00:28.000 --> 00:00:30.000]  這個世界是怎樣的混亂
[00:00:30.000 --> 00:00:32.000]  就讓你仍然坐著為王
[00:00:32.000 --> 00:00:34.000]  你管理一切
[00:00:34.000 --> 00:00:36.000]  請我們今天早上
[00:00:36.000 --> 00:00:38.000]  在新的一年開始
[00:00:38.000 --> 00:00:40.000]  凡到你面前你敬拜寢求你的人
[00:00:40.000 --> 00:00:42.000]  使我們重新得力
[00:00:42.000 --> 00:00:44.000]  奔跑前面的道路
[00:00:44.000 --> 00:00:46.000]  誰聽我們的禱告
[00:00:46.000 --> 00:00:48.000]  奉耶穌明智祈求
[00:00:48.000 --> 00:00:50.000]  上主的同在
[00:00:50.000 --> 00:00:54.000]  教會在這幾年裡
[00:00:56.000 --> 00:00:58.000]  從2012年到2014年裡
[00:00:58.000 --> 00:01:00.000]  我們是有主題的
[00:01:00.000 --> 00:01:02.000]  今年2014年的主題
[00:01:02.000 --> 00:01:04.000]  就是我們的生活
[00:01:04.000 --> 00:01:06.000]  侍奉蒙恩
[00:01:06.000 --> 00:01:08.000]  我們的見證
[00:01:08.000 --> 00:01:10.000]  榮辰益人
[00:01:10.000 --> 00:01:12.000]  並不是這是唯一
[00:01:12.000 --> 00:01:14.000]  不過我們會集中與弟兄姊妹
[00:01:14.000 --> 00:01:16.000]  去思考這個問題
[00:01:16.000 --> 00:01:18.000]  在過去兩年裡
[00:01:18.000 --> 00:01:20.000]  2012年的時候
[00:01:20.000 --> 00:01:22.000]  我們從教導裡
[00:01:22.000 --> 00:01:24.000]  給弟兄姊妹不斷地學習
[00:01:24.000 --> 00:01:26.000]  弟兄姊妹這個教導
[00:01:26.000 --> 00:01:28.000]  這個字在舊約裡
[00:01:28.000 --> 00:01:30.000]  用教導的時候
[00:01:30.000 --> 00:01:32.000]  說媽媽怎樣教導子女
[00:01:32.000 --> 00:01:34.000]  神怎樣教導人的教導
[00:01:34.000 --> 00:01:36.000]  是和律法那個字是同一個字
[00:01:36.000 --> 00:01:38.000]  這個教導就是說
[00:01:38.000 --> 00:01:40.000]  神用祂的說話
[00:01:40.000 --> 00:01:42.000]  命令人去做一些事
[00:01:42.000 --> 00:01:44.000]  規範是這樣
[00:01:44.000 --> 00:01:46.000]  就是這樣走
[00:01:46.000 --> 00:01:48.000]  所以律法本意
[00:01:48.000 --> 00:01:50.000]  就是教導
[00:01:50.000 --> 00:01:52.000]  這個教導是神給他子民
[00:01:52.000 --> 00:01:54.000]  一條路
[00:01:54.000 --> 00:01:56.000]  要我們走這條路
[00:01:56.000 --> 00:01:58.000]  做這件應做的事
[00:01:58.000 --> 00:02:00.000]  所以每次聽到讀聖經
[00:02:00.000 --> 00:02:02.000]  其實是我們在接受教導
[00:02:02.000 --> 00:02:04.000]  當我們接受教導之後
[00:02:04.000 --> 00:02:06.000]  我們不斷地學習
[00:02:06.000 --> 00:02:08.000]  操練生命的成長
[00:02:08.000 --> 00:02:10.000]  去年2013年
[00:02:10.000 --> 00:02:12.000]  剛剛過去一年
[00:02:12.000 --> 00:02:14.000]  我們不斷在港台接受教導
