
[00:00:00.000 --> 00:00:02.080]  頂智慧,我想問一問大家
[00:00:02.080 --> 00:00:05.800]  有多少人有經歷過巧合
[00:00:05.800 --> 00:00:08.160]  真的想都想不到的
[00:00:08.160 --> 00:00:09.840]  就是這麼巧合
[00:00:09.840 --> 00:00:11.760]  當你最有需要
[00:00:11.760 --> 00:00:13.520]  正在想那件事的時候
[00:00:13.520 --> 00:00:14.840]  突然間有個人出來
[00:00:14.840 --> 00:00:16.120]  就跟你說那件事
[00:00:16.120 --> 00:00:17.000]  而這個人呢
[00:00:17.000 --> 00:00:18.480]  就經歷過那件事
[00:00:18.480 --> 00:00:20.200]  試過的舉手,好不好?
[00:00:20.200 --> 00:00:21.520]  這麼多人
[00:00:21.520 --> 00:00:22.760]  你都巧合過的
[00:00:22.760 --> 00:00:25.400]  你去找一件事的時候
[00:00:25.400 --> 00:00:27.160]  找來找去找不到的
[00:00:27.160 --> 00:00:28.360]  結果呢
[00:00:28.360 --> 00:00:29.600]  你都放棄了
[00:00:29.600 --> 00:00:30.920]  突然之間呢
[00:00:30.920 --> 00:00:31.720]  嘩!
[00:00:31.720 --> 00:00:34.960]  竟然就出現在眼前
[00:00:34.960 --> 00:00:38.480]  原來你就是那件事沒有摸過
[00:00:38.480 --> 00:00:39.240]  一揭開
[00:00:39.240 --> 00:00:40.320]  原來就在那裡
[00:00:40.320 --> 00:00:41.680]  有幾個人試過的
[00:00:41.680 --> 00:00:42.920]  找來找去找不到
[00:00:42.920 --> 00:00:44.600]  結果就是這樣出現在眼前
[00:00:44.600 --> 00:00:46.440]  又是這麼多人試過
[00:00:46.440 --> 00:00:47.960]  巧合
[00:00:47.960 --> 00:00:51.040]  人生裡面是不是真的這麼多巧合呢?
[00:00:51.040 --> 00:00:53.320]  我給大家來看看
[00:00:53.320 --> 00:00:56.840]  一些不可以用巧合
[00:00:56.840 --> 00:00:58.400]  解釋的事情
[00:00:59.160 --> 00:01:00.520]  聖經的人物
[00:01:00.520 --> 00:01:01.360]  阿伯拉罕
[00:01:01.360 --> 00:01:04.960]  九十九歲
[00:01:04.960 --> 00:01:09.240]  他仍然都質疑神的話
[00:01:09.240 --> 00:01:13.560]  他說你的後裔會多到天上的星
[00:01:13.560 --> 00:01:14.760]  地上的沙這麼多
[00:01:14.760 --> 00:01:17.880]  那麼阿伯拉罕就以為
[00:01:17.880 --> 00:01:20.040]  有一個過計了的
[00:01:20.040 --> 00:01:21.160]  那個就等於後裔
[00:01:21.160 --> 00:01:22.440]  神說這個不算
[00:01:22.440 --> 00:01:24.800]  然後阿伯拉罕又以為
[00:01:24.800 --> 00:01:25.960]  一個呢
[00:01:25.960 --> 00:01:28.200]  是侍女生的下甲
[00:01:28.200 --> 00:01:29.600]  生的以實瑪利
[00:01:29.600 --> 00:01:30.800]  這個就是他的後裔
[00:01:30.800 --> 00:01:32.320]  神又說不算
[00:01:32.320 --> 00:01:34.680]  是要你
[00:01:34.680 --> 00:01:36.200]  和你那個
[00:01:36.200 --> 00:01:37.600]  八十九歲
[00:01:37.600 --> 00:01:40.600]  的老婆生的
[00:01:40.600 --> 00:01:42.600]  才算是你的後裔
[00:01:42.600 --> 00:01:44.920]  我想問問大家
[00:01:44.920 --> 00:01:46.920]  如果你是八十九歲
[00:01:46.920 --> 00:01:50.440]  的姐妹
[00:01:50.440 --> 00:01:53.840]  你的丈夫是九十九歲
[00:01:53.840 --> 00:01:55.960]  你有多少人會相信的?
[00:01:55.960 --> 00:01:56.720]  我舉手
[00:01:57.400 --> 00:01:59.960]  你相信你會有兒子生
[00:01:59.960 --> 00:02:01.320]  第二
[00:02:01.320 --> 00:02:02.520]  還相信呢
[00:02:02.520 --> 00:02:06.880]  你的兒子孫孫會多到天上的星
[00:02:06.880 --> 00:02:07.960]  地上的沙這麼多
[00:02:07.960 --> 00:02:08.960]  有多少人會相信的?
[00:02:08.960 --> 00:02:09.560]  我舉手
[00:02:09.560 --> 00:02:11.200]  沒有一個相信
[00:02:11.200 --> 00:02:13.320]  因為九十九歲
[00:02:13.320 --> 00:02:14.960]  已經不存在
[00:02:14.960 --> 00:02:16.600]  有可能,是不是?
[00:02:16.600 --> 00:02:18.840]  我們看到太多太多的事情
[00:02:18.840 --> 00:02:20.040]  我們是不可能相信的
[00:02:20.040 --> 00:02:22.240]  結果阿伯拉罕一百歲的時候
[00:02:22.240 --> 00:02:23.280]  真的生了一個兒子
[00:02:23.280 --> 00:02:24.720]  他的太太九十歲
[00:02:24.720 --> 00:02:25.840]  就生了一個
[00:02:25.840 --> 00:02:26.640]  只有一個而已
