
[00:00:00.000 --> 00:00:02.000]  第一節我們一同祈禱
[00:00:30.000 --> 00:00:32.000]  感動我們弟兄姊妹一同到你們面前來
[00:00:32.000 --> 00:00:35.000]  讓我們再一次能夠在歷史上
[00:00:35.000 --> 00:00:37.000]  生生活活的降生
[00:00:37.000 --> 00:00:39.000]  成為我們今天再一次的提醒
[00:00:39.000 --> 00:00:41.000]  願一切的榮耀歸便你
[00:00:41.000 --> 00:00:44.000]  願你的平安似過被你所棄於的人
[00:00:44.000 --> 00:00:46.000]  奉耶穌名字祈求
[00:00:46.000 --> 00:00:53.000]  在這幾天聖誕的時刻
[00:00:53.000 --> 00:00:56.000]  我很相信弟兄姊妹在這個城市居住
[00:00:56.000 --> 00:01:00.000]  都會感受到一些所謂聖誕的氣氛
[00:01:00.000 --> 00:01:02.000]  在教會裏面
[00:01:02.000 --> 00:01:05.000]  我相信大家都忙了幾天
[00:01:05.000 --> 00:01:07.000]  23號多忙
[00:01:07.000 --> 00:01:09.000]  昨天都很忙
[00:01:09.000 --> 00:01:14.000]  今早是不是應該回到這個聚會之後
[00:01:14.000 --> 00:01:16.000]  可以休息一下
[00:01:16.000 --> 00:01:18.000]  不是
[00:01:18.000 --> 00:01:20.000]  那不是你想做什麼
[00:01:23.000 --> 00:01:26.000]  如果你問一些年輕人
[00:01:26.000 --> 00:01:28.000]  我們一班教會年輕人
[00:01:28.000 --> 00:01:29.000]  感謝神
[00:01:29.000 --> 00:01:35.000]  讓他們又去一些YMCA那裏擺攤檔
[00:01:35.000 --> 00:01:37.000]  又幫小朋友玩
[00:01:37.000 --> 00:01:40.000]  昨天又報佳音
[00:01:40.000 --> 00:01:43.000]  你問他這個聖誕節有沒有意義
[00:01:43.000 --> 00:01:44.000]  有
[00:01:44.000 --> 00:01:46.000]  有些活動有
[00:01:46.000 --> 00:01:47.000]  報了佳音沒有
[00:01:47.000 --> 00:01:49.000]  報了
[00:01:49.000 --> 00:01:53.000]  報了即是搞定了
[00:01:53.000 --> 00:02:00.000]  在聖誕節很多時候我們都有這樣的思想
[00:02:00.000 --> 00:02:03.000]  甚至連我們做傳道人的時候
[00:02:03.000 --> 00:02:04.000]  都會這樣想
[00:02:04.000 --> 00:02:05.000]  哎呀
[00:02:05.000 --> 00:02:07.000]  這一陣子忙完了
[00:02:07.000 --> 00:02:08.000]  我昨天說了兩個報道會
[00:02:08.000 --> 00:02:10.000]  上午一個下午一個
[00:02:10.000 --> 00:02:11.000]  晚上一個
[00:02:11.000 --> 00:02:13.000]  到回去的時候
[00:02:13.000 --> 00:02:14.000]  哎呀
[00:02:14.000 --> 00:02:16.000]  都算休息了
[00:02:16.000 --> 00:02:21.000]  其實報佳音到底是一件什麼事情
[00:02:21.000 --> 00:02:24.000]  是不是一年報一次
[00:02:24.000 --> 00:02:27.000]  總而言之12月24號晚上
[00:02:27.000 --> 00:02:29.000]  我就報道
[00:02:29.000 --> 00:02:31.000]  唱了詩
