
[00:00:00.000 --> 00:00:04.000]  講到之前 我想請姊妹安靜一刻
[00:00:04.000 --> 00:00:10.000]  我們每一次回來教會 都有機會聽到神的話 聖經
[00:00:10.000 --> 00:00:25.000]  你知道這個世界上有什麼事件 你見到覺得很奇怪
[00:00:25.000 --> 00:00:29.000]  其中一樣東西就是在教會裡面發生
[00:00:30.000 --> 00:00:39.000]  就是當神講了說話之後 屬神的人卻沒有去聽從
[00:00:39.000 --> 00:00:45.000]  這個世界上 特別是對那些不信的人 他們會很詫異
[00:00:45.000 --> 00:00:57.000]  神的話已經宣告 但屬神的兒女卻沒有去聽從
[00:00:59.000 --> 00:01:06.000]  每一次我們聽神的話 或者查經 或者讀經 靈修的時候
[00:01:06.000 --> 00:01:17.000]  我們有沒有真的聽聖經 真是信神的話 神有說話跟我們講
[00:01:17.000 --> 00:01:26.000]  按我們的信仰 我們的神學 神的話講了 神的話一定要成就
[00:01:27.000 --> 00:01:35.000]  當然我們人有選擇 我們是選擇信從 還是選擇忽視
[00:01:35.000 --> 00:01:46.000]  我每一次希望我們讀神的話要認真 包括我對自己都有這個提醒
[00:01:46.000 --> 00:01:52.000]  請姊妹我們一起禱告 求主幫我們讀聖經的時候
[00:01:53.000 --> 00:01:59.000]  我們真的看到聖經的神的話 不是只是一些建議
[00:01:59.000 --> 00:02:04.000]  是叫我們真的要甘心樂意去聽從
[00:02:04.000 --> 00:02:13.000]  或者我們有不明白 求主引導我們思想 明白神祢的指教 祢的旨意
[00:02:15.000 --> 00:02:24.000]  聽我們的禱告 教導我們學習信心 信祢是會帶領我們
[00:02:24.000 --> 00:02:27.000]  聽我們祈禱奉耶穌的聖名
[00:02:27.000 --> 00:02:34.000]  經文這裡講到約翰福音第四章 約翰福音有二十一章
[00:02:34.000 --> 00:02:40.000]  一到四章就是基督向世人啟示他自己是哪一個
[00:02:41.000 --> 00:02:47.000]  來到這裡約翰福音記載第二個神蹟 我們再看看四十三到四十五節
[00:02:47.000 --> 00:02:51.000]  我們再讀一次 四十三到四十五節 預備起
[00:02:51.000 --> 00:02:58.000]  經文這裡講到耶穌離開撒瑪尼亞回到加利利的時候
[00:02:58.000 --> 00:03:05.000]  那裡講到加利利人歡迎他 但這裡同時又記載耶穌親自作見證說
[00:03:06.000 --> 00:03:12.000]  先知在本族本家不受歡迎和不受接納
[00:03:12.000 --> 00:03:19.000]  聖經講信就是接納的意思 接納就是代表他相信
[00:03:19.000 --> 00:03:29.000]  約翰福音講信心講了九十八次 另外三個福音書只提過十次信這個字
[00:03:29.000 --> 00:03:34.000]  整個約翰福音的主題就是講 信不信耶穌基督是神的兒子
[00:03:35.000 --> 00:03:41.000]  信的人就會有屬靈的生命 不信的人就得不著生命
[00:03:41.000 --> 00:03:47.000]  所以約翰福音裡面最多出現的字是天父
[00:03:47.000 --> 00:03:56.000]  因為唯獨耶穌基督這個道成肉身 有血有肉的人是將天父顯明
[00:03:56.000 --> 00:04:03.000]  叫信耶穌是神的兒子的人可以認識天父 可以得著生命
[00:04:04.000 --> 00:04:09.000]  這個就是約翰福音的主題 信心講到第二個神蹟
[00:04:09.000 --> 00:04:15.000]  上次水變酒 你知道我在青少年團契怎樣跟青少年說
[00:04:15.000 --> 00:04:21.000]  你們都可以模仿耶穌將水變酒這個神蹟
[00:04:21.000 --> 00:04:26.000]  青少年就問 要不要道具 不用 你們一直在做
[00:04:26.000 --> 00:04:30.000]  每個禮拜都將你父母錢包裡的水變酒
[00:04:31.000 --> 00:04:34.000]  將水變酒 那個水當然不是那個水
[00:04:34.000 --> 00:04:38.000]  但這裡講的第二個神蹟 有時你問
[00:04:38.000 --> 00:04:41.000]  整個約翰福音記載了七個主要的神蹟
[00:04:41.000 --> 00:04:45.000]  第二個神蹟那麼短 也沒有什麼特別教導
[00:04:45.000 --> 00:04:48.000]  約翰記載這裡有什麼特別意思呢
[00:04:48.000 --> 00:04:52.000]  第一個神蹟水變酒 就是講那些跟從耶穌的門徒
[00:04:52.000 --> 00:04:57.000]  他看見耶穌的榮耀 就信神
[00:04:58.000 --> 00:05:03.000]  他看見耶穌基督行神蹟 他就信耶穌是神的兒子
[00:05:03.000 --> 00:05:07.000]  因為聖經很早已經預言了彌賽會來
[00:05:07.000 --> 00:05:11.000]  誰知道他是從神而來呢 除了聖經有見證
[00:05:11.000 --> 00:05:19.000]  司祭約翰先鋒有見證 耶穌基督親自按聖經所預言行神蹟
[00:05:19.000 --> 00:05:25.000]  神蹟就好像一個路標 一個路牌 顯明基督的身份
[00:05:26.000 --> 00:05:28.000]  所以耶穌不是周圍一定行很多神蹟
[00:05:28.000 --> 00:05:33.000]  他是按情況的需要而行
[00:05:33.000 --> 00:05:36.000]  耶穌在這裡行第二個神蹟
[00:05:36.000 --> 00:05:40.000]  聖經記載他在耶路撒冷曾經行過很多神蹟
[00:05:40.000 --> 00:05:43.000]  約翰福音沒有記載他行過什麼神蹟 二章沒有提過
[00:05:43.000 --> 00:05:47.000]  他說加里尼人在耶路撒冷見過他所行的神蹟
[00:05:47.000 --> 00:05:53.000]  知道他是從神而來 好像第三章裡面尼哥底姆所表現的
[00:05:54.000 --> 00:05:56.000]  耶穌基督能夠行神蹟其事
[00:05:56.000 --> 00:05:59.000]  他們就知道耶穌是從神而來
[00:05:59.000 --> 00:06:03.000]  耶穌的名聲是很突顯的
[00:06:03.000 --> 00:06:08.000]  包括接下來的加伯隆 加里尼首輔
[00:06:08.000 --> 00:06:15.000]  那個皇帝是整個加伯隆的高官
