
[00:00:00.000 --> 00:00:04.120]  今天的主題是封聖教會的標記
[00:00:04.120 --> 00:00:09.480]  我們先讀今天的經文
[00:00:09.480 --> 00:00:11.920]  在哥倫多後書
[00:00:11.920 --> 00:00:13.920]  第八章一到五節
[00:00:13.920 --> 00:00:17.460]  還有九章第七和第八節
[00:00:17.460 --> 00:00:24.140]  我們先讀聖經
[00:00:24.140 --> 00:00:26.140]  稍後回頭我們會再讀
[00:00:26.140 --> 00:00:28.140]  我們先讀
[00:00:28.140 --> 00:00:30.140]  哥倫多後書第八章一到五節
[00:00:30.140 --> 00:00:32.140]  好嗎
[00:00:32.140 --> 00:00:34.140]  見到沒有
[00:00:34.140 --> 00:00:36.140]  我們一起預備起
[00:00:36.140 --> 00:00:42.140]  弟兄們,我們要把神賜及馬其頓宗教會的恩惠告訴你們
[00:00:42.140 --> 00:00:46.140]  他們在患難中受大考驗的時候
[00:00:46.140 --> 00:00:48.140]  仍然滿有喜樂
[00:00:48.140 --> 00:00:51.140]  在極度貧困的環境外
[00:00:51.140 --> 00:00:54.140]  獻出他們樂捐的項目
[00:00:54.140 --> 00:00:56.140]  我可以證明
[00:00:56.140 --> 00:00:58.140]  他們是按著能力
[00:00:58.140 --> 00:01:01.140]  而且超過了能力來捐助
[00:01:01.140 --> 00:01:04.140]  主動再三懇求我們
[00:01:04.140 --> 00:01:09.140]  准他們在這供給聖徒的善事上有份
[00:01:09.140 --> 00:01:11.140]  並且他們所做的
[00:01:11.140 --> 00:01:14.140]  不但照我們所期望的
[00:01:14.140 --> 00:01:16.140]  更照神的旨意
[00:01:16.140 --> 00:01:18.140]  先把自己獻給處
[00:01:18.140 --> 00:01:20.140]  又給了我們
[00:01:24.140 --> 00:01:27.140]  再讀九章第七和第八節
[00:01:27.140 --> 00:01:28.140]  預備起
[00:01:28.140 --> 00:01:30.140]  各人要隨心所願
[00:01:30.140 --> 00:01:33.140]  不要為難,不要勉強
[00:01:33.140 --> 00:01:35.140]  因為神愛樂捐的人
[00:01:35.140 --> 00:01:39.140]  神能將各樣的恩惠多多加給你們
[00:01:39.140 --> 00:01:42.140]  使你們凡事上上充足
[00:01:42.140 --> 00:01:45.140]  能多做各樣善事
[00:01:45.140 --> 00:01:49.140]  一段關於馬其頓
[00:01:49.140 --> 00:01:52.140]  菲勒比教會的描述
[00:01:52.140 --> 00:01:57.140]  如何成為一個豐盛教會的典範
[00:01:57.140 --> 00:01:59.140]  有什麼值得我們學習呢?
[00:01:59.140 --> 00:02:03.140]  我們今天會藉著這段聖經一同思想
[00:02:03.140 --> 00:02:05.140]  我們一起祈禱
[00:02:05.140 --> 00:02:08.140]  希望上帝我們仰望你
[00:02:08.140 --> 00:02:10.140]  今天我們有家會
[00:02:10.140 --> 00:02:12.140]  我們有崇拜
[00:02:12.140 --> 00:02:17.140]  主題是我們啟福堂將要自立
[00:02:17.140 --> 00:02:21.140]  由我們從武堂被差派出來
[00:02:21.140 --> 00:02:24.140]  新蒲崗黃大仙這個區域
[00:02:24.140 --> 00:02:27.140]  我們的意象就是要在這裡
[00:02:27.140 --> 00:02:29.140]  成為一個明亮的燈台
[00:02:29.140 --> 00:02:34.140]  將福音免費帶給周圍的街坊
[00:02:34.140 --> 00:02:36.140]  主要我們知道
[00:02:36.140 --> 00:02:39.140]  世界的人很多都不認識你
[00:02:39.140 --> 00:02:41.140]  求你幫助我們
[00:02:41.140 --> 00:02:45.140]  不單止明白這個意象
[00:02:45.140 --> 00:02:47.140]  更是願意承擔
[00:02:47.140 --> 00:02:50.140]  因為你不是要我們吃苦
[00:02:50.140 --> 00:02:55.140]  不是只要我們向難度挑戰
[00:02:55.140 --> 00:03:01.140]  你是要在這個成為周圍明亮的燈台
[00:03:01.140 --> 00:03:05.140]  成為世人的祝福的過程裡面
[00:03:05.140 --> 00:03:08.140]  你要我們經歷你更多的恩典
[00:03:08.140 --> 00:03:10.140]  經歷你更多的喜樂
[00:03:10.140 --> 00:03:13.140]  以及經歷更多的愛
