
[00:00:00.000 --> 00:00:01.320]  各位
[00:00:01.320 --> 00:00:03.960]  各位大宣姊妹,早晨
[00:00:03.960 --> 00:00:06.900]  今天的講題就是
[00:00:06.900 --> 00:00:09.320]  成為認罪的群體
[00:00:09.320 --> 00:00:12.420]  其實我在六月初已經定了
[00:00:12.420 --> 00:00:16.700]  那時候還沒有反逃犯條例的示威
[00:00:16.700 --> 00:00:18.440]  但是想不到一個月之後
[00:00:18.440 --> 00:00:21.720]  香港社會現在瀰漫著一片
[00:00:21.720 --> 00:00:26.100]  撕裂、沉重和很情緒化的氣氛
[00:00:26.100 --> 00:00:29.480]  我看到不同意見的雙方彼此攻擊
[00:00:29.560 --> 00:00:31.560]  有些人在指責示威者
[00:00:31.560 --> 00:00:33.560]  特別是青年人說他們是暴徒
[00:00:33.560 --> 00:00:35.280]  也有人很支持學生
[00:00:35.280 --> 00:00:37.160]  說他們很愛香港
[00:00:37.160 --> 00:00:39.160]  很欣賞他們的熱誠和堅持
[00:00:39.160 --> 00:00:41.600]  同樣也有人在指責警察
[00:00:41.600 --> 00:00:43.000]  說他們是黑警
[00:00:43.000 --> 00:00:45.720]  同樣也有市民很支持警隊
[00:00:45.720 --> 00:00:48.200]  支持香港的公僕
[00:00:48.200 --> 00:00:50.160]  但是作為神的兒女
[00:00:50.160 --> 00:00:51.960]  在今時今日的香港
[00:00:51.960 --> 00:00:53.680]  我們應該站在哪一邊呢?
[00:00:53.680 --> 00:00:55.680]  可能這個故事大家都聽過
[00:00:55.680 --> 00:00:58.160]  在美國南北戰爭的時候
[00:00:58.160 --> 00:01:00.160]  有人問林肯總統
[00:01:00.160 --> 00:01:01.960]  你們北軍禱告的時候
[00:01:01.960 --> 00:01:03.560]  就求上帝站在你那邊
[00:01:03.560 --> 00:01:04.960]  但你們南軍禱告的時候
[00:01:04.960 --> 00:01:06.960]  就求上帝站在他們那邊
[00:01:06.960 --> 00:01:10.560]  請問你說上帝站在北邊還是南邊呢?
[00:01:10.560 --> 00:01:14.560]  接著林肯總統回答說
[00:01:14.560 --> 00:01:18.160]  我沒有禱告求上帝站在我那邊
[00:01:18.160 --> 00:01:24.160]  我只求上帝讓我能夠站在神那邊
[00:01:24.160 --> 00:01:26.960]  我只祈求在禱告裡面
[00:01:26.960 --> 00:01:28.960]  我要站在神那邊
[00:01:28.960 --> 00:01:29.960]  沒錯
[00:01:29.960 --> 00:01:32.160]  今天我們作為香港市民
[00:01:32.160 --> 00:01:34.960]  當我們禱告為這個城市祈禱的時候
[00:01:34.960 --> 00:01:37.960]  我們要站在神那邊
[00:01:37.960 --> 00:01:40.960]  作為教會、作為基督的群體
[00:01:40.960 --> 00:01:44.360]  我們怎樣能夠知道神的心意
[00:01:44.360 --> 00:01:45.960]  能夠站在神那邊呢?
[00:01:45.960 --> 00:01:49.160]  一定是祈禱和神的話語
[00:01:49.160 --> 00:01:52.560]  所以當我們今天回來教會去崇拜的時候
[00:01:52.560 --> 00:01:53.560]  我們要學武的
[00:01:53.560 --> 00:01:55.360]  是要聽神的話語
[00:01:55.360 --> 00:01:57.160]  神告訴我們祂的心意
[00:01:57.160 --> 00:01:58.960]  以致我們能夠站在祂那邊
[00:01:58.960 --> 00:02:00.960]  為這個城市去禱告
[00:02:00.960 --> 00:02:03.560]  這一刻我們就先為自己去祈禱
[00:02:03.560 --> 00:02:05.160]  求聖靈光照我們
[00:02:05.160 --> 00:02:08.160]  讓我們能夠去認識神的話語
