
[00:00:00.000 --> 00:00:02.400]  領姐妹最愛平安
[00:00:02.400 --> 00:00:03.880]  我不知道你們有沒有留意
[00:00:03.880 --> 00:00:07.920]  當我們去認識或介紹新朋友的時候
[00:00:07.920 --> 00:00:10.080]  我們往往很喜歡問一些問題
[00:00:10.080 --> 00:00:11.240]  我們很喜歡問他們
[00:00:11.240 --> 00:00:14.120]  你最喜歡的食物是甚麼
[00:00:14.120 --> 00:00:15.960]  你最喜歡的顏色是甚麼
[00:00:15.960 --> 00:00:19.600]  或者你最喜歡去旅行的地方是去哪裏
[00:00:19.600 --> 00:00:23.440]  這些題目都可以幫助我們去認識新朋友
[00:00:23.440 --> 00:00:26.640]  不過我們很少去問一條問題
[00:00:26.640 --> 00:00:31.640]  我們很少去問你最害怕甚麼
[00:00:31.640 --> 00:00:32.800]  我們很少這樣問
[00:00:32.800 --> 00:00:37.080]  不過這條問題確實是很有意思的
[00:00:37.080 --> 00:00:39.320]  透過問題的答案
[00:00:39.320 --> 00:00:41.280]  我們可以知道
[00:00:41.280 --> 00:00:42.800]  回答這條問題的人
[00:00:42.800 --> 00:00:46.600]  他當下的處境是怎樣
[00:00:46.600 --> 00:00:47.960]  他的價值觀是怎樣
[00:00:47.960 --> 00:00:51.200]  他的人生看法是怎樣的呢
[00:00:51.200 --> 00:00:53.440]  確實在我人生裏面
[00:00:53.440 --> 00:00:57.720]  我們會面對很多不同的懼怕的事情
[00:00:57.720 --> 00:01:00.000]  在不同的境況
[00:01:00.000 --> 00:01:00.920]  在不同的人生階段
[00:01:00.920 --> 00:01:02.200]  我們都會面對的
[00:01:02.200 --> 00:01:05.720]  這些懼怕不單止會困擾我們
[00:01:05.720 --> 00:01:09.080]  很多時候也都會成為我們跟從主
[00:01:09.080 --> 00:01:13.240]  見證主的障礙
[00:01:13.240 --> 00:01:14.200]  今天早上
[00:01:14.200 --> 00:01:18.880]  我想和大家繼續一同去思想試探轉的訊息
[00:01:18.880 --> 00:01:21.200]  今天我們會一起看第四章
[00:01:21.200 --> 00:01:22.480]  我們來到第四章
[00:01:22.480 --> 00:01:24.840]  是一段有關彼得和約翰
[00:01:24.840 --> 00:01:28.040]  因為醫好了一個生來渠腿的人
[00:01:28.040 --> 00:01:29.800]  和他去傳講基督
[00:01:29.800 --> 00:01:32.480]  而被拉到猶太公會
[00:01:32.480 --> 00:01:35.920]  被審問的一段記載
[00:01:35.920 --> 00:01:37.600]  一會兒我們在經文裏面會看見
[00:01:37.600 --> 00:01:39.000]  在過程的裏面
[00:01:39.000 --> 00:01:41.920]  彼得和約翰毫無懼惜
[00:01:41.920 --> 00:01:44.200]  聽從神不聽從人
[00:01:44.200 --> 00:01:45.920]  在面對審問的時候
[00:01:45.920 --> 00:01:49.640]  他們剛強壯膽不亢不卑
[00:01:49.640 --> 00:01:52.800]  這份從神而來的膽量
[00:01:52.800 --> 00:01:55.440]  是今天我們很需要的榜樣
[00:01:55.440 --> 00:01:59.520]  是今天我們生命裏面很需要的素質
[00:01:59.520 --> 00:02:01.280]  所以很盼望今天這段經文
[00:02:01.280 --> 00:02:02.160]  給我們有鼓勵
[00:02:02.160 --> 00:02:04.800]  給我們有提醒
[00:02:04.800 --> 00:02:07.040]  首先讓我們一起去看這段經文
[00:02:07.040 --> 00:02:11.800]  《使徒行遠》四章一至二十二節
[00:02:11.800 --> 00:02:13.240]  這段經文比較長
[00:02:13.240 --> 00:02:17.080]  我讀給大家聽
[00:02:17.080 --> 00:02:19.720]  使徒對百姓說話的時候
[00:02:19.720 --> 00:02:21.600]  誓師們和守殿官
[00:02:21.600 --> 00:02:23.840]  並殺到該人忽然來到
[00:02:23.840 --> 00:02:25.880]  因他們教訓百姓
[00:02:25.880 --> 00:02:28.600]  本著耶穌傳說死人復活
[00:02:28.600 --> 00:02:29.960]  就很煩惱
[00:02:29.960 --> 00:02:31.920]  於是下手拿著他們
[00:02:31.920 --> 00:02:33.720]  因為天已經晚了
[00:02:33.720 --> 00:02:36.400]  就把他們押到第二天
[00:02:36.400 --> 00:02:39.280]  但聽道之人有許多信的
[00:02:39.280 --> 00:02:42.880]  南丁數目約有五千
[00:02:42.880 --> 00:02:43.880]  第二天
[00:02:43.880 --> 00:02:47.600]  官府長老和民士在耶路撒冷聚會
[00:02:47.600 --> 00:02:51.280]  又有大祭司亞那和約蓋亞法
[00:02:51.280 --> 00:02:53.120]  約翰、亞歷山大
[00:02:53.120 --> 00:02:56.160]  並大祭司的親族都在那裏
[00:02:56.160 --> 00:02:58.000]  叫使徒站在當中
[00:02:58.000 --> 00:02:59.440]  就問他們說
[00:02:59.440 --> 00:03:01.320]  你們用什麼能力
