
[00:00:00.000 --> 00:00:02.560]  各位頂禮姐妹,早安!
[00:00:02.560 --> 00:00:06.520]  很高興能夠在此跟大家一起思想神的話
[00:00:06.520 --> 00:00:11.680]  今天是上半年的最後一天
[00:00:11.680 --> 00:00:14.120]  明天是七月一日
[00:00:14.120 --> 00:00:19.080]  亦是我們香港回歸了二十二年
[00:00:19.080 --> 00:00:23.200]  所以教會用了半年時間
[00:00:23.200 --> 00:00:27.200]  鼓勵大家看《十二仙之書》
[00:00:27.200 --> 00:00:32.240]  以及在講壇選了六卷書來講
[00:00:32.240 --> 00:00:35.480]  所以如果你有來聽到的話
[00:00:35.480 --> 00:00:38.680]  你應該已經聽了六卷《仙之書》
[00:00:38.680 --> 00:00:40.520]  只差六卷未聽
[00:00:40.520 --> 00:00:44.960]  否則應該十二仙之書你都懂得
[00:00:44.960 --> 00:00:48.560]  所以今天輪到我來考試
[00:00:48.560 --> 00:00:50.320]  今天是大考
[00:00:50.320 --> 00:00:54.120]  各位拿筆出來,預備答試卷
[00:00:54.120 --> 00:00:57.560]  第一條問題,教會派了張卡
[00:00:57.560 --> 00:01:00.160]  你不會看完一卷《仙之書》
[00:01:00.160 --> 00:01:02.280]  可以丟掉印章
[00:01:02.280 --> 00:01:04.360]  楊牧師曾經答應
[00:01:04.360 --> 00:01:07.240]  你存夠十二個印章
[00:01:07.240 --> 00:01:11.360]  就好像你在超級市場猛換印花
[00:01:11.360 --> 00:01:13.680]  有東西可以換
[00:01:13.680 --> 00:01:15.440]  不過換甚麼我不知道
[00:01:15.440 --> 00:01:17.080]  最好你追它
[00:01:17.080 --> 00:01:21.120]  我想問有多少人已經看完十二卷《仙之書》
[00:01:21.120 --> 00:01:23.120]  請舉手
[00:01:23.120 --> 00:01:27.280]  舉高點,我們為這些弟兄姐妹鼓掌
[00:01:27.280 --> 00:01:29.280]  有讀經的
[00:01:29.280 --> 00:01:31.280]  第二個問題
[00:01:31.280 --> 00:01:38.320]  十二仙之書你可以依次序背的名字出來嗎?
[00:01:38.320 --> 00:01:39.800]  有點噁心
[00:01:39.800 --> 00:01:45.040]  懂得背十二仙之書的次序的請舉手
[00:01:45.040 --> 00:01:48.520]  只有這麼少
[00:01:48.520 --> 00:01:53.120]  好,又為這些弟兄姐妹鼓掌
[00:01:53.120 --> 00:01:57.920]  其實你看著聖經的目錄有個簡寫
[00:01:57.920 --> 00:02:02.120]  何以摸鵝拿梨紅蝦翻蓋亞馬
[00:02:02.120 --> 00:02:05.920]  十二個字都背了,用甚麼呢?
[00:02:05.920 --> 00:02:12.920]  何以摸鵝拿梨紅蝦翻蓋亞馬
[00:02:12.920 --> 00:02:17.840]  十二仙之書的次序你完全掌握
[00:02:17.840 --> 00:02:21.800]  我請你揭開西班牙書第三章第一節
[00:02:21.800 --> 00:02:24.800]  你很快就揭開了
[00:02:24.800 --> 00:02:27.520]  所以這個一定要懂得背
[00:02:27.520 --> 00:02:31.520]  再考多一條問題
[00:02:31.520 --> 00:02:35.120]  十二仙之書現在完了
[00:02:35.120 --> 00:02:39.400]  你見到有一張紙寫著新約傳書
