
[00:00:00.000 --> 00:00:02.000]  大家看到我這個主題也很適合
[00:00:02.000 --> 00:00:04.620]  今天我們說的是「男月者一家」
[00:00:04.620 --> 00:00:07.400]  我們就好像一個家庭那樣
[00:00:07.400 --> 00:00:09.280]  很多人都是這樣說的,不是我說的
[00:00:09.280 --> 00:00:11.920]  很多人來到拍師宣導會
[00:00:11.920 --> 00:00:13.980]  特別是我們很多都是移民
[00:00:13.980 --> 00:00:16.260]  或者是短暫過來讀書那樣
[00:00:16.260 --> 00:00:18.140]  很多時候我們都是離鄉別井
[00:00:18.140 --> 00:00:20.940]  來到這裡,好像來到一個熟齡的家庭
[00:00:20.940 --> 00:00:24.040]  就是有不同年紀,有不同的人走在一起
[00:00:24.040 --> 00:00:26.620]  就覺得很溫馨
[00:00:26.620 --> 00:00:27.400]  那...
[00:00:28.060 --> 00:00:31.260]  但是有時候我們也要注意的是
[00:00:31.260 --> 00:00:33.100]  我們是很親密的
[00:00:33.100 --> 00:00:37.480]  但是有時候我們也會很內聚
[00:00:37.480 --> 00:00:39.660]  就會有一些排...
[00:00:39.660 --> 00:00:41.420]  不是那麼容易...
[00:00:41.420 --> 00:00:44.340]  不是我們想的,但是有些外來人來的時候
[00:00:44.340 --> 00:00:47.120]  就未必那麼容易進入到某一個小組
[00:00:47.120 --> 00:00:49.520]  或者進入到我們某些群體當中
[00:00:49.520 --> 00:00:52.680]  第二條問題
[00:00:57.300 --> 00:00:58.440]  第二條問題
[00:00:58.440 --> 00:01:00.380]  是,下一條
[00:01:00.380 --> 00:01:05.060]  現在我們禹堂共有多少個小組呢?
[00:01:05.060 --> 00:01:08.060]  多少個啊?
[00:01:08.060 --> 00:01:09.880]  這個圖畫不對的
[00:01:09.880 --> 00:01:12.980]  不是有多少個人,而是有多少個小組
[00:01:12.980 --> 00:01:14.800]  有多少個小組啊?
[00:01:14.800 --> 00:01:18.180]  十個?八個?
[00:01:18.180 --> 00:01:20.900]  多少個啊?
[00:01:20.900 --> 00:01:22.940]  多少啊?
[00:01:22.940 --> 00:01:24.780]  多少呢?
[00:01:28.300 --> 00:01:34.280]  根據正式官方統計公佈
[00:01:34.280 --> 00:01:36.780]  如果有錯,你們都要告訴我們
[00:01:36.780 --> 00:01:38.980]  好,我們數一下,第一個
[00:01:38.980 --> 00:01:40.780]  欣典組
[00:01:40.780 --> 00:01:43.720]  欣典組的弟兄姊妹可不可以舉手讓我們認識一下你們啊?
[00:01:43.720 --> 00:01:44.720]  欣典組
[00:01:44.720 --> 00:01:46.660]  是啊,大家看一看
[00:01:46.660 --> 00:01:48.160]  不如站一站起來,好嗎?
[00:01:48.160 --> 00:01:50.800]  我們今天有時間,欣典組的弟兄姊妹
[00:01:50.800 --> 00:01:54.780]  好,是啊,有些去了旅行
[00:01:54.780 --> 00:01:55.860]  好,清楚
[00:01:56.220 --> 00:01:57.400]  接著
[00:01:57.400 --> 00:01:59.360]  慈愛組
[00:01:59.360 --> 00:02:01.260]  慈愛組的弟兄姊妹
[00:02:01.260 --> 00:02:05.960]  是,好
[00:02:05.960 --> 00:02:07.620]  接著再下
[00:02:07.620 --> 00:02:10.160]  和諧組
[00:02:10.160 --> 00:02:12.760]  和諧組的弟兄姊妹
[00:02:12.760 --> 00:02:15.420]  好,OK
[00:02:15.420 --> 00:02:17.900]  接著是
[00:02:17.900 --> 00:02:20.420]  Success組的弟兄姊妹
[00:02:20.420 --> 00:02:23.320]  是,還有些在裡面
[00:02:23.320 --> 00:02:24.320]  是啊,是啊
[00:02:24.780 --> 00:02:26.300]  是啊,OK
[00:02:26.300 --> 00:02:30.480]  接著是每天愛你多一組
[00:02:30.480 --> 00:02:35.140]  好
[00:02:35.140 --> 00:02:36.880]  接著就是
[00:02:36.880 --> 00:02:39.340]  這一組成立了多久?兩年?
[00:02:39.340 --> 00:02:41.020]  是不是兩年了?兩年左右
[00:02:41.020 --> 00:02:43.400]  兩年的新職青組
[00:02:43.400 --> 00:02:48.480]  是,謝謝
[00:02:48.480 --> 00:02:50.600]  接著就是
[00:02:50.600 --> 00:02:53.900]  學青組
[00:02:53.900 --> 00:02:54.900]  學青
[00:02:54.900 --> 00:03:02.620]  大家看見了,站起來的都不是很青
[00:03:02.620 --> 00:03:06.520]  這些就是我們的家人
[00:03:06.520 --> 00:03:08.280]  我們比較年紀小的弟兄姊妹
[00:03:08.280 --> 00:03:10.940]  比較害羞,不太好意思站起來
[00:03:10.940 --> 00:03:14.720]  學青組是一個比較大的群組
[00:03:14.720 --> 00:03:18.460]  裡面學青組都分幾個再小一點的
[00:03:18.460 --> 00:03:20.840]  平時聚會的時候有少少的分組
[00:03:20.840 --> 00:03:25.560]  所以按照這個統計,1,2,3,4,5,6,7
[00:03:25.560 --> 00:03:27.200]  七組
