
[00:00:00.000 --> 00:00:05.180]  (主席)各位姐妹早晨,住內平安
[00:00:05.180 --> 00:00:09.560]  每個人都有歸家的渴望
[00:00:09.560 --> 00:00:13.640]  但每個人都有離家的衝動
[00:00:13.640 --> 00:00:17.360]  我們的靈魂需要安頓
[00:00:17.360 --> 00:00:21.840]  但我們的肉體卻是尋找放縱
[00:00:21.840 --> 00:00:24.720]  家人的擁抱是溫暖的
[00:00:24.720 --> 00:00:29.240]  但我們卻嫌不夠新鮮刺激
[00:00:29.240 --> 00:00:33.160]  於是我們每一個人都用不同的方式離開家園
[00:00:33.160 --> 00:00:35.080]  闖蕩江湖
[00:00:35.080 --> 00:00:37.800]  今天我們看一段經文
[00:00:37.800 --> 00:00:41.160]  講一個離家與歸家的故事
[00:00:41.160 --> 00:00:42.360]  經文相當長
[00:00:42.360 --> 00:00:45.320]  就是今天的福音書經課
[00:00:45.320 --> 00:00:49.360]  《老家福音》第十五章第十一節至第三十二節
[00:00:49.360 --> 00:00:51.680]  我們再看一次
[00:00:51.680 --> 00:00:58.280]  看看這個故事與自己的生命有什麼關係
[00:00:58.280 --> 00:01:03.680]  離家與歸家是每一個人生命的那種體會
[00:01:03.680 --> 00:01:05.480]  第十五章第十一節
[00:01:05.480 --> 00:01:07.480]  《老家福音》記載
[00:01:07.480 --> 00:01:10.880]  耶穌說:有一個人有兩個兒子
[00:01:10.880 --> 00:01:13.080]  小兒子對父親說:父親
[00:01:13.080 --> 00:01:15.880]  請你把我應得的家業分給我
[00:01:15.880 --> 00:01:19.080]  他父親就把產業分給他們
[00:01:19.080 --> 00:01:20.360]  過了不多幾日
[00:01:20.360 --> 00:01:24.040]  很快小兒子就把他一切所有的都收拾起來
[00:01:24.040 --> 00:01:25.720]  往遠方去了
[00:01:25.720 --> 00:01:28.880]  在那裡任意放蕩浪費資財
[00:01:28.880 --> 00:01:31.200]  既耗盡了一切所有的
[00:01:31.200 --> 00:01:34.920]  又遇著那地方大租饑荒就窮苦起來
[00:01:34.920 --> 00:01:37.760]  於是就去投靠那地方的一個人
