
[00:00:00.000 --> 00:00:03.800]  馬福音8章31至33節
[00:00:03.800 --> 00:00:07.300]  耶穌第一次向門徒預言
[00:00:07.300 --> 00:00:11.500]  祂將要受苦、受難
[00:00:11.500 --> 00:00:18.800]  主耶穌其實已知道祂將要受許多苦難
[00:00:18.800 --> 00:00:20.800]  遭人棄絕
[00:00:20.800 --> 00:00:23.400]  並且要被殺
[00:00:23.400 --> 00:00:25.200]  之後祂復活
[00:00:25.200 --> 00:00:29.000]  這是一個非常艱難的旅程
[00:00:29.000 --> 00:00:35.600]  主耶穌先要處理自己內心的狀況
[00:00:35.600 --> 00:00:39.300]  才能夠迎向這個歷練
[00:00:39.300 --> 00:00:42.800]  同時主知道門徒日後
[00:00:42.800 --> 00:00:47.500]  同樣都會走類似的艱難的道路
[00:00:47.500 --> 00:00:53.500]  因為信主的人必須經歷更多的磨練
[00:00:53.500 --> 00:00:58.800]  他更加知道可以進入神的國
[00:00:58.800 --> 00:01:03.000]  既然門徒已經知道主是基督
[00:01:03.000 --> 00:01:06.600]  就在馬可8章29節
[00:01:06.600 --> 00:01:09.500]  彼得當耶穌問
[00:01:09.500 --> 00:01:12.500]  「你們知道我是誰嗎?」
[00:01:12.500 --> 00:01:14.600]  彼得就很快回應
[00:01:14.600 --> 00:01:16.700]  「祂就是基督」
[00:01:16.700 --> 00:01:19.100]  所以耶穌覺得是時候
[00:01:19.100 --> 00:01:20.900]  開始更加坦誠
[00:01:20.900 --> 00:01:26.900]  與門徒分享基督真正的職份是什麼
[00:01:26.900 --> 00:01:31.000]  祂來到世上不是要得著榮耀
[00:01:31.000 --> 00:01:33.900]  得著權勢地位
[00:01:33.900 --> 00:01:38.100]  相反祂是要受很多苦楚
[00:01:38.100 --> 00:01:41.800]  但是彼得的反應是不想
[00:01:41.800 --> 00:01:43.000]  他反對
[00:01:43.000 --> 00:01:44.900]  他拉著主
[00:01:44.900 --> 00:01:46.600]  而且說主
[00:01:46.600 --> 00:01:49.300]  這裡說到他責備主
[00:01:49.300 --> 00:01:52.500]  他不但拉著他的老師
[00:01:52.500 --> 00:01:55.800]  還阻止他繼續說下去
[00:01:55.800 --> 00:02:00.200]  他責怪主的教導不是很適切
[00:02:00.200 --> 00:02:04.000]  他完全不能夠接受基督的職事
[00:02:04.000 --> 00:02:08.500]  就是要受苦受死
