
[00:00:00.000 --> 00:00:11.640]  好,今天我們這個題目就是
[00:00:11.640 --> 00:00:17.280]  你如果行得好,豈不忘月立命
[00:00:17.280 --> 00:00:19.720]  我想問一下弟兄姊妹
[00:00:19.720 --> 00:00:23.680]  弟兄姊妹你們有參與在當中侍奉的
[00:00:23.680 --> 00:00:26.040]  無論什麼侍奉都好
[00:00:26.040 --> 00:00:28.320]  請你舉一舉手
[00:00:28.320 --> 00:00:31.120]  只要是侍奉,無論什麼侍奉都好
[00:00:31.120 --> 00:00:33.800]  你明白這是一個侍奉來的
[00:00:33.800 --> 00:00:37.240]  請你舉一舉手
[00:00:37.240 --> 00:00:39.200]  OK,感謝主
[00:00:39.200 --> 00:00:43.200]  我都以爲是全場都舉手了
[00:00:43.200 --> 00:00:44.840]  或者你沒有參與到的
[00:00:44.840 --> 00:00:48.360]  到今天你都仍然沒參與到侍奉的
[00:00:48.360 --> 00:00:53.320]  你都舉一舉手,我看看有多少
[00:00:53.320 --> 00:00:56.400]  那些沒有舉手的去了哪裏
[00:00:56.400 --> 00:00:59.560]  在做什麼
[00:00:59.560 --> 00:01:03.600]  還是不明白侍奉是什麼一回事呢
[00:01:03.600 --> 00:01:07.080]  我想對那些侍奉中的弟兄姊妹
[00:01:07.080 --> 00:01:08.760]  我都想問一下你們
[00:01:08.760 --> 00:01:10.840]  你們在教會的生活當中
[00:01:10.840 --> 00:01:13.240]  你們有參與侍奉
[00:01:13.240 --> 00:01:16.840]  是否通常都會有一種這樣的經歷
[00:01:16.840 --> 00:01:20.360]  參與了不只是一單的侍奉
[00:01:20.360 --> 00:01:22.080]  可能有很多的侍奉
[00:01:22.080 --> 00:01:27.560]  我又是師琴,又是領經班,又是師班員,又是做招待
[00:01:27.560 --> 00:01:31.440]  又是教主的,很多很多的侍奉
[00:01:31.440 --> 00:01:37.440]  但我卻覺得其實是很疲累的
[00:01:37.440 --> 00:01:40.280]  可能我只是參與一種侍奉
[00:01:40.280 --> 00:01:43.400]  都是覺得很疲累
[00:01:43.400 --> 00:01:46.920]  同時會覺得很枯乾
[00:01:46.920 --> 00:01:53.320]  甚至心裏會產生一些埋怨
[00:01:53.320 --> 00:01:55.560]  爲什麼只有我一個人做
[00:01:55.560 --> 00:01:58.360]  爲什麼身邊那個不動手
[00:01:58.360 --> 00:02:02.680]  可能有很多這些方面的埋怨
[00:02:02.680 --> 00:02:05.320]  我們侍奉慢慢有一種熱情
[00:02:05.320 --> 00:02:12.000]  不知不覺就變成了一個需要完成的侍奉的清單
[00:02:12.000 --> 00:02:16.160]  或者是一個任務的清單
[00:02:16.160 --> 00:02:20.760]  今天讓我們可以回到聖經裏面去看
[00:02:20.760 --> 00:02:26.160]  或者如何從聖經裏面的經文中
[00:02:26.160 --> 00:02:30.840]  給我們一些提醒,給我們一些鼓勵
[00:02:30.840 --> 00:02:33.000]  我們回到聖經的時候
[00:02:33.000 --> 00:02:35.080]  我們就看到有兩兄弟
[00:02:35.080 --> 00:02:42.280]  這兩兄弟其實是亞當夏娃的下一代
[00:02:42.280 --> 00:02:47.400]  這兩兄弟很奇妙的是他們懂得獻祭
[00:02:47.400 --> 00:02:49.920]  他們做了獻祭
[00:02:49.920 --> 00:02:56.360]  這個肯定是之前神教導他們需要這樣做的
[00:02:56.360 --> 00:02:59.040]  他們一起都有獻祭
[00:02:59.040 --> 00:03:01.960]  但是偏偏一個蒙神喜悅
[00:03:01.960 --> 00:03:06.640]  另外一個獻祭就被神拒絕了
[00:03:06.640 --> 00:03:13.040]  其中的區別就是我們今天要講的這個信息
[00:03:13.040 --> 00:03:16.120]  聖祖看中的是什麼來的呢?
[00:03:16.120 --> 00:03:19.360]  到底是否我們做了什麼呢?
[00:03:19.360 --> 00:03:22.360]  還是我們所做的時候
[00:03:22.360 --> 00:03:24.360]  心態是怎樣的呢?
[00:03:24.360 --> 00:03:27.080]  態度又是怎樣的呢?
[00:03:27.080 --> 00:03:31.280]  所以神對該人的責難
[00:03:31.280 --> 00:03:36.720]  就成爲了我們今天都要得到的一個問題
[00:03:36.720 --> 00:03:39.600]  就是說
[00:03:39.600 --> 00:03:41.520]  你若行得好
