
[00:00:00.000 --> 00:00:02.000]  丁姊妹,大家好嗎?
[00:00:02.000 --> 00:00:06.000]  願我們都能夠有一個開放的心
[00:00:06.000 --> 00:00:08.000]  在神人面前
[00:00:08.000 --> 00:00:10.000]  去享受認見神的時候
[00:00:10.000 --> 00:00:12.000]  亦都謙卑在神人面前
[00:00:12.000 --> 00:00:14.000]  我們一起祈禱吧
[00:00:14.000 --> 00:00:17.000]  天父上帝,我們也多謝祢
[00:00:17.000 --> 00:00:19.000]  因為祢不單止救贖我們
[00:00:19.000 --> 00:00:21.000]  祢也是教導我們
[00:00:21.000 --> 00:00:23.000]  在日常生活當中
[00:00:23.000 --> 00:00:25.000]  如何與祢同行
[00:00:25.000 --> 00:00:27.000]  求上帝
[00:00:27.000 --> 00:00:29.000]  讓我們能夠住在謙卑的心
[00:00:29.000 --> 00:00:31.000]  尊利為大
[00:00:31.000 --> 00:00:33.000]  讓我們學習
[00:00:33.000 --> 00:00:35.000]  去放下自己
[00:00:35.000 --> 00:00:37.000]  行神祢自己的心意
[00:00:37.000 --> 00:00:39.000]  我們祈禱奉耶穌的聖名
[00:00:39.000 --> 00:00:41.000]  阿們
[00:00:41.000 --> 00:00:43.000]  我想大家都可能試過
[00:00:43.000 --> 00:00:45.000]  外出吃飯
[00:00:45.000 --> 00:00:47.000]  在餐廳點了一頓飯
[00:00:47.000 --> 00:00:49.000]  等極都未來
[00:00:49.000 --> 00:00:51.000]  有沒有試過?
[00:00:51.000 --> 00:00:53.000]  大家很有同感吧?
[00:00:53.000 --> 00:00:55.000]  又或者
[00:00:55.000 --> 00:00:57.000]  課外對白
[00:00:57.000 --> 00:00:59.000]  又或者課外對白
[00:00:59.000 --> 00:01:01.000]  又或者課外對白
[00:01:01.000 --> 00:01:03.000]  你們會怎樣?
[00:01:03.000 --> 00:01:05.000]  你們會抱怨
[00:01:05.000 --> 00:01:07.000]  跟他們說
[00:01:07.000 --> 00:01:09.000]  不是,課外對白
[00:01:09.000 --> 00:01:11.000]  是對的
[00:01:11.000 --> 00:01:13.000]  因為餐廳是有責任
[00:01:13.000 --> 00:01:15.000]  去滿足顧客的要求
[00:01:15.000 --> 00:01:17.000]  但是
[00:01:17.000 --> 00:01:19.000]  會不會有時我們祈禱呢?
[00:01:19.000 --> 00:01:21.000]  都是這個心態
[00:01:21.000 --> 00:01:23.000]  我們祈禱了
[00:01:23.000 --> 00:01:25.000]  教託了,托上一些東西
[00:01:25.000 --> 00:01:27.000]  下單了
[00:01:27.000 --> 00:01:29.000]  為什麼
[00:01:29.000 --> 00:01:31.000]  這麼久都未來呢?
