
[00:00:00.000 --> 00:00:05.000]  好 我們今天繼續從啟示錄當中學習
[00:00:05.000 --> 00:00:06.440]  今天也是挺好的
[00:00:06.440 --> 00:00:09.240]  因為上個星期剛剛聽完第五章
[00:00:09.240 --> 00:00:13.240]  緊接著第六章就對了
[00:00:13.240 --> 00:00:18.440]  我們會記得上個星期或者再之前
[00:00:18.440 --> 00:00:23.360]  其實我們從天上那個榮美的敬拜裡面
[00:00:23.360 --> 00:00:25.080]  都有很多的提醒
[00:00:25.080 --> 00:00:29.360]  不過這個這麼榮美的景象
[00:00:29.360 --> 00:00:32.000]  到了今天要暫告一段了
[00:00:32.000 --> 00:00:33.760]  已經好一段時間了
[00:00:33.760 --> 00:00:37.920]  因為我們由金堂的崇拜開始
[00:00:37.920 --> 00:00:40.120]  我們很多的內容
[00:00:40.120 --> 00:00:43.200]  其實都會陸續去看
[00:00:43.200 --> 00:00:48.200]  關於在啟示錄裡面嚴厲的一些預告
[00:00:48.200 --> 00:00:53.600]  或者讓我們先一起讀一讀啟示錄第六章
[00:00:53.600 --> 00:00:55.360]  第六章 希望大家記得
[00:00:55.360 --> 00:00:59.640]  第六章 我們全段的經文由第一節到第十七節
[00:00:59.640 --> 00:01:00.240]  好不好
[00:01:00.240 --> 00:01:03.960]  是 由我控制
[00:01:03.960 --> 00:01:05.720]  看不看到 都看到
[00:01:05.720 --> 00:01:07.680]  OK 好 一二三
[00:01:07.680 --> 00:01:13.000]  我看見高揚揭開七個人中的第一個人時候
[00:01:13.000 --> 00:01:15.960]  竟然是你問我做一件好事
[00:01:15.960 --> 00:01:17.680]  聲音如落雪
[00:01:17.680 --> 00:01:20.040]  你來 我就伴我
[00:01:20.040 --> 00:01:21.840]  看見一座山下
[00:01:21.840 --> 00:01:24.280]  期待那雙頸塌下最高
[00:01:24.280 --> 00:01:26.640]  並有冠冕之下
[00:01:26.640 --> 00:01:29.800]  下就有稱號 勝而有勝
[00:01:29.800 --> 00:01:32.960]  我看見在第二個人的時候
[00:01:32.960 --> 00:01:35.320]  我竟然看見我伴著雪
[00:01:35.320 --> 00:01:38.560]  你來 就竟有若群馬衝浪
[00:01:38.560 --> 00:01:42.920]  小紅色的 有拳頂刺的高揚
[00:01:42.920 --> 00:01:45.520]  你從我身體裡看見
[00:01:45.520 --> 00:01:47.520]  似是幾次相殺
[00:01:47.520 --> 00:01:50.360]  但又似是受虐的打得太高
[00:01:50.360 --> 00:01:53.880]  高揚揭開第三個人的時候
[00:01:53.880 --> 00:01:56.320]  我竟然看見我伴著雪
[00:01:56.320 --> 00:01:58.560]  你來 我就伴我
[00:01:58.560 --> 00:02:00.360]  看見一座山下
[00:02:00.360 --> 00:02:03.840]  期待那雙頸塌下最高
