
[00:00:00.000 --> 00:00:03.920]  今天很榮幸與大家分享神的訊息
[00:00:03.920 --> 00:00:05.240]  在我們領受神的話語之前
[00:00:05.240 --> 00:00:07.000]  我們再次低頭來禱告媽媽
[00:00:07.000 --> 00:00:09.000]  天安,求你親自用你的話語
[00:00:09.000 --> 00:00:10.880]  成為我們生命的幫助和激勵
[00:00:10.880 --> 00:00:13.360]  幫助我們找到我們的崗位
[00:00:13.360 --> 00:00:16.400]  教導我們如何面對我們周遭的人
[00:00:16.400 --> 00:00:18.360]  你高姆孩子今天所說的訊息
[00:00:18.360 --> 00:00:21.640]  亦給孩子有能力去面對今天不同的挑戰
[00:00:21.640 --> 00:00:23.080]  聽下者面前的祈禱交托
[00:00:23.080 --> 00:00:24.440]  勵奉主得聖的名
[00:00:24.440 --> 00:00:25.240]  阿們
[00:00:25.240 --> 00:00:28.360]  其實每一個牧者都很渴望
[00:00:28.360 --> 00:00:31.280]  教會的弟兄姊妹很投入教會
[00:00:31.280 --> 00:00:34.320]  可以參與教會不同的團契
[00:00:34.320 --> 00:00:36.560]  參與不同的侍奉
[00:00:36.560 --> 00:00:38.560]  但是有時候做基督徒
[00:00:38.560 --> 00:00:40.560]  我不知道你覺得辛苦嗎?
[00:00:40.560 --> 00:00:43.840]  外面也有著名的一句話
[00:00:43.840 --> 00:00:46.280]  梁永善牧師的教會
[00:00:46.280 --> 00:00:48.040]  做他的同工是很大壓力的
[00:00:48.040 --> 00:00:50.680]  做他的會友也沒有時間停下來
[00:00:50.680 --> 00:00:51.840]  後來我跟他們說
[00:00:51.840 --> 00:00:53.640]  我已經不是命恩堂的牧師了
[00:00:53.640 --> 00:00:56.440]  這些壓力應該仍然存在
[00:00:56.440 --> 00:00:58.880]  正在承傳這些事
[00:00:58.880 --> 00:00:59.760]  是真的
[00:00:59.760 --> 00:01:01.560]  你想想你做基督徒
[00:01:01.560 --> 00:01:02.760]  你聽得多的時候
[00:01:02.760 --> 00:01:03.640]  這裡有需要
[00:01:03.640 --> 00:01:04.640]  那裡也有需要
[00:01:04.640 --> 00:01:07.960]  稍後報告又有潮州定點的宣教
[00:01:07.960 --> 00:01:09.040]  希望你參與
[00:01:09.040 --> 00:01:12.560]  每年又要去南亞的地方
[00:01:12.560 --> 00:01:16.960]  究竟我們可以擺放多少時間在當中呢?
[00:01:16.960 --> 00:01:19.320]  今天很想跟大家分享一段很短
[00:01:19.320 --> 00:01:20.640]  大家很熟悉的經文
[00:01:20.640 --> 00:01:24.520]  我想減輕大部分弟兄姊妹的內疚感
[00:01:24.520 --> 00:01:27.120]  好像沒有參與教會的侍奉
[00:01:27.120 --> 00:01:28.840]  減輕你的內疚
[00:01:28.840 --> 00:01:32.400]  但也想加重另外一些人心裡的壓力
[00:01:32.400 --> 00:01:34.480]  就是如果你完全沒有任何的侍奉
[00:01:34.480 --> 00:01:37.560]  一段經文大家很熟悉的
[00:01:37.560 --> 00:01:39.720]  就是很實馬利亞人的比喻
[00:01:39.720 --> 00:01:42.800]  我們一起來讀這一段聖經
[00:01:42.800 --> 00:01:45.680]  《盧卡芬第十章》二十五到三十七節
