
[00:00:00.000 --> 00:00:02.000]  讓我們想像一下
[00:00:02.000 --> 00:00:04.000]  燕子飛時
[00:00:04.000 --> 00:00:06.000]  綠水人家曉
[00:00:06.000 --> 00:00:09.000]  是一幅怎樣的景象
[00:00:09.000 --> 00:00:15.000]  應該不是今天的天氣的景象
[00:00:15.000 --> 00:00:18.000]  今天是看不到的
[00:00:18.000 --> 00:00:20.000]  燕子是天空飛舞
[00:00:20.000 --> 00:00:23.000]  清澈的溪水
[00:00:23.000 --> 00:00:25.000]  在河道上
[00:00:25.000 --> 00:00:28.000]  環繞著村莊流動
[00:00:28.000 --> 00:00:31.000]  這種自然景象告訴我們
[00:00:31.000 --> 00:00:34.000]  冬末初春
[00:00:34.000 --> 00:00:37.000]  那種乍暖還寒的天氣
[00:00:37.000 --> 00:00:39.000]  應該過去了
[00:00:39.000 --> 00:00:42.000]  初夏的溫暖
[00:00:42.000 --> 00:00:44.000]  來臨了
[00:00:44.000 --> 00:00:49.000]  燕子本身不是夏天
[00:00:49.000 --> 00:00:53.000]  綠水也不是夏天
[00:00:53.000 --> 00:00:56.000]  但是他們的出現
[00:00:56.000 --> 00:00:59.000]  讓人知道
[00:00:59.000 --> 00:01:01.000]  讓人感覺到
[00:01:01.000 --> 00:01:04.000]  溫暖的夏天即將來臨
[00:01:04.000 --> 00:01:07.000]  現在是章林期
[00:01:07.000 --> 00:01:10.000]  章林期
[00:01:10.000 --> 00:01:13.000]  等候著耶穌基督的來臨
[00:01:13.000 --> 00:01:17.000]  究竟是什麼話給人聽
[00:01:17.000 --> 00:01:19.000]  耶穌基督來臨呢
[00:01:19.000 --> 00:01:23.000]  那一個為耶穌基督的來臨而作的見證
[00:01:23.000 --> 00:01:25.000]  又是一個怎樣的見證呢
[00:01:25.000 --> 00:01:27.000]  今天我們讀福音經課
[00:01:27.000 --> 00:01:31.000]  就是讀了《施洗約翰的見證》
[00:01:31.000 --> 00:01:33.000]  我們再看《施洗約翰的見證》
[00:01:33.000 --> 00:01:35.000]  在這段經文裏
[00:01:35.000 --> 00:01:37.000]  可以看到
[00:01:37.000 --> 00:01:40.000]  給到我們什麼啟示
