
[00:00:00.000 --> 00:00:02.000]  馬上進去,我們繼續
[00:00:02.000 --> 00:00:05.680]  2025年御府祈靈修
[00:00:05.680 --> 00:00:08.180]  來到最後的幾天
[00:00:08.180 --> 00:00:10.800]  第39講,我主我神
[00:00:10.800 --> 00:00:12.380]  是講主耶穌復活之後
[00:00:12.380 --> 00:00:16.120]  復活的第二,癡客、聖靈和差遣
[00:00:16.120 --> 00:00:18.120]  我們先禱告
[00:00:18.120 --> 00:00:20.120]  讚美上主
[00:00:20.120 --> 00:00:23.820]  祢自己有計劃
[00:00:23.820 --> 00:00:26.500]  讚美滿有智慧
[00:00:26.500 --> 00:00:31.840]  無所不知,無所不在,無所不能,昔在今在,以後永在
[00:00:31.840 --> 00:00:35.840]  從耿古到永遠就是上帝的三一上主
[00:00:35.840 --> 00:00:38.840]  祢自己要救贖人類
[00:00:38.840 --> 00:00:42.240]  用三一的方式向我們顯現祢自己
[00:00:42.240 --> 00:00:45.840]  祢就父神定子
[00:00:45.840 --> 00:00:47.840]  救贖
[00:00:47.840 --> 00:00:51.080]  兒子耶穌就來到執行
[00:00:51.080 --> 00:00:53.080]  死在十字架上
[00:00:53.080 --> 00:00:55.080]  最後說聖了
[00:00:55.080 --> 00:00:57.080]  由死到復活
[00:00:57.080 --> 00:01:01.080]  聖靈就成為救恩的施行者
[00:01:01.080 --> 00:01:04.080]  拍每一個人的心門
[00:01:04.080 --> 00:01:06.080]  進到人的裏面
[00:01:06.080 --> 00:01:08.080]  叫人跟隨,相信祢
[00:01:08.080 --> 00:01:10.080]  讚美三一上主
[00:01:10.080 --> 00:01:12.080]  偉大的救贖善功
[00:01:12.080 --> 00:01:15.080]  完全是三一上主的功勞
[00:01:15.080 --> 00:01:17.080]  在祢面前謙卑苦伏
[00:01:17.080 --> 00:01:19.080]  只有讚嘆
[00:01:19.080 --> 00:01:20.080]  只有敬拜
[00:01:20.080 --> 00:01:22.080]  只有苦伏
[00:01:22.080 --> 00:01:24.080]  祢有榮耀稱讚
[00:01:24.080 --> 00:01:26.080]  我高舉祢,讚美祢
[00:01:26.080 --> 00:01:29.080]  一切榮耀歸在祢名下
[00:01:29.080 --> 00:01:31.080]  各道權並榮耀
[00:01:31.080 --> 00:01:33.080]  全屬於祢,直到永遠
[00:01:33.080 --> 00:01:35.080]  阿門
[00:01:35.080 --> 00:01:37.080]  今天看復活第二
