
[00:00:00.000 --> 00:00:03.920]  很多人都說所有宗教都是導人向善
[00:00:03.920 --> 00:00:08.240]  很多人都說所有的宗教都是教人向善的
[00:00:08.240 --> 00:00:13.200]  所謂條條大路通羅馬 最後都是殊途同歸的
[00:00:13.200 --> 00:00:17.040]  所謂條條大路通羅馬 最後都是殊途同歸的
[00:00:17.040 --> 00:00:19.040]  我們今天的講道題目很大膽
[00:00:19.040 --> 00:00:22.000]  怎麼大膽呢 今天的講道題目
[00:00:22.000 --> 00:00:24.800]  就是除耶穌以外別無拯救
[00:00:24.800 --> 00:00:28.240]  今天的題目是除耶穌以外別無拯救
[00:00:28.240 --> 00:00:29.520]  就是沒有其他選擇了
[00:00:29.520 --> 00:00:31.440]  就是沒有其他選擇了
[00:00:31.440 --> 00:00:34.960]  我們看看今天的後現代社會
[00:00:34.960 --> 00:00:37.760]  我們看到現在的後現代社會
[00:00:37.760 --> 00:00:40.000]  我們所高舉的是個人主義
[00:00:40.000 --> 00:00:42.000]  我們所高舉的是個人主義
[00:00:42.000 --> 00:00:44.880]  我們所講的就是個人選擇的權利
[00:00:44.880 --> 00:00:47.360]  我們所強調的是個人選擇的權利
[00:00:47.360 --> 00:00:49.200]  似乎在這個觀念底下
[00:00:49.200 --> 00:00:51.040]  在這種觀念下
[00:00:51.040 --> 00:00:57.280]  基督教所提倡的似乎在這個世代裡沒什麼市場
[00:00:57.280 --> 00:01:01.520]  在這種情況下 基督教所提倡的似乎在這個世代裡沒什麼市場
[00:01:01.520 --> 00:01:04.320]  在今天的經文裡面
[00:01:04.320 --> 00:01:09.120]  第一代的基督徒他們的經驗告訴我們
[00:01:09.120 --> 00:01:11.760]  第一代的基督徒的經驗告訴我們
[00:01:11.760 --> 00:01:16.880]  就正正因為除耶穌以外別無拯救這個真理
[00:01:16.880 --> 00:01:20.960]  就是說除耶穌以外別無拯救是一個真理
[00:01:20.960 --> 00:01:24.320]  就正正是教會建立的基礎
