
[00:00:00.000 --> 00:00:01.640]  今天的題目叫做
[00:00:01.640 --> 00:00:05.960]  在不確定的世代裏面的生命的傳承
[00:00:05.960 --> 00:00:08.960]  這幾年很流行說不確定
[00:00:08.960 --> 00:00:13.280]  不肯定、不敢想將來、不知道
[00:00:13.280 --> 00:00:17.040]  這個在網上找到2025年
[00:00:17.040 --> 00:00:20.240]  全世界經濟的關鍵字
[00:00:20.240 --> 00:00:22.880]  2025年就是不確定
[00:00:22.880 --> 00:00:23.600]  有人這樣說
[00:00:23.600 --> 00:00:29.960]  特別是美國恐怕會陷在這個停滯性的通脹
[00:00:29.960 --> 00:00:34.320]  當然香港的幸福感
[00:00:34.320 --> 00:00:35.280]  是一種感覺
[00:00:35.280 --> 00:00:39.480]  世界幸福的報告在2025年出爐了
[00:00:39.480 --> 00:00:41.560]  第一位仍然在哪裏
[00:00:41.560 --> 00:00:43.080]  芬蘭
[00:00:43.080 --> 00:00:44.240]  芬蘭是第一位
[00:00:44.240 --> 00:00:46.560]  香港我沒有記錯
[00:00:46.560 --> 00:00:48.560]  2025年是86位
[00:00:48.560 --> 00:00:50.480]  跌到86
[00:00:50.480 --> 00:00:51.960]  比新加坡還低
[00:00:51.960 --> 00:00:55.560]  然後比菲律賓和印尼還低
[00:00:55.560 --> 00:00:59.560]  就是說其實無論是新加坡、菲律賓、印尼的人
[00:00:59.560 --> 00:01:02.880]  他們感覺自己都幸福、開心
[00:01:02.880 --> 00:01:04.600]  你看看你旁邊的頂子會
[00:01:04.600 --> 00:01:06.480]  會不會覺得他幸福呢
[00:01:06.480 --> 00:01:09.560]  有沒有一種幸福的笑容呢
[00:01:09.560 --> 00:01:10.880]  坐在另一半旁邊
[00:01:10.880 --> 00:01:14.160]  你會覺得很甜、很幸福
[00:01:14.160 --> 00:01:16.320]  然後很多人不敢想將來
[00:01:16.320 --> 00:01:18.560]  因為Bill Gates也說
[00:01:18.560 --> 00:01:22.880]  恐怕十年內很多工作不用人類做了
[00:01:22.880 --> 00:01:27.200]  最近這幾個星期都聽到一些財源的消息
[00:01:27.200 --> 00:01:28.200]  不同的地方
[00:01:28.200 --> 00:01:31.360]  已經說有些已經是內部由人工智能做了
[00:01:31.360 --> 00:01:36.440]  就是恐怕連醫生、教師都會被取締
[00:01:36.440 --> 00:01:38.840]  所以我們的下一代
[00:01:38.840 --> 00:01:40.720]  這裡有一些分享
[00:01:40.720 --> 00:01:44.160]  就是可能是在讀高中、大專
[00:01:44.160 --> 00:01:47.600]  他們覺得我們是一個完全不同的一代
[00:01:47.600 --> 00:01:50.560]  他說超穩定的人生正在瓦解
[00:01:50.560 --> 00:01:52.560]  以往其實你讀什麼大學
[00:01:52.560 --> 00:01:53.880]  出來就會做什麼工作
[00:01:53.880 --> 00:01:57.240]  現在我小女兒在讀中五
[00:01:57.240 --> 00:01:58.560]  我在想將來大學讀什麼
[00:01:58.560 --> 00:02:00.960]  我大女兒在讀大學二年級
[00:02:00.960 --> 00:02:03.480]  但他們的同學都很掙扎
[00:02:03.480 --> 00:02:07.960]  究竟現在讀這一科將來畢業會不會被人工智能取代
[00:02:07.960 --> 00:02:09.560]  他們不敢想將來
[00:02:09.560 --> 00:02:13.000]  他說網絡的技術、疫情
[00:02:13.000 --> 00:02:16.240]  令到很多年輕人不敢想將來
[00:02:16.240 --> 00:02:19.200]  穩定的人生好像正在瓦解
[00:02:19.200 --> 00:02:22.960]  對他們來說未來是不確定的
