
[00:00:00.000 --> 00:00:02.000]  我們頂姐妹平安
[00:00:02.000 --> 00:00:04.000]  讓我們開始的時候
[00:00:04.000 --> 00:00:06.000]  我們先做一個祈禱
[00:00:06.000 --> 00:00:08.000]  親愛的主啊
[00:00:08.000 --> 00:00:09.000]  我們很感謝你
[00:00:09.000 --> 00:00:11.000]  我們今天再一次來到你面前的時候
[00:00:11.000 --> 00:00:13.000]  求你打開我們的心
[00:00:13.000 --> 00:00:15.000]  使我們能夠認識你
[00:00:15.000 --> 00:00:18.000]  明白我們所信的主耶穌基督
[00:00:18.000 --> 00:00:21.000]  此刻正坐在父神的右邊
[00:00:21.000 --> 00:00:23.000]  祂在那裡掌權
[00:00:23.000 --> 00:00:25.000]  並且此刻為我們來代求
[00:00:25.000 --> 00:00:29.000]  求主使我們能夠活出一個在地若天的信心
[00:00:29.000 --> 00:00:33.000]  並且是狠切地來盼望你的快離
[00:00:33.000 --> 00:00:35.000]  奉主耶穌基督聖名
[00:00:35.000 --> 00:00:37.000]  阿們
[00:00:37.000 --> 00:00:39.000]  我們廣東人有一句
[00:00:39.000 --> 00:00:43.000]  很活該的說話
[00:00:43.000 --> 00:00:45.000]  就是形容一個人
[00:00:45.000 --> 00:00:47.000]  被升職
[00:00:47.000 --> 00:00:49.000]  升職之後
[00:00:49.000 --> 00:00:51.000]  表面很風光
[00:00:51.000 --> 00:00:53.000]  但是他失去了實權
[00:00:53.000 --> 00:00:55.000]  沒有人聽他的指示
[00:00:55.000 --> 00:00:57.000]  甚至是被邊緣化
[00:00:57.000 --> 00:00:59.000]  我們稱這個人為什麼
[00:00:59.000 --> 00:01:01.000]  被升上神台
[00:01:01.000 --> 00:01:03.000]  就像我們印度那樣
[00:01:03.000 --> 00:01:05.000]  那個人
[00:01:05.000 --> 00:01:09.000]  被調去做非洲某個國的大使
[00:01:09.000 --> 00:01:11.000]  在媒體可能會說
[00:01:11.000 --> 00:01:15.000]  這個人被升上神台
[00:01:15.000 --> 00:01:18.000]  有時候我們讀到耶穌升天的時候
[00:01:18.000 --> 00:01:22.000]  我們會不會有一種錯覺呢
[00:01:22.000 --> 00:01:26.000]  耶穌會不會是被升上神台的神呢
[00:01:26.000 --> 00:01:28.000]  菲律賓書第二章
[00:01:28.000 --> 00:01:30.000]  第9至11節其實是說到
