
[00:00:00.000 --> 00:00:06.600]  在《路加》的作者 路加醫生
[00:00:06.600 --> 00:00:09.800]  他將所記載的事件
[00:00:09.800 --> 00:00:15.400]  與世界的歷史連繫起來
[00:00:15.400 --> 00:00:21.600]  他用一個希臘的讀者作為一個對象
[00:00:21.600 --> 00:00:28.600]  他們對當時的政權感到興趣又熟悉
[00:00:28.600 --> 00:00:33.600]  當時巴勒斯坦是由羅馬帝國來統治
[00:00:33.600 --> 00:00:38.600]  蓋薩·阿古士督就是第一任的君王
[00:00:38.600 --> 00:00:45.600]  在主前30年至到主後14年來統治羅馬
[00:00:45.600 --> 00:00:49.600]  人們去看這位羅馬君王
[00:00:49.600 --> 00:00:58.600]  是沒有能力覺得他帶給國家有平安
[00:00:58.600 --> 00:01:03.600]  但真正道成肉身的這位耶穌基督
[00:01:03.600 --> 00:01:09.600]  就在馬槽裏面一個小小的嬰孩
[00:01:09.600 --> 00:01:13.600]  如果將他們兩位去看的時候
[00:01:13.600 --> 00:01:17.600]  形成一個很強烈的對比
[00:01:17.600 --> 00:01:23.600]  羅馬政府他們推行人口普查
[00:01:23.600 --> 00:01:30.600]  就是為了復兵役和徵收稅項
[00:01:30.600 --> 00:01:34.600]  猶太人不需要復兵役
[00:01:34.600 --> 00:01:38.600]  但難免都要交稅
[00:01:38.600 --> 00:01:42.600]  神將他的兒子耶穌帶到世上
[00:01:42.600 --> 00:01:47.600]  而阿古士督的人口普查
[00:01:47.600 --> 00:01:54.600]  這個命令正正是在神一個完美的計劃當中
[00:01:54.600 --> 00:01:58.600]  羅馬政府的命令就是迫使到約瑟
[00:01:58.600 --> 00:02:06.600]  他要長途跋涉回去他自己的故鄉大衛城
[00:02:06.600 --> 00:02:12.600]  去登記因為一個人口普查
[00:02:12.600 --> 00:02:17.600]  這個都應驗了上帝對大衛家的一個應許
[00:02:17.600 --> 00:02:21.600]  就是在大衛之後
[00:02:21.600 --> 00:02:26.600]  他的家族要作王
[00:02:26.600 --> 00:02:28.600]  尼加書在五章裏面
[00:02:28.600 --> 00:02:32.600]  講到以色列人被敵人去圍攻
[00:02:32.600 --> 00:02:41.600]  先知尼加說到尼塞亞這個拯救的訊息
[00:02:41.600 --> 00:02:44.600]  是為國民帶來新的希望
[00:02:44.600 --> 00:02:50.600]  基督將世人從仇敵的手中拯救過來
[00:02:50.600 --> 00:02:54.600]  好像羊群來牧養他們
[00:02:54.600 --> 00:02:58.600]  讓他們可以安居
[00:02:58.600 --> 00:03:02.600]  道家都帶出一個很重要的主題
[00:03:02.600 --> 00:03:08.600]  就是耶穌出生被放在馬槽當中
[00:03:08.600 --> 00:03:14.600]  因為原來那些客店已經住滿
[00:03:14.600 --> 00:03:18.600]  沒有地方讓他們住宿
[00:03:18.600 --> 00:03:21.600]  在耶穌一生的侍奉裏面
[00:03:21.600 --> 00:03:25.600]  他將會被拒絕
[00:03:25.600 --> 00:03:30.600]  大衛家的王就是一位被厭棄的王
[00:03:30.600 --> 00:03:34.600]  這是道家想要表達的訊息
[00:03:34.600 --> 00:03:42.600]  但是耶穌基督只是真正一個掌權者
[00:03:42.600 --> 00:03:48.600]  雖然耶穌的父母不是住在伯利恆
[00:03:48.600 --> 00:03:54.600]  但是藉著該撒亞古士督的御子
[00:03:54.600 --> 00:03:57.600]  耶穌仍然要按著寓言
[00:03:57.600 --> 00:04:01.600]  在伯利恆城降生
[00:04:01.600 --> 00:04:07.600]  他的父母約瑟和瑪利亞是大衛的後裔
[00:04:07.600 --> 00:04:09.600]  先知寓言道
