
[00:00:00.000 --> 00:00:02.000]  各位姊妹大家好
[00:00:02.000 --> 00:00:07.280]  因為我來遲了
[00:00:07.280 --> 00:00:08.640]  這個小機構
[00:00:08.640 --> 00:00:11.280]  今早我們有很多物資
[00:00:11.280 --> 00:00:12.800]  準備拿去柬埔寨
[00:00:12.800 --> 00:00:14.800]  快要運船去了
[00:00:14.800 --> 00:00:16.560]  又沒有人
[00:00:16.560 --> 00:00:18.560]  於是我就...
[00:00:18.560 --> 00:00:20.560]  就車東西
[00:00:20.560 --> 00:00:22.800]  走了幾趟去貨倉
[00:00:22.800 --> 00:00:24.400]  所以就遲了
[00:00:24.400 --> 00:00:26.400]  很趕
[00:00:26.400 --> 00:00:30.720]  當然不會這樣身世去搬貨
[00:00:30.720 --> 00:00:33.440]  要回家換衣服
[00:00:33.440 --> 00:00:36.640]  先戴好POWERPOINT的手指
[00:00:36.640 --> 00:00:40.640]  誰知想到不如換西裝
[00:00:40.640 --> 00:00:44.800]  現在那個手指很奇怪
[00:00:44.800 --> 00:00:46.800]  這樣呢
[00:00:46.800 --> 00:00:48.800]  是不是很害怕呢
[00:00:48.800 --> 00:00:50.000]  不用怕
[00:00:50.000 --> 00:00:53.440]  因為總是有辦法的
[00:00:53.440 --> 00:00:56.480]  我太太遲了一點來
[00:00:56.480 --> 00:00:59.440]  現在她已經錶回家拿來了
[00:00:59.440 --> 00:01:02.560]  另一個方案就是
[00:01:02.560 --> 00:01:05.280]  我叫同事和我太太去她家
[00:01:05.280 --> 00:01:07.280]  就可以發電郵來
[00:01:07.280 --> 00:01:08.640]  給教會的同事
[00:01:08.640 --> 00:01:09.840]  然後就可以了
[00:01:09.840 --> 00:01:11.840]  現在其實
[00:01:11.840 --> 00:01:14.320]  好像很刺眼很熱
[00:01:14.320 --> 00:01:19.840]  其實我都出了名是長的
[00:01:19.840 --> 00:01:24.320]  弄得你們差不多都不能分組
[00:01:24.320 --> 00:01:26.320]  好
[00:01:26.320 --> 00:01:35.520]  大家想不想
[00:01:35.520 --> 00:01:40.640]  大家怕不怕聽得長
[00:01:40.640 --> 00:01:47.360]  大家如果覺得悶怎麼辦
[00:01:47.360 --> 00:01:51.440]  悶的舉手有什麼用
[00:01:51.440 --> 00:01:55.920]  悶為什麼會舉手呢
[00:01:55.920 --> 00:01:57.920]  就是想告訴我很悶
[00:01:57.920 --> 00:02:01.600]  嘩 這麼直接
[00:02:01.600 --> 00:02:10.240]  如果覺得悶還有什麼解決的方案
[00:02:10.240 --> 00:02:11.760]  多點投入
[00:02:11.760 --> 00:02:13.760]  有人說走 我聽到
[00:02:13.760 --> 00:02:16.240]  那就走 多點投入
[00:02:16.240 --> 00:02:19.440]  拿手機出來假裝寫筆記
[00:02:19.440 --> 00:02:21.440]  可以有很多方案的
[00:02:21.440 --> 00:02:24.800]  好 記住以後不要來
[00:02:24.800 --> 00:02:29.120]  這樣就可以做很多事
[00:02:29.120 --> 00:02:31.920]  好了 其實呢
[00:02:31.920 --> 00:02:36.080]  你有沒有發覺我剛才都是發問的
[00:02:36.080 --> 00:02:37.840]  我是問問題的
[00:02:37.840 --> 00:02:39.440]  問了問題之後
[00:02:39.440 --> 00:02:43.600]  大家多多少少是精神了
[00:02:43.600 --> 00:02:47.120]  和有了心理準備
[00:02:47.120 --> 00:02:49.120]  不怕長
[00:02:49.120 --> 00:02:49.920]  是不是
[00:02:49.920 --> 00:02:51.920]  如果悶怎麼辦
[00:02:51.920 --> 00:02:54.880]  自己想好
[00:02:54.880 --> 00:02:56.880]  是不是這樣
[00:02:56.880 --> 00:02:59.280]  剛才那位姐妹舉手
[00:02:59.280 --> 00:03:00.320]  如果悶怎麼辦
[00:03:00.320 --> 00:03:02.160]  舉手
[00:03:02.160 --> 00:03:06.560]  為什麼會悶 為什麼會舉手
[00:03:06.560 --> 00:03:09.200]  有很多種可能
[00:03:09.200 --> 00:03:14.320]  可以舉手的是什麼
[00:03:14.320 --> 00:03:16.320]  原來是去洗手間
[00:03:16.320 --> 00:03:18.320]  好東西
[00:03:18.320 --> 00:03:23.520]  還有舉手你會想到是什麼
[00:03:23.520 --> 00:03:24.800]  問問題
[00:03:24.800 --> 00:03:27.920]  還有舉手是什麼
[00:03:27.920 --> 00:03:29.680]  抗議
[00:03:29.680 --> 00:03:32.240]  還有舉手是什麼
[00:03:32.240 --> 00:03:33.840]  伸懶腰
[00:03:33.840 --> 00:03:37.600]  還有舉手是什麼
[00:03:37.600 --> 00:03:39.600]  還有什麼可能性
[00:03:39.600 --> 00:03:41.360]  讚美主
[00:03:41.360 --> 00:03:44.480]  讚美主都想到 說得悶讚美主
[00:03:44.480 --> 00:03:48.480]  我還撐得住
[00:03:48.480 --> 00:03:54.960]  因此其實如果很悶怎麼辦
[00:03:54.960 --> 00:03:56.720]  我舉手
[00:03:56.720 --> 00:04:00.320]  其實我不知道她為什麼舉手
[00:04:00.320 --> 00:04:00.960]  是不是
[00:04:00.960 --> 00:04:04.000]  於是我就要問
[00:04:04.000 --> 00:04:07.040]  舉手是什麼意思
[00:04:07.040 --> 00:04:09.040]  因為舉手可以有抗議
[00:04:09.040 --> 00:04:09.920]  有讚美主
[00:04:09.920 --> 00:04:11.120]  有伸懶腰
[00:04:11.120 --> 00:04:12.160]  有問問題
[00:04:12.160 --> 00:04:13.680]  想上廁所
[00:04:13.680 --> 00:04:15.360]  因此我就要問
[00:04:15.360 --> 00:04:17.360]  你舉手是什麼意思
[00:04:17.360 --> 00:04:21.520]  舉手是什麼意思
[00:04:21.520 --> 00:04:22.240]  對了
[00:04:22.240 --> 00:04:24.720]  問一下問題
[00:04:24.720 --> 00:04:28.880]  因此我就要做一個什麼動作
[00:04:28.880 --> 00:04:33.440]  澄清她剛才那個意思
[00:04:33.440 --> 00:04:36.800]  如果我馬上就想著舉手
[00:04:36.800 --> 00:04:39.120]  即是抗議
[00:04:39.120 --> 00:04:42.240]  我的心就會怎樣
[00:04:42.240 --> 00:04:43.760]  不開心
[00:04:43.760 --> 00:04:46.320]  我一見她
[00:04:46.320 --> 00:04:48.800]  眼金金看著我
[00:04:48.800 --> 00:04:51.680]  我就會開始有點害怕
[00:04:51.680 --> 00:04:52.640]  是不是
[00:04:52.640 --> 00:04:55.680]  叫她舉手我就 嘩 抗議
[00:04:55.680 --> 00:04:57.920]  於是我馬上想一下
[00:04:57.920 --> 00:05:01.120]  究竟我是要不理她當看不到
[00:05:01.120 --> 00:05:02.880]  我要打壓她
[00:05:02.880 --> 00:05:04.080]  我要什麼
[00:05:04.080 --> 00:05:05.440]  我馬上要做
[00:05:05.440 --> 00:05:08.160]  其實我沒有一個澄清的過程
[00:05:08.160 --> 00:05:11.040]  就已經反應了
[00:05:11.040 --> 00:05:11.760]  是不是
[00:05:11.760 --> 00:05:15.840]  所以其實是一個溝通的過程
[00:05:15.840 --> 00:05:17.920]  你會見到要問問題
[00:05:17.920 --> 00:05:20.400]  由於PowerPoint還未到
[00:05:20.400 --> 00:05:24.160]  即是今天注定更加長
[00:05:24.160 --> 00:05:25.040]  好
[00:05:25.040 --> 00:05:28.080]  我特意拿了我的手袋
[00:05:28.080 --> 00:05:29.200]  最近用了這個
[00:05:29.200 --> 00:05:31.120]  主要是因為它夠輕
[00:05:31.120 --> 00:05:33.280]  大家有帶手袋嗎
[00:05:33.280 --> 00:05:35.600]  女士一定有
[00:05:35.600 --> 00:05:36.640]  好
[00:05:36.640 --> 00:05:42.240]  你試試像我這樣拿著你的手袋
[00:05:42.240 --> 00:05:44.720]  像我這樣拿有沒有帶
