
[00:00:00.000 --> 00:00:02.920]  我們如果星期六有早堂崇拜的時候
[00:00:02.920 --> 00:00:06.360]  就知道我一直有一個系列的講道
[00:00:06.360 --> 00:00:10.120]  我們曾經很完整的看過彼得前書
[00:00:10.120 --> 00:00:11.400]  整卷看完
[00:00:11.400 --> 00:00:14.160]  我們上次是看尼西米記
[00:00:14.160 --> 00:00:16.400]  也是整卷尼西米記看完
[00:00:16.400 --> 00:00:18.160]  餘下這些日子裏面
[00:00:18.160 --> 00:00:20.480]  可能在想我要講些甚麼道
[00:00:20.480 --> 00:00:24.800]  我就會去講耶穌所講的比喻
[00:00:24.800 --> 00:00:26.200]  因為耶穌的比喻
[00:00:26.200 --> 00:00:29.800]  其實很多是在背後有教導
[00:00:29.800 --> 00:00:32.440]  因為這個教導可能是深
[00:00:32.440 --> 00:00:35.120]  所以他會用比喻來解釋
[00:00:35.120 --> 00:00:38.720]  今天會和大家先看一個比喻
[00:00:38.720 --> 00:00:40.800]  就是「新舊難容」
[00:00:40.800 --> 00:00:42.720]  我不知道特別做父母的
[00:00:42.720 --> 00:00:45.120]  會不會有時你和你的孩子
[00:00:45.120 --> 00:00:47.640]  特別那些十多歲、二十多歲那些
[00:00:47.640 --> 00:00:50.800]  有很多的隔膜、衝突
[00:00:50.800 --> 00:00:55.360]  有時你不太接受到他們的行為、模式
[00:00:55.360 --> 00:00:58.800]  於是很多時大家之間有這些爭拗
[00:00:58.800 --> 00:01:00.920]  同樣教會也是
[00:01:00.920 --> 00:01:03.960]  有時可能教會推行一些新的政策
[00:01:03.960 --> 00:01:05.560]  或者一些新的事工
[00:01:05.560 --> 00:01:08.120]  但已經知道有時又未必一下子
[00:01:08.120 --> 00:01:10.680]  即刻那麼容易有正面的反應
[00:01:10.680 --> 00:01:11.800]  會去接受
[00:01:11.800 --> 00:01:14.960]  反而有時可能會有很多的批評
[00:01:14.960 --> 00:01:16.640]  最簡單舉個例
[00:01:16.640 --> 00:01:19.680]  我剛剛去了加拿大
[00:01:19.680 --> 00:01:23.640]  就和黃祖藍夫婦一齊去侍奉
[00:01:23.640 --> 00:01:26.600]  原來那邊的報道會是要賣票的
[00:01:26.600 --> 00:01:29.080]  我開頭收到這樣的消息的時候
[00:01:29.080 --> 00:01:30.400]  我都覺得不是吧
[00:01:30.400 --> 00:01:32.560]  報道會要賣票的
[00:01:32.560 --> 00:01:34.360]  那為甚麼我會收到這些消息呢
[00:01:34.360 --> 00:01:36.160]  原來就是有些弟兄姊妹
[00:01:36.160 --> 00:01:38.000]  我沒見三、四十年那些
[00:01:38.000 --> 00:01:40.080]  他們買不到票,所以才找我的
[00:01:40.080 --> 00:01:43.120]  他說「很開心你來加拿大,我很想見你」
[00:01:43.120 --> 00:01:44.200]  接著下面那句就是
[00:01:44.200 --> 00:01:46.680]  「因為我買不到票,你可不可以帶我入場」
[00:01:46.680 --> 00:01:49.440]  我就很明白,可以賣票的嗎
[00:01:49.440 --> 00:01:51.800]  接著我就叫他們掃描資料給我看
[00:01:51.800 --> 00:01:54.760]  真的掃描那些票給我看
[00:01:54.760 --> 00:01:57.600]  我看完之後又覺得OK,原來不是貴的
[00:01:57.600 --> 00:02:03.720]  5元一張的票,其實不是為了賺錢
[00:02:03.720 --> 00:02:07.440]  後來我問負責的機構要不要賣票
[00:02:07.440 --> 00:02:08.960]  他們一說我就明白了
[00:02:08.960 --> 00:02:11.160]  如果我們不賣票的時候
[00:02:11.160 --> 00:02:12.760]  你控制不了人數
[00:02:12.760 --> 00:02:14.920]  那個場地可能是一千人
[00:02:14.920 --> 00:02:17.040]  你隨時來三、四千人
[00:02:17.040 --> 00:02:18.920]  那你怎樣?先到先得嗎
[00:02:18.920 --> 00:02:20.920]  所以一定是不可以的
[00:02:20.920 --> 00:02:25.480]  我已經邀請了他們兩夫婦來我們教會
[00:02:25.480 --> 00:02:27.480]  有三場的報道會
[00:02:27.480 --> 00:02:29.120]  我想我都要賣票的
[00:02:29.120 --> 00:02:34.800]  不過我們為了免得那些基督徒批判我們
[00:02:34.800 --> 00:02:36.880]  不信那些人不會批判我們
[00:02:36.880 --> 00:02:38.880]  我打算賣10元一張票
[00:02:38.880 --> 00:02:40.440]  10元算得了甚麼錢
[00:02:40.440 --> 00:02:42.680]  不信那些反而沒有問題
[00:02:42.680 --> 00:02:45.560]  反而往往批評的是主裡面那班人
[00:02:45.560 --> 00:02:47.760]  「不是吧,報道會要給錢」
[00:02:47.760 --> 00:02:50.520]  「搞甚麼,這間教會這麼世俗」
[00:02:50.520 --> 00:02:51.800]  但他又不奉獻
[00:02:51.800 --> 00:02:54.200]  他不知道原來報道會要用很多錢的
[00:02:54.200 --> 00:02:56.840]  是呀,傳福音是要用錢
[00:02:56.840 --> 00:02:58.520]  信耶穌是不用給錢的
[00:02:58.520 --> 00:03:00.520]  大家要有這樣的觀念
[00:03:00.520 --> 00:03:02.760]  所以我已經決定了
[00:03:02.760 --> 00:03:04.200]  我們到時要賣票
[00:03:04.200 --> 00:03:06.480]  因為免得控制不了人數
