
[00:00:00.000 --> 00:00:02.960]  好,今天我們會轉了一個講題
[00:00:02.960 --> 00:00:07.100]  我們一直在講的是哥林多前書
[00:00:07.100 --> 00:00:10.640]  因為我們進到御府期,大齋期
[00:00:10.640 --> 00:00:13.140]  我們上年講,楊福音都講到了
[00:00:13.140 --> 00:00:14.740]  去到第十七章
[00:00:14.740 --> 00:00:16.840]  之後十八章我們停了
[00:00:16.840 --> 00:00:21.340]  就預了去到今年在復活節
[00:00:21.340 --> 00:00:23.440]  在壽府節的時候
[00:00:23.440 --> 00:00:24.640]  我們會進到去
[00:00:24.640 --> 00:00:27.640]  今天講題是「你有否背叛了?」
[00:00:27.640 --> 00:00:29.640]  「有否背叛了?」
[00:00:30.000 --> 00:00:34.800]  我們每一個人對不同的情況都有不同的反應
[00:00:34.800 --> 00:00:37.500]  又或者我們面對同一個處境
[00:00:37.500 --> 00:00:39.500]  我們都有不同的反應
[00:00:39.500 --> 00:00:44.000]  在早幾天,政主就請了我去講了一個討論
[00:00:44.000 --> 00:00:48.000]  在上網,我都是第一次用Zoom講了一個討論
[00:00:48.000 --> 00:00:49.800]  初時他叫我講的時候
[00:00:49.800 --> 00:00:53.000]  這個討論就叫做「一逆見底」
[00:00:53.000 --> 00:00:54.500]  「一逆見底」
[00:00:54.500 --> 00:00:56.000]  「一逆見底」,你見到甚麼呢?
[00:00:56.000 --> 00:00:58.000]  你見到底是否可以呢?
[00:00:58.000 --> 00:01:00.000]  我當時就用了一個比喻
[00:01:00.000 --> 00:01:03.000]  就是巴菲特在2018年講的
[00:01:03.000 --> 00:01:04.500]  他這樣講,他說
[00:01:04.500 --> 00:01:09.000]  當朝退的時候就會見到誰是由裸榮的,行不行?
[00:01:09.000 --> 00:01:11.500]  當時,當然他講的時候,那些公司
[00:01:11.500 --> 00:01:13.000]  一個不好的時間
[00:01:13.000 --> 00:01:15.500]  或者一個不好生意的時間
[00:01:15.500 --> 00:01:17.000]  經濟不好的時候
[00:01:17.000 --> 00:01:20.000]  哪些公司沒有好好準備
[00:01:20.000 --> 00:01:23.000]  哪些公司沒有很好的根底
[00:01:23.000 --> 00:01:25.000]  他就見底了
[00:01:25.000 --> 00:01:27.000]  如果朝漲的時候,經濟好甚麼都可以
[00:01:27.000 --> 00:01:30.000]  沒有人見到你實質有多少個內功
[00:01:30.000 --> 00:01:34.000]  但是如果真的朝退的時候
[00:01:34.000 --> 00:01:38.000]  就好像今天,當門徒,我們的生命究竟是真是假
[00:01:38.000 --> 00:01:41.000]  當我們面對試探試煉,我們的反應是如何
[00:01:41.000 --> 00:01:44.000]  當日他大概一個月前邀請我的時候
[00:01:44.000 --> 00:01:45.000]  我說好啊
[00:01:45.000 --> 00:01:49.000]  我就準備在家裡穿著睡衣
[00:01:49.000 --> 00:01:50.000]  Zoom,我不知道是不是
[00:01:50.000 --> 00:01:52.000]  我們現在很多小組都是回家
[00:01:52.000 --> 00:01:54.000]  我太太都是洗澡了
[00:01:54.000 --> 00:01:57.000]  她說組長竟然穿著睡衣
[00:01:57.000 --> 00:01:58.000]  我說是的,我太太是其中一個
[00:01:58.000 --> 00:01:59.000]  就這樣想
[00:01:59.000 --> 00:02:00.000]  但是她說不好
[00:02:00.000 --> 00:02:02.000]  因為她有成千人會聽
[00:02:02.000 --> 00:02:03.000]  我說不是吧
[00:02:03.000 --> 00:02:05.000]  如果我家裡穿著睡衣
[00:02:05.000 --> 00:02:06.000]  這樣不是太好
[00:02:06.000 --> 00:02:07.000]  這是第一
[00:02:07.000 --> 00:02:10.000]  第二,我家裡的Wi-Fi是很不準的
[00:02:10.000 --> 00:02:12.000]  我想現在家裡也是
[00:02:12.000 --> 00:02:13.000]  很多人要上課
[00:02:13.000 --> 00:02:14.000]  要上班
