
[00:00:00.000 --> 00:00:03.000]  聖誕是一個很特別的日子
[00:00:03.000 --> 00:00:07.000]  平日你跟別人說耶穌,未必有人理你
[00:00:07.000 --> 00:00:12.000]  但到了聖誕,似乎很多人都很高興
[00:00:12.000 --> 00:00:14.000]  我記得以前一到聖誕節的時候
[00:00:14.000 --> 00:00:18.000]  很多辦公室的百頁簾就掛上一張一張卡
[00:00:18.000 --> 00:00:19.000]  大家有沒有印象
[00:00:19.000 --> 00:00:22.000]  但當然現在是透過WhatsApp
[00:00:22.000 --> 00:00:26.000]  或者是E-mail送這些電子賀卡之後
[00:00:26.000 --> 00:00:29.000]  這個景象就比較少見
[00:00:29.000 --> 00:00:31.000]  其實是幾天前
[00:00:31.000 --> 00:00:34.000]  我收到歐洲一位朋友寄來一張聖誕卡
[00:00:34.000 --> 00:00:36.000]  卡裏面寫他一些生活近況
[00:00:36.000 --> 00:00:40.000]  還貼了他的女兒一張近照
[00:00:40.000 --> 00:00:45.000]  給我一種很久違的感覺
[00:00:45.000 --> 00:00:47.000]  以前聖誕節就是這樣
[00:00:47.000 --> 00:00:50.000]  我們交換聖誕卡,裏面有一些近況
[00:00:50.000 --> 00:00:52.000]  很多人很久沒有見
[00:00:52.000 --> 00:00:57.000]  聖誕是一個普世歡騰的日子
[00:00:57.000 --> 00:01:01.000]  聖誕是一個已經不知道為什麼這麼高興的日子
[00:01:01.000 --> 00:01:03.000]  當然小學生都知道
[00:01:03.000 --> 00:01:06.000]  聖誕是紀念耶穌的誕生
[00:01:06.000 --> 00:01:09.000]  但大多數人的大事慶祝
[00:01:09.000 --> 00:01:12.000]  肯定不是為了這個原因
[00:01:12.000 --> 00:01:16.000]  這幾年不少人埋怨聖誕天氣太暖
[00:01:16.000 --> 00:01:18.000]  經濟又不好
[00:01:18.000 --> 00:01:21.000]  搞到沒有節日氣氛
[00:01:21.000 --> 00:01:23.000]  對於很多人來說
[00:01:23.000 --> 00:01:28.000]  聖誕是一種感覺,是一種氣氛
[00:01:28.000 --> 00:01:30.000]  我們今天所認識的聖誕
[00:01:30.000 --> 00:01:33.000]  基本上是商業主導
[00:01:33.000 --> 00:01:37.000]  當然聖誕節也有不少商業以外的活動
[00:01:37.000 --> 00:01:39.000]  都挺有意義的
[00:01:39.000 --> 00:01:42.000]  譬如報家陰,譬如派飯
[00:01:42.000 --> 00:01:44.000]  去捐贈寒衣
[00:01:44.000 --> 00:01:47.000]  這些都是很有意思的
[00:01:47.000 --> 00:01:51.000]  但如果聖誕節不僅僅是星光一泡要補糧
[00:01:51.000 --> 00:01:53.000]  慈善聖灰人祭夜
[00:01:53.000 --> 00:01:56.000]  或者是歡樂滿東華的話
[00:01:56.000 --> 00:01:59.000]  我們就必須認真地思考
[00:01:59.000 --> 00:02:04.000]  聖誕到底是一個什麼日子
[00:02:04.000 --> 00:02:11.000]  事實上聖誕確實是一個思考、默想的季節
[00:02:11.000 --> 00:02:13.000]  路加方二章十九節告記載
[00:02:13.000 --> 00:02:15.000]  在天使報家陰之後
[00:02:15.000 --> 00:02:17.000]  瑪利亞卻將這一切的事
[00:02:17.000 --> 00:02:21.000]  存在心裡反覆思想
[00:02:21.000 --> 00:02:22.000]  對基督徒來說
[00:02:22.000 --> 00:02:27.000]  聖誕到底有什麼是值得我們思考呢?
[00:02:27.000 --> 00:02:30.000]  在今天的新舊約經課裡
[00:02:30.000 --> 00:02:33.000]  我們讀到以下書七章十四節
[00:02:33.000 --> 00:02:36.000]  主自己要給你們一個兆頭
[00:02:36.000 --> 00:02:39.000]  必有同類懷孕生子
