
[00:00:00.000 --> 00:00:03.760]  各位弟兄姊妹平安神今日要向你講話
[00:00:03.760 --> 00:00:06.000]  原來我們的仇敵很厲害
[00:00:06.000 --> 00:00:08.680]  他在這個世界上用很多的方法
[00:00:08.680 --> 00:00:11.520]  要來打敗我們這班信徒
[00:00:11.520 --> 00:00:14.260]  要叫我們操守不及
[00:00:14.260 --> 00:00:17.400]  撒旦其中一個很喜歡用的武器
[00:00:17.400 --> 00:00:19.380]  就是叫我們亡亡亡
[00:00:19.380 --> 00:00:23.380]  亡鹿是現代人一個很大的問題
[00:00:23.380 --> 00:00:25.380]  我們只顧著工作
[00:00:25.380 --> 00:00:26.940]  只顧著亡鹿
[00:00:26.940 --> 00:00:30.860]  我們忘記了原來我們可以靜下來
[00:00:30.860 --> 00:00:33.780]  我們可以跟亡鹿說不
[00:00:33.780 --> 00:00:35.400]  我都記得有一段時間
[00:00:35.400 --> 00:00:37.340]  我的家庭出了問題
[00:00:37.340 --> 00:00:39.700]  我就投入在視訊裏面
[00:00:39.700 --> 00:00:41.260]  掛著亡亡亡
[00:00:41.260 --> 00:00:42.420]  說亡一樣亡
[00:00:42.420 --> 00:00:45.320]  果然真的排滿了我的時間表
[00:00:45.320 --> 00:00:49.340]  原來我剛剛中了仇敵的計
[00:00:49.340 --> 00:00:52.740]  今天原來神給我們有一樣的武器
[00:00:52.740 --> 00:00:55.300]  就叫我們可以勝過仇敵
[00:00:55.300 --> 00:00:56.840]  這種攻擊
[00:00:56.840 --> 00:00:58.540]  這個武器是什麼呢?
[00:00:58.540 --> 00:01:03.740]  就記載在聖經詩篇四十六篇第十節
[00:01:03.740 --> 00:01:08.300]  請大家打開聖經詩篇四十六篇第十節
[00:01:08.300 --> 00:01:09.220]  那裏說
[00:01:09.220 --> 00:01:12.500]  你們要休息
[00:01:12.500 --> 00:01:14.760]  要知道我是神
[00:01:14.760 --> 00:01:16.300]  什麼叫休息呢?
[00:01:16.300 --> 00:01:18.900]  就是你們要停下來
[00:01:18.900 --> 00:01:21.580]  環球聖經譯本就直接是這樣
[00:01:21.580 --> 00:01:23.700]  它說你們要停下來
[00:01:23.700 --> 00:01:25.840]  原來今天我們不懂得停下來
[00:01:25.840 --> 00:01:28.580]  我們一味衝啊衝啊衝啊
[00:01:28.580 --> 00:01:30.220]  我們做工作很忙
[00:01:30.220 --> 00:01:31.780]  工作時間很長
[00:01:31.780 --> 00:01:34.740]  九點十點我們還未下班
[00:01:34.740 --> 00:01:37.720]  你想想你吃晚餐的時候是幾點鐘
[00:01:37.720 --> 00:01:41.540]  很多人八點九點還未吃晚餐
[00:01:41.540 --> 00:01:43.820]  因為我們掛著亡亡亡
[00:01:43.820 --> 00:01:46.740]  特別有很多做股票生意的
[00:01:46.740 --> 00:01:49.100]  香港的股票市場完了
[00:01:49.100 --> 00:01:53.460]  接著八九點歐美的市場又開始了
[00:01:53.460 --> 00:01:55.500]  所以就像舞亭一樣
[00:01:55.500 --> 00:01:59.220]  好像一輛車猛踩著就像傳宗一樣
[00:01:59.220 --> 00:02:03.620]  我們不懂得實際停下來
[00:02:03.620 --> 00:02:05.620]  求神幫助我們
[00:02:05.620 --> 00:02:08.380]  叫我們懂得去休息
[00:02:08.380 --> 00:02:09.660]  去平靜
[00:02:09.660 --> 00:02:11.100]  去停一停
[00:02:11.100 --> 00:02:12.500]  去等候一下
[00:02:12.500 --> 00:02:13.820]  去聆聽神
[00:02:13.820 --> 00:02:15.180]  去親近神
[00:02:15.180 --> 00:02:17.740]  去安靜以求神
[00:02:17.740 --> 00:02:20.940]  除了詩篇四十六篇第十節之外
[00:02:20.940 --> 00:02:24.140]  另外詩篇一百三十一篇
[00:02:24.140 --> 00:02:26.740]  都是一篇很漂亮的詩篇
[00:02:26.740 --> 00:02:28.500]  那裏講到說
[00:02:28.500 --> 00:02:30.380]  我的心啊
[00:02:30.380 --> 00:02:33.660]  你要平靜安穩
[00:02:33.660 --> 00:02:36.500]  我的心平靜安穩
[00:02:36.500 --> 00:02:38.620]  《環球聖經》譯本那裏說
[00:02:38.620 --> 00:02:42.900]  你要讓你的心平靜安穩
[00:02:42.900 --> 00:02:46.700]  就好像那些斷了奶的嬰兒
[00:02:46.700 --> 00:02:50.620]  躺在媽媽的懷抱裏面
[00:02:50.620 --> 00:02:54.420]  一個剛剛喝完斷了奶的嬰兒
[00:02:54.420 --> 00:02:56.260]  他在這裏睡
