
[00:00:00.000 --> 00:00:05.620]  感謝神給我們一個這麼好的敬拜時間
[00:00:05.620 --> 00:00:07.620]  剛才我們唱了兩首詩
[00:00:07.620 --> 00:00:09.620]  為何我要歌頌耶穌
[00:00:09.620 --> 00:00:11.620]  我有平安在我心
[00:00:11.620 --> 00:00:16.000]  不知有沒有留意我看著領師弟兄那種喜怒
[00:00:16.000 --> 00:00:18.000]  那種滿足
[00:00:18.000 --> 00:00:19.000]  我都受到感染
[00:00:19.000 --> 00:00:21.500]  我相信弟兄姊妹你都很享受
[00:00:21.500 --> 00:00:25.000]  我相信上帝都很享受我們對他的敬拜
[00:00:25.000 --> 00:00:28.000]  的確是我們為何要歌頌耶穌
[00:00:28.000 --> 00:00:29.000]  因為祂已經拯救了
[00:00:29.000 --> 00:00:31.000]  祂給我們一個很大的使命
[00:00:31.000 --> 00:00:33.000]  我今天就要講其中一件事
[00:00:33.000 --> 00:00:36.000]  我們教會生活有七個範疇
[00:00:36.000 --> 00:00:38.000]  最後這個我們要講的
[00:00:38.000 --> 00:00:40.000]  就是社會關懷
[00:00:40.000 --> 00:00:45.000]  在整傳福音裏面的社會關懷
[00:00:45.000 --> 00:00:50.000]  我們要一齊思想耶穌基督
[00:00:50.000 --> 00:00:52.000]  在地上傳福音的同時
[00:00:52.000 --> 00:00:55.000]  祂怎樣關懷群眾的需要
[00:00:55.000 --> 00:00:56.000]  現在的教會
[00:00:56.000 --> 00:00:58.000]  怎樣學習基督的榜樣
[00:00:58.000 --> 00:01:01.000]  以社會關懷作為整傳福音的一部分
[00:01:01.000 --> 00:01:03.000]  首先講我自己十多年前
[00:01:03.000 --> 00:01:06.000]  在加拿大做一些的見證
[00:01:06.000 --> 00:01:09.000]  一些的生活
[00:01:09.000 --> 00:01:11.000]  社會關懷
[00:01:11.000 --> 00:01:18.000]  我十八歲就離開了香港去加拿大
[00:01:18.000 --> 00:01:20.000]  在那裏讀書就叫做Calgary
[00:01:20.000 --> 00:01:22.000]  這個是加拿大的石油總部
[00:01:22.000 --> 00:01:26.000]  所有的石油公司都在那裏有個總部
[00:01:26.000 --> 00:01:28.000]  加拿大這個省份
[00:01:28.000 --> 00:01:32.000]  Alberta省的產油量足夠加拿大四百年
[00:01:32.000 --> 00:01:34.000]  可能已經知道的
[00:01:34.000 --> 00:01:35.000]  不知道的更多
[00:01:35.000 --> 00:01:39.000]  所以很多中國大陸的專業人士
[00:01:39.000 --> 00:01:43.000]  瀋陽、大慶那些地方就移民去那裏
[00:01:43.000 --> 00:01:46.000]  去那裏他們有個困難
[00:01:46.000 --> 00:01:47.000]  他們找不到工作
[00:01:47.000 --> 00:01:49.000]  因為他們的語言不是很通
[00:01:49.000 --> 00:01:51.000]  文化又不同
[00:01:51.000 --> 00:01:53.000]  很多人找不到工作
[00:01:53.000 --> 00:01:55.000]  就算找到工作都留得不久
[00:01:55.000 --> 00:01:58.000]  因為他跟人的相處不適
[00:01:58.000 --> 00:02:00.000]  相當孤單困苦
[00:02:00.000 --> 00:02:05.000]  在那裏我又開了一個普通話部門
[00:02:05.000 --> 00:02:08.000]  那時候我的普通話就比現在好
[00:02:08.000 --> 00:02:13.000]  那時候因為我有英文部對著西人
[00:02:13.000 --> 00:02:16.000]  有普通話部對著中國大陸的移民
[00:02:16.000 --> 00:02:19.000]  有廣東話部對著香港移民
[00:02:19.000 --> 00:02:22.000]  我太太說我晚上做夢用三種語言
[00:02:22.000 --> 00:02:24.000]  現在回到香港只剩下一種
[00:02:24.000 --> 00:02:27.000]  不過我上星期突然用英文做夢
[00:02:27.000 --> 00:02:29.000]  這個就閒話不提
[00:02:29.000 --> 00:02:32.000]  我想向他們傳福音
[00:02:32.000 --> 00:02:33.000]  關心他們的需要
[00:02:33.000 --> 00:02:36.000]  於是我就做了兩件事
[00:02:36.000 --> 00:02:37.000]  第一
[00:02:37.000 --> 00:02:41.000]  我就為他們設立一個講座
[00:02:41.000 --> 00:02:43.000]  為他們找工作
[00:02:43.000 --> 00:02:45.000]  教他們如何面試
[00:02:45.000 --> 00:02:47.000]  如何去寫那些履歷
[00:02:47.000 --> 00:02:50.000]  因為我以前在公司是做管理階層
[00:02:50.000 --> 00:02:52.000]  我遇見過這個情況
[00:02:52.000 --> 00:02:55.000]  我就自己開班
[00:02:55.000 --> 00:02:56.000]  因為教會也不是很多錢
[00:02:56.000 --> 00:02:57.000]  就自己開班
[00:02:57.000 --> 00:03:00.000]  教他們如何在公司裏面步步高升
[00:03:00.000 --> 00:03:03.000]  如何應付公司的人際關係
[00:03:03.000 --> 00:03:05.000]  這幅相就是我十幾年前
[00:03:05.000 --> 00:03:07.000]  現在殘了多少
[00:03:07.000 --> 00:03:09.000]  人生歲月如飛
[00:03:09.000 --> 00:03:11.000]  但是很多人來
[00:03:11.000 --> 00:03:15.000]  我就請英文部的西人
[00:03:15.000 --> 00:03:18.000]  跟他們一個對一個
