
[00:00:00.000 --> 00:00:03.160]  我們同心繼續以聆聽主道來敬拜主
[00:00:03.160 --> 00:00:04.560]  我們同心祈禱
[00:00:04.560 --> 00:00:06.280]  天父我們感謝祢
[00:00:06.280 --> 00:00:08.360]  我們感謝祢這朝聚屬祢的人
[00:00:08.360 --> 00:00:12.640]  來在教會這裡敬拜我們的神
[00:00:12.640 --> 00:00:15.920]  無論我們是什麼處境 什麼心情
[00:00:15.920 --> 00:00:18.360]  我們都存著一個渴望
[00:00:18.360 --> 00:00:22.720]  能夠迎見主的心 來聽主的道
[00:00:22.720 --> 00:00:23.880]  求祢帶領以下時間
[00:00:23.880 --> 00:00:26.080]  保守我們 賜福我們的弟兄姊妹們
[00:00:26.080 --> 00:00:29.120]  每一位在主的面前都要領受恩福
[00:00:29.120 --> 00:00:31.320]  求主帶領我們 幫助我們
[00:00:31.320 --> 00:00:34.080]  我們感禱告 奉耶穌基督的名字求
[00:00:34.080 --> 00:00:36.080]  阿們
[00:00:36.080 --> 00:00:43.480]  六七月是一個香港面對很困難的日子
[00:00:43.480 --> 00:00:46.160]  不知道大家的心情是怎樣
[00:00:46.160 --> 00:00:48.920]  有沒有人覺得自己是
[00:00:48.920 --> 00:00:51.440]  在一個很憤怒的情緒裡面
[00:00:51.440 --> 00:00:54.520]  可能是擔心 可能是掙扎
[00:00:54.520 --> 00:00:58.040]  可能是迷惘 可能是沒有盼望
[00:00:58.040 --> 00:01:00.400]  有時候心裡面都覺得自己軟弱無力
[00:01:00.400 --> 00:01:01.880]  特別是我睡得很差
[00:01:01.880 --> 00:01:03.720]  覺得自己很乏力
[00:01:03.720 --> 00:01:05.400]  但是是不是在一個低落的情況下
[00:01:05.400 --> 00:01:09.520]  有時候覺得自己不能夠親近神呢?
[00:01:09.520 --> 00:01:10.840]  是不是我們今天心裡面
[00:01:10.840 --> 00:01:12.880]  覺得自己軟弱無力的時候
[00:01:12.880 --> 00:01:13.760]  我們低落到一個地步
[00:01:13.760 --> 00:01:16.640]  覺得自己不能夠親近神呢?
[00:01:16.640 --> 00:01:17.640]  我們有沒有一些想法
[00:01:17.640 --> 00:01:21.720]  覺得聖經真理好像是一些頭腦的知識
[00:01:21.720 --> 00:01:24.440]  對我們的心靈沒有什麼大的幫助
[00:01:24.440 --> 00:01:25.520]  我們會不會有時候覺得
[00:01:25.520 --> 00:01:29.480]  就是父神好像在我們困難當中的時候
[00:01:29.480 --> 00:01:32.240]  不能夠來幫助我們呢?
[00:01:32.240 --> 00:01:36.040]  今天早上我們以摩西之歌的內容
