
[00:00:00.000 --> 00:00:03.000]  觀眾:弟兄姊妹平安
[00:00:03.000 --> 00:00:07.300]  好像過了感恩節之後
[00:00:07.300 --> 00:00:15.800]  那我們整個美國家家戶戶就開始張燈結彩
[00:00:15.800 --> 00:00:19.500]  一點都沒有因為疫情就稍微罵呼一點
[00:00:19.500 --> 00:00:23.800]  沒有 各家各戶就趕快燈都掛起來了
[00:00:23.800 --> 00:00:28.000]  真的好像馬太福音24章裡面講說
[00:00:28.000 --> 00:00:33.600]  當洪水以前的日子 人照樣駕駛 照樣吃喝
[00:00:33.600 --> 00:00:36.200]  一點都沒有什麼不一樣
[00:00:36.200 --> 00:00:38.400]  一直到進了方舟的那一天
[00:00:38.400 --> 00:00:40.800]  那個大水來了才會下
[00:00:40.800 --> 00:00:45.100]  那其實今年初我也曾經用這個洪水
[00:00:45.100 --> 00:00:50.300]  跟這個疫情來一起做過比較
[00:00:50.300 --> 00:00:53.500]  但是你會不會覺得過了這大半年以後
[00:00:53.500 --> 00:00:58.800]  大家就慢慢的從這些驚慌裡面就沉澱下來了
[00:00:58.800 --> 00:01:00.600]  沒有像以前那麼緊張了
[00:01:00.600 --> 00:01:04.900]  好像詩篇72篇裡面在講說
[00:01:04.900 --> 00:01:07.500]  太陽還存 月亮還在
[00:01:07.500 --> 00:01:11.400]  人要遵從你的名 直到萬代
[00:01:11.400 --> 00:01:13.000]  所以牧師有幫我們打出來
[00:01:13.000 --> 00:01:14.900]  那我們就來念一下好了
[00:01:14.900 --> 00:01:18.600]  這個是馬太福音 一起來
[00:01:18.600 --> 00:01:23.100]  當洪水以前的日子 人照樣吃喝駕駛
[00:01:23.100 --> 00:01:27.000]  直到挪亞進方舟的日子
[00:01:27.000 --> 00:01:32.100]  不知不覺洪水來了 把他們都全部沖去
[00:01:32.100 --> 00:01:35.300]  人質降臨的時候也是這樣
[00:01:35.300 --> 00:01:40.100]  那真的是有啦 有一點差別啦
[00:01:40.100 --> 00:01:42.900]  沒有像以前什麼結婚的時候就很熱鬧
[00:01:42.900 --> 00:01:45.900]  像我們楊如跟蔣月容
[00:01:45.900 --> 00:01:48.500]  他們本來是五月要回去舉辦婚禮的
[00:01:48.500 --> 00:01:50.200]  也因為這樣子就停下來了
[00:01:50.200 --> 00:01:53.300]  但是感謝主他們也 楊如也過來
[00:01:53.300 --> 00:01:55.900]  他們也在一起生活了
[00:01:55.900 --> 00:01:58.600]  下面這一節一起來
[00:01:58.600 --> 00:02:00.900]  太陽還存 月亮還在
[00:02:00.900 --> 00:02:04.100]  人要敬畏你的名 直到萬代
[00:02:04.100 --> 00:02:10.200]  他必降臨 像雨降在歌上
[00:02:10.200 --> 00:02:12.500]  滋潤田地
[00:02:12.500 --> 00:02:16.500]  這是兩節的經文
[00:02:16.500 --> 00:02:17.900]  我不曉得你們
[00:02:17.900 --> 00:02:26.100]  我看從這個Stay Home這個居家令一下來之後
[00:02:26.100 --> 00:02:28.100]  大家都在家裡面
[00:02:28.100 --> 00:02:31.100]  我就開始看到我們這個社區裡面
[00:02:31.100 --> 00:02:34.600]  大家就開始整理這個院子
[00:02:34.600 --> 00:02:37.300]  還有做了很多的Home Improvement
[00:02:37.300 --> 00:02:41.700]  整個環境就有一個新的氣象
[00:02:41.700 --> 00:02:50.000]  但是一下子天氣一冷 疫情很快的又回來了
[00:02:50.000 --> 00:02:52.200]  很快的回來以後
[00:02:52.200 --> 00:02:55.100]  你們有沒有聽說好像加州又要封城了
[00:02:55.100 --> 00:02:59.300]  好像已經封了對不對
[00:02:59.300 --> 00:03:02.000]  這一波又一波的挑戰
[00:03:02.000 --> 00:03:06.000]  讓我們常常都會覺得很束手無策
[00:03:06.000 --> 00:03:08.800]  而且疫苗都出來了對不對
