
[00:00:00.000 --> 00:00:02.760]  大家有拍過自拍的照片嗎?
[00:00:02.760 --> 00:00:06.000]  我發覺自拍通常現在都很流行
[00:00:06.000 --> 00:00:07.640]  因為一大班人
[00:00:07.640 --> 00:00:11.440]  手機拿出來什麼時候都可以拍
[00:00:11.440 --> 00:00:14.440]  尤其是拍一大班人的時候
[00:00:14.440 --> 00:00:16.760]  通常你站在最前面的人
[00:00:16.760 --> 00:00:18.760]  臉又大又寬
[00:00:18.760 --> 00:00:21.760]  我們很不喜歡拿手機做拿手機的人
[00:00:21.760 --> 00:00:24.240]  群體拍照我們都不想站得太前
[00:00:24.240 --> 00:00:27.440]  因為多數都是縮在後面
[00:00:27.440 --> 00:00:28.440]  我聽到一個姐妹
[00:00:28.440 --> 00:00:29.640]  有一次是教練一個姐妹
[00:00:29.640 --> 00:00:32.640]  你的肚腩用的版本
[00:00:32.640 --> 00:00:33.640]  就算中文也好
[00:00:33.640 --> 00:00:35.400]  現在也有很多不同的版本
[00:00:35.400 --> 00:00:37.400]  又要看回原文
[00:00:37.400 --> 00:00:39.200]  最好就是看回原文的希臘文
[00:00:39.200 --> 00:00:41.000]  希伯來文
[00:00:41.000 --> 00:00:42.000]  你就可能說
[00:00:42.000 --> 00:00:44.000]  我都不懂希臘文、希伯來文
[00:00:44.000 --> 00:00:47.000]  但是其實現在網上有很多資料
[00:00:47.000 --> 00:00:49.200]  你可以打那個字出來
[00:00:49.200 --> 00:00:51.400]  看回原文究竟是什麼意思
[00:00:51.400 --> 00:00:56.400]  就算你不懂讀那字也不是太重要
[00:00:56.400 --> 00:00:59.000]  起碼知道原意是什麼
[00:00:59.000 --> 00:01:01.000]  這個是微觀
[00:01:01.000 --> 00:01:04.000]  當然我們要明白上帝的話
[00:01:04.000 --> 00:01:05.600]  我們要仔細去讀
[00:01:05.600 --> 00:01:08.000]  有時候站得太近
[00:01:08.000 --> 00:01:10.000]  你就只看到那一句
[00:01:10.000 --> 00:01:12.000]  有個情況就是
[00:01:12.000 --> 00:01:13.000]  很多基督徒都犯錯了
[00:01:13.000 --> 00:01:15.000]  就是斷章取義
[00:01:15.000 --> 00:01:17.000]  這句說話合聽
[00:01:17.000 --> 00:01:18.000]  我就多看一些
[00:01:18.000 --> 00:01:20.000]  那句不合聽
[00:01:20.000 --> 00:01:22.000]  這句當然是上帝和我說話
[00:01:22.000 --> 00:01:23.000]  那句又未必是
[00:01:23.000 --> 00:01:25.000]  其實每句都是上帝和你說話
[00:01:25.000 --> 00:01:26.000]  不過你選了而已
[00:01:26.000 --> 00:01:30.000]  又說用了自己的意思去解讀這句是為什麼
[00:01:30.000 --> 00:01:34.000]  就沒有看回整段的情況
[00:01:34.000 --> 00:01:36.000]  所以很多時候我們犯錯誤都會有
[00:01:36.000 --> 00:01:39.000]  所以有時候我們都要用一個所謂宏觀的方式
[00:01:39.000 --> 00:01:41.000]  就是拍照不要站得太近
[00:01:41.000 --> 00:01:44.000]  遠一點去看那件事
[00:01:44.000 --> 00:01:46.000]  那你可能看得清楚一點
[00:01:46.000 --> 00:01:47.000]  看得闊一點
[00:01:47.000 --> 00:01:49.000]  這個叫macroscopic就是宏觀的角度
[00:01:49.000 --> 00:01:53.000]  過去我都曾經嘗試用這個宏觀角度去看《摩世五經》
[00:01:53.000 --> 00:01:57.000]  現在去到《利美記》之前都講了兩堂
[00:01:57.000 --> 00:01:59.000]  記得在上次兩堂我講到
[00:01:59.000 --> 00:02:01.000]  就是《利美記》十九章二節
[00:02:01.000 --> 00:02:03.000]  就是《利美記》的重點
[00:02:03.000 --> 00:02:07.000]  他說你要吩咐以色列傳會眾對他們說
[00:02:07.000 --> 00:02:09.000]  你們要成為聖
[00:02:09.000 --> 00:02:13.000]  因為我耶和華你們的上帝是神聖的
[00:02:13.000 --> 00:02:15.000]  《利美記》十九章二節
[00:02:15.000 --> 00:02:19.000]  可能大家對這句說話不是太過熟悉
[00:02:19.000 --> 00:02:24.000]  因為我看慣《老和本》就是《和合本》的舊版
[00:02:24.000 --> 00:02:25.000]  他就是這樣說
[00:02:25.000 --> 00:02:28.000]  你曉諭以色列傳會眾說
[00:02:28.000 --> 00:02:30.000]  你們要成為聖
[00:02:30.000 --> 00:02:33.000]  因為我耶和華你們的上帝是聖
[00:02:33.000 --> 00:02:35.000]  之前都講過了
[00:02:35.000 --> 00:02:37.000]  聖這個字英文就是holy
[00:02:37.000 --> 00:02:40.000]  其實它的翻譯上誤導了我們一點點
[00:02:40.000 --> 00:02:42.000]  覺得就是我們做到成為聖
[00:02:42.000 --> 00:02:43.000]  就是什麼
[00:02:43.000 --> 00:02:46.000]  就是可能思想行為很乾淨
[00:02:46.000 --> 00:02:48.000]  那種心態
[00:02:48.000 --> 00:02:51.000]  但其實聖結holy這個字原文
[00:02:51.000 --> 00:02:53.000]  希伯來文cardos這個字
[00:02:53.000 --> 00:02:55.000]  是不是這樣解釋的
[00:02:55.000 --> 00:02:56.000]  之前都講過了
[00:02:56.000 --> 00:02:58.000]  這個字是set apart
[00:02:58.000 --> 00:03:00.000]  就是要你分別出來
[00:03:00.000 --> 00:03:02.000]  要你不同的
[00:03:02.000 --> 00:03:05.000]  要你從世俗中分離出來
[00:03:05.000 --> 00:03:07.000]  從這個世界分離出來
[00:03:07.000 --> 00:03:09.000]  要你有一點語重不同
[00:03:09.000 --> 00:03:12.000]  就是要你有點怪怪的
[00:03:12.000 --> 00:03:14.000]  星期天天氣這麼好
[00:03:14.000 --> 00:03:16.000]  我都坐在這裡聽我說話
[00:03:16.000 --> 00:03:17.000]  講一個小時
[00:03:17.000 --> 00:03:18.000]  不去玩
[00:03:18.000 --> 00:03:20.000]  不去喝茶
[00:03:20.000 --> 00:03:22.000]  不去郊遊
[00:03:22.000 --> 00:03:24.000]  是不是有點惡
[00:03:24.000 --> 00:03:28.000]  上帝的教誨就是要我們分別出來
[00:03:28.000 --> 00:03:30.000]  從世俗中分離出來
[00:03:30.000 --> 00:03:32.000]  那叫分別為勝
[00:03:32.000 --> 00:03:33.000]  怎樣去做到呢
[00:03:33.000 --> 00:03:34.000]  上一課就講到
[00:03:34.000 --> 00:03:37.000]  以色列人要憲制
