
[00:00:00.000 --> 00:00:02.000]  我今日要講的是
[00:00:02.000 --> 00:00:04.000]  基督是真盼望
[00:00:04.000 --> 00:00:06.000]  剛才我們已經讀了經文
[00:00:06.000 --> 00:00:10.000]  基督是我們真的盼望
[00:00:10.000 --> 00:00:13.000]  我記得
[00:00:13.000 --> 00:00:15.000]  在我從小長到大的時候
[00:00:15.000 --> 00:00:17.000]  有一本書
[00:00:17.000 --> 00:00:18.000]  不是聖經
[00:00:18.000 --> 00:00:19.000]  聖經當然
[00:00:19.000 --> 00:00:21.000]  我是躺在床底看的
[00:00:21.000 --> 00:00:22.000]  小時候
[00:00:22.000 --> 00:00:25.000]  我媽媽是信佛信觀音的
[00:00:25.000 --> 00:00:27.000]  所以她家裡有一本書
[00:00:27.000 --> 00:00:29.000]  不是那些佛經
[00:00:29.000 --> 00:00:31.000]  是一般家庭都有的
[00:00:31.000 --> 00:00:33.000]  叫做通勝
[00:00:33.000 --> 00:00:37.000]  通勝不只是教你看掌紋
[00:00:37.000 --> 00:00:38.000]  看面相
[00:00:38.000 --> 00:00:39.000]  包羅萬有
[00:00:39.000 --> 00:00:42.000]  它的封面是包羅萬有
[00:00:42.000 --> 00:00:44.000]  它就是那種
[00:00:44.000 --> 00:00:47.000]  有些算命的迷信色彩
[00:00:47.000 --> 00:00:52.000]  通勝是我們傳統的老王力
[00:00:52.000 --> 00:00:56.000]  因為粵語和南方人
[00:00:56.000 --> 00:01:01.000]  為什麼將這本書通勝
[00:01:01.000 --> 00:01:03.000]  叫做通勝呢
[00:01:03.000 --> 00:01:08.000]  是因為它原先的名叫做通書
[00:01:08.000 --> 00:01:12.000]  通書不好聽
[00:01:12.000 --> 00:01:14.000]  既然有迷信色彩
[00:01:14.000 --> 00:01:16.000]  我就不願意通書
[00:01:16.000 --> 00:01:18.000]  我要通勝
[00:01:18.000 --> 00:01:20.000]  我要一切都是好的
[00:01:20.000 --> 00:01:23.000]  我要逃過吉離 逃過意頭
[00:01:23.000 --> 00:01:25.000]  所以就將通書改為通勝
[00:01:25.000 --> 00:01:27.000]  因為裡面包羅萬有
[00:01:27.000 --> 00:01:29.000]  有一件事
[00:01:29.000 --> 00:01:32.000]  它是記錄了我們中國人
[00:01:32.000 --> 00:01:34.000]  很有智慧的一些話
[00:01:34.000 --> 00:01:37.000]  叫做增廣賢文
[00:01:37.000 --> 00:01:39.000]  增廣賢文裡面有一句
[00:01:39.000 --> 00:01:44.000]  久病 床前無孝子
[00:01:44.000 --> 00:01:49.000]  這句話其實真的挺現實的
[00:01:49.000 --> 00:01:52.000]  它不是說人一開始是無孝心的
[00:01:52.000 --> 00:01:53.000]  它的意思就是說
[00:01:53.000 --> 00:01:57.000]  當一個人長期睡在床上
[00:01:57.000 --> 00:02:00.000]  需要別人不斷地去照顧他
[00:02:00.000 --> 00:02:03.000]  就算很有孝心
[00:02:03.000 --> 00:02:04.000]  很親的一個人
[00:02:04.000 --> 00:02:06.000]  可能因為長期的體力
[00:02:06.000 --> 00:02:10.000]  那種精神的折磨和經濟的壓力
[00:02:10.000 --> 00:02:13.000]  他都會感到疲憊
[00:02:13.000 --> 00:02:18.000]  甚至會失去了照顧人的那種內心
[00:02:18.000 --> 00:02:24.000]  很可能他家人有病的時候
[00:02:24.000 --> 00:02:25.000]  家人都很關心他
[00:02:25.000 --> 00:02:26.000]  一般是這樣
[00:02:26.000 --> 00:02:28.000]  因為人都有一個
[00:02:28.000 --> 00:02:31.000]  神都給我們還有一個良心
[00:02:31.000 --> 00:02:33.000]  所以一般人都會說
[00:02:33.000 --> 00:02:35.000]  特別是最親的人就會說
