
[00:00:00.000 --> 00:00:04.400]  今天和你們分享今天的經文
[00:00:04.400 --> 00:00:06.400]  就是這個題目
[00:00:06.400 --> 00:00:11.500]  我們其難不關注何尊恆
[00:00:11.500 --> 00:00:16.400]  我幾天前看到有文章
[00:00:16.400 --> 00:00:20.200]  它說我們一般我們的人
[00:00:20.200 --> 00:00:24.300]  我們最關注的就是我們的工作
[00:00:24.300 --> 00:00:27.600]  所以我們人生一半的時間
[00:00:27.600 --> 00:00:29.000]  是用來工作
[00:00:29.000 --> 00:00:35.500]  其他的就是睡覺、去教會、旅行
[00:00:35.500 --> 00:00:39.300]  其實每一次我和大兄姊妹一起吃飯的時候
[00:00:39.300 --> 00:00:43.200]  我看過他們最關注的是什麼
[00:00:43.200 --> 00:00:48.400]  你們知道嗎?
[00:00:48.400 --> 00:00:55.400]  吃飯之前你們最關注的是什麼?
[00:00:55.400 --> 00:01:00.300]  祈禱,網友說祈禱,下次祈禱
[00:01:00.300 --> 00:01:04.400]  不是,他們最關注的是什麼?
[00:01:04.400 --> 00:01:07.000]  他們最關注的是
[00:01:07.000 --> 00:01:11.700]  等等,我要先拍照
[00:01:11.700 --> 00:01:13.400]  我要拿照片
[00:01:13.400 --> 00:01:16.800]  每一次都是這樣
[00:01:16.800 --> 00:01:21.700]  等等,這個是不分年齡、年輕人
[00:01:21.700 --> 00:01:23.500]  長大了的人都會這樣
[00:01:23.500 --> 00:01:26.600]  等等,我要拿照片
[00:01:26.600 --> 00:01:32.500]  這個是全代人都關注的
[00:01:32.500 --> 00:01:35.600]  兩個月前我和一些大兄姊妹
[00:01:35.600 --> 00:01:40.500]  帶他們去紐西蘭一個靈修之行
[00:01:40.500 --> 00:01:44.400]  因為我們要滿足
[00:01:44.400 --> 00:01:47.800]  第三屆我帶他們去紐西蘭
[00:01:47.800 --> 00:01:49.200]  差不多十幾天
[00:01:49.200 --> 00:01:51.600]  以前我在紐西蘭沒有過會
[00:01:51.600 --> 00:01:56.000]  所以我就知道帶他們去看
[00:01:56.000 --> 00:02:00.900]  我發覺他們每一次去每一個地方
[00:02:00.900 --> 00:02:03.600]  他們最關心要找的地方是什麼
[00:02:03.600 --> 00:02:06.000]  你們知道嗎?
[00:02:06.000 --> 00:02:12.400]  不是廁所
[00:02:12.400 --> 00:02:13.900]  他們關注的是
[00:02:13.900 --> 00:02:18.300]  哪裡有免費無線網絡
[00:02:18.300 --> 00:02:25.500]  他們就馬上發照片給那些人
[00:02:25.500 --> 00:02:28.800]  所以今天我們
[00:02:28.800 --> 00:02:31.600]  基督徒我們要最關注的
[00:02:31.600 --> 00:02:35.400]  這個是真的我們要好好去思想
[00:02:35.400 --> 00:02:36.700]  我們教會
[00:02:36.700 --> 00:02:40.000]  如果我說教會就是代表你和我
[00:02:40.000 --> 00:02:42.100]  教會不是這個地方
[00:02:42.100 --> 00:02:43.900]  教會是我們
[00:02:43.900 --> 00:02:45.400]  如果圓滿來說
[00:02:45.400 --> 00:02:50.500]  教會這個詞就是神被神呼召的人
[00:02:50.500 --> 00:02:53.900]  所以你和我都是一個教會
[00:02:53.900 --> 00:02:56.500]  所以今天我們要思想
[00:02:56.500 --> 00:02:58.900]  我們要看神與我們
[00:02:58.900 --> 00:03:01.800]  我們要關注的
[00:03:01.800 --> 00:03:04.800]  之後我們要進行什麼事
[00:03:04.800 --> 00:03:08.600]  我看主耶穌說的話
[00:03:08.600 --> 00:03:10.200]  是真實
[00:03:10.200 --> 00:03:12.300]  也是好好地提醒我們
[00:03:12.300 --> 00:03:14.500]  就是剛才我們說過
[00:03:14.500 --> 00:03:15.800]  我們都很熟悉的
[00:03:15.800 --> 00:03:17.500]  一個就是什麼
[00:03:17.500 --> 00:03:18.300]  誡命
[00:03:18.300 --> 00:03:20.600]  另外一個就是什麼
[00:03:20.600 --> 00:03:22.400]  使命
[00:03:22.400 --> 00:03:25.900]  所以我們要問兩個問題
[00:03:25.900 --> 00:03:27.700]  我們要問的
[00:03:27.700 --> 00:03:30.700]  第一個問題我們要問的
[00:03:30.700 --> 00:03:35.000]  教會我們是什麼
[00:03:35.000 --> 00:03:37.200]  第二個問題我們要問
[00:03:37.200 --> 00:03:41.800]  教會應做什麼
[00:03:41.800 --> 00:03:44.600]  這個是我們應該要問
[00:03:44.600 --> 00:03:46.800]  如果我們想關注
[00:03:46.800 --> 00:03:50.200]  或者我們要進行
[00:03:50.200 --> 00:03:51.800]  教會是什麼
[00:03:51.800 --> 00:03:54.800]  請你們再讀一次好嗎
[00:04:12.800 --> 00:04:16.200]  主耶穌給我們的誡命
[00:04:16.200 --> 00:04:18.600]  其實我們看的重點是什麼
[00:04:18.600 --> 00:04:20.400]  它的重點就是愛
[00:04:20.400 --> 00:04:23.800]  它說這個誡命
[00:04:23.800 --> 00:04:25.800]  這個誡命裏面
[00:04:25.800 --> 00:04:29.400]  它是歸納六法
[00:04:29.400 --> 00:04:31.200]  就是教育的六法
[00:04:31.200 --> 00:04:35.600]  和先知一起的一個總共
[00:04:35.600 --> 00:04:38.400]  所以它只是歸納
[00:04:38.400 --> 00:04:42.600]  你看我們說要守十誡
[00:04:42.600 --> 00:04:44.400]  要守這個守那個
[00:04:44.400 --> 00:04:46.200]  其實你要守
[00:04:46.200 --> 00:04:50.200]  最基本的基礎
[00:04:50.200 --> 00:04:53.000]  我們要守的就是愛
[00:04:53.000 --> 00:04:54.200]  就是愛
[00:04:54.200 --> 00:04:55.900]  沒什麼
[00:04:55.900 --> 00:04:57.200]  就是你要愛
[00:04:57.200 --> 00:04:59.200]  你的基礎就是愛
[00:04:59.200 --> 00:05:01.500]  所以我們看一件事
[00:05:01.500 --> 00:05:04.400]  教會就是一個愛的群體
[00:05:04.400 --> 00:05:05.400]  所以我們看
[00:05:05.400 --> 00:05:07.900]  愛就是誡命
[00:05:07.900 --> 00:05:10.400]  重於進行
[00:05:10.400 --> 00:05:12.800]  我的意思就是
[00:05:12.800 --> 00:05:15.600]  愛是神給我的誡命
[00:05:15.600 --> 00:05:17.600]  我們可以說榜樣
[00:05:17.600 --> 00:05:23.100]  我不是說我們不跟隨
[00:05:23.100 --> 00:05:24.000]  主耶穌的榜樣
[00:05:24.000 --> 00:05:25.300]  不是這樣的意思
[00:05:25.300 --> 00:05:26.200]  其實我們的榜樣
[00:05:26.200 --> 00:05:28.200]  好像我們跟兒子說
[00:05:28.200 --> 00:05:30.600]  你看這個哥哥很厲害
[00:05:30.600 --> 00:05:34.200]  你每一次讀書
[00:05:34.200 --> 00:05:38.100]  很早就睡了,不打遊戲
[00:05:38.100 --> 00:05:41.000]  你要學他的榜樣
[00:05:41.000 --> 00:05:42.700]  可能我們的兒子會說
[00:05:42.700 --> 00:05:43.800]  我為什麼要學他
[00:05:43.800 --> 00:05:45.100]  我又不是他
[00:05:45.100 --> 00:05:47.000]  他爸爸
[00:05:47.000 --> 00:05:49.800]  你不學他爸爸
[00:05:49.800 --> 00:05:53.200]  所以他爸爸會教這麼多兒子
[00:05:53.200 --> 00:05:56.500]  所以榜樣
[00:05:56.500 --> 00:05:59.800]  不是一定要學的
[00:05:59.800 --> 00:06:01.500]  但是記得
[00:06:01.500 --> 00:06:03.500]  誡命和誡命
[00:06:03.500 --> 00:06:06.300]  一定要進行的
[00:06:06.300 --> 00:06:07.300]  明白嗎
[00:06:07.300 --> 00:06:08.900]  誡命和誡命
[00:06:08.900 --> 00:06:11.300]  一定要進行的
[00:06:11.300 --> 00:06:12.500]  我以前在新加坡
[00:06:12.500 --> 00:06:16.500]  當過兵的時候
[00:06:16.500 --> 00:06:18.100]  十八歲
[00:06:18.100 --> 00:06:19.400]  一進去
[00:06:19.400 --> 00:06:21.300]  第一件事就是什麼
[00:06:21.300 --> 00:06:25.100]  第一件事就是宣誓
[00:06:25.100 --> 00:06:27.400]  第二件事就是什麼
[00:06:27.400 --> 00:06:30.600]  就是他又說
