
[00:00:00.000 --> 00:00:02.280]  我們今天的主題是這樣的
[00:00:02.280 --> 00:00:07.560]  我們從提多書第一章那裡看
[00:00:07.560 --> 00:00:09.400]  看到我們的主題是
[00:00:09.400 --> 00:00:13.680]  什麼叫做「純全無瑕疵的門徒」呢
[00:00:13.680 --> 00:00:16.320]  我們就看到這個經文當中
[00:00:16.320 --> 00:00:18.320]  學到一個功課
[00:00:18.320 --> 00:00:21.520]  我們很多時候都想做一個健康的基督徒
[00:00:21.520 --> 00:00:22.720]  健康的人生
[00:00:22.720 --> 00:00:25.920]  「純全無瑕疵」其實的原文是Healthy的意思
[00:00:25.920 --> 00:00:28.200]  很健康的生命
[00:00:28.200 --> 00:00:30.800]  這個生命我們都很想有的
[00:00:30.800 --> 00:00:34.080]  就算在過去的
[00:00:34.080 --> 00:00:37.680]  最近在2018年
[00:00:37.680 --> 00:00:42.520]  在美國心臟協會
[00:00:42.520 --> 00:00:45.400]  American Heart Association一本的雜誌裡面
[00:00:45.400 --> 00:00:49.000]  刊登了一個研究報告
[00:00:49.000 --> 00:00:51.680]  就說如果我們人生當中
[00:00:51.680 --> 00:00:55.840]  有五個低風險的生活方式
[00:00:55.840 --> 00:00:58.760]  Low-Risk Lifestyle的因素
[00:00:58.760 --> 00:01:02.680]  我們的生命就會得到延長
[00:01:02.680 --> 00:01:03.800]  很奇妙很奇怪
[00:01:03.800 --> 00:01:06.120]  我們在美國是全世界
[00:01:06.120 --> 00:01:10.240]  用在醫療費用是用得最多
[00:01:10.240 --> 00:01:13.720]  但是生命的長短
[00:01:13.720 --> 00:01:18.640]  在全世界只是排名第13
[00:01:18.640 --> 00:01:22.840]  我們用了國民生產總值的17.1%
[00:01:22.840 --> 00:01:27.400]  每隻狗17.1%是很多錢
[00:01:27.400 --> 00:01:29.400]  是用在醫療上
[00:01:29.400 --> 00:01:35.040]  主要是用在醫藥上
[00:01:35.040 --> 00:01:37.040]  但是我們往往都知道
[00:01:37.040 --> 00:01:41.760]  我們的生活方式是會影響我們的壽命
[00:01:41.760 --> 00:01:45.160]  我們很多時候是為了延長生命
[00:01:45.160 --> 00:01:46.960]  會做很多的事情
[00:01:46.960 --> 00:01:51.000]  他們發現如果我們從來都不吸煙的
[00:01:51.000 --> 00:01:53.560]  有健康的體重BMI
[00:01:53.560 --> 00:01:56.160]  或者有規律性的做運動
[00:01:56.160 --> 00:01:59.520]  或者有健康的飲食習慣
[00:01:59.520 --> 00:02:02.080]  還有千萬不要過度飲酒
[00:02:02.080 --> 00:02:03.720]  要適當的份量
[00:02:03.720 --> 00:02:07.760]  其中有一項都可以延長我們的生命
[00:02:07.760 --> 00:02:09.320]  那個報告就說
[00:02:09.320 --> 00:02:10.800]  如果你們暫時50歲
[00:02:10.800 --> 00:02:12.000]  我接近50歲了
[00:02:12.000 --> 00:02:13.720]  就會在美國的情況
[00:02:13.720 --> 00:02:15.880]  找到一些稅務數據就說
[00:02:15.880 --> 00:02:18.080]  可以延長我的壽命14年
[00:02:18.080 --> 00:02:23.920]  如果有低風險的生活方式
[00:02:23.920 --> 00:02:27.720]  女士就會延長12.2年
[00:02:27.720 --> 00:02:29.120]  所以其實很多時候
[00:02:29.120 --> 00:02:31.120]  我們的生活方式
[00:02:31.120 --> 00:02:32.640]  我們的生活方式
[00:02:32.640 --> 00:02:35.520]  是直接影響我們的健康
[00:02:35.520 --> 00:02:36.720]  同樣的道理
[00:02:36.720 --> 00:02:39.080]  我們屬靈的生活生命
[00:02:39.080 --> 00:02:40.280]  都有一定的因素
[00:02:40.280 --> 00:02:43.800]  怎樣去影響我們的屬靈上
[00:02:43.800 --> 00:02:45.400]  能夠得到健康
[00:02:45.400 --> 00:02:47.000]  能夠成長
[00:02:47.000 --> 00:02:48.880]  這個就是今天的主題
[00:02:48.880 --> 00:02:50.800]  我們從今天的經文當中
[00:02:50.800 --> 00:02:53.720]  在提多書大家剛才讀的經文當中
[00:02:53.720 --> 00:02:56.440]  我們知道教會
[00:02:56.440 --> 00:02:59.040]  這個加里底達教會
