
[00:00:00.000 --> 00:00:02.000]  能夠在主日的清晨
[00:00:02.000 --> 00:00:03.600]  一齊來到去敬拜
[00:00:03.600 --> 00:00:06.200]  都是上帝給我們一個很大的福氣
[00:00:06.200 --> 00:00:09.800]  今年是宗教改革的五百週年
[00:00:09.800 --> 00:00:15.200]  教會定了這個逆流抉擇的系列
[00:00:15.200 --> 00:00:18.600]  都會去講不同的課題
[00:00:18.600 --> 00:00:21.400]  今天講的叫做性別公義
[00:00:21.400 --> 00:00:26.200]  我將它定為從聖經去看兩性的角色
[00:00:26.200 --> 00:00:31.600]  我們接下來的系列裏面
[00:00:31.600 --> 00:00:34.400]  亦都有一些更加特別的題目
[00:00:34.400 --> 00:00:38.400]  所以請大家都為這個系列的講道
[00:00:38.400 --> 00:00:39.400]  來到祈禱
[00:00:39.400 --> 00:00:41.600]  大家在裏面一齊學習
[00:00:41.600 --> 00:00:44.400]  我們聽到之先做一個祈禱
[00:00:44.400 --> 00:00:48.400]  親愛的恩主 多謝祢
[00:00:48.400 --> 00:00:51.400]  祢見著我們每一個弟兄姊妹
[00:00:51.400 --> 00:00:53.000]  都在主日的清晨
[00:00:53.000 --> 00:00:55.200]  願意來到祢面前
[00:00:55.200 --> 00:00:57.200]  先聆聽教會
[00:00:57.200 --> 00:00:59.000]  然後學著進行
[00:00:59.000 --> 00:01:03.400]  願意主真是在這個性別公義的課題裏面
[00:01:03.400 --> 00:01:05.200]  來到對我們說話
[00:01:05.200 --> 00:01:10.200]  我們做了男或做了女已經很多年
[00:01:10.200 --> 00:01:14.200]  究竟在這個男女的課題裏面
[00:01:14.200 --> 00:01:17.800]  有哪些地方是我們需要再反省
[00:01:17.800 --> 00:01:19.800]  深思和改善的
[00:01:19.800 --> 00:01:23.400]  求聖靈藉著今天來到祢面前
[00:01:23.400 --> 00:01:25.200]  祢對我們說話
[00:01:25.200 --> 00:01:26.400]  我們這樣同心仰望
[00:01:26.400 --> 00:01:27.400]  奉耶穌的名求
[00:01:27.400 --> 00:01:28.400]  阿們
[00:01:28.400 --> 00:01:31.400]  好 想問大家兩個問題
[00:01:31.400 --> 00:01:34.400]  你可以舉手來表達
[00:01:34.400 --> 00:01:35.400]  第一個問題是
[00:01:35.400 --> 00:01:37.400]  在教會裏面
[00:01:37.400 --> 00:01:39.400]  認為男人重要些的
[00:01:39.400 --> 00:01:41.400]  請舉手
[00:01:41.400 --> 00:01:45.400]  一隻手而已
[00:01:45.400 --> 00:01:48.400]  認為女人重要些的
[00:01:48.400 --> 00:01:50.400]  請舉手
[00:01:50.400 --> 00:01:53.400]  又是 有幾隻
[00:01:53.400 --> 00:01:56.400]  好 再試下這條
[00:01:56.400 --> 00:01:58.400]  昨天的情況也是類似的
[00:01:58.400 --> 00:02:00.400]  在家裏面
[00:02:00.400 --> 00:02:02.400]  男人重要些的
[00:02:02.400 --> 00:02:04.400]  請舉手
[00:02:04.400 --> 00:02:06.400]  多些
[00:02:06.400 --> 00:02:08.400]  肯表態些
[00:02:08.400 --> 00:02:10.400]  女人重要些的呢
[00:02:10.400 --> 00:02:14.400]  有人還要呼籲叫人舉手
[00:02:14.400 --> 00:02:16.400]  其實不容易的
[00:02:16.400 --> 00:02:20.400]  因為我這個問題不是很好回答
[00:02:20.400 --> 00:02:21.400]  因為
[00:02:21.400 --> 00:02:24.400]  怎會在教會裏面
[00:02:24.400 --> 00:02:27.400]  只有一個性別重要呢
[00:02:27.400 --> 00:02:30.400]  在家庭裏面也不是
[00:02:30.400 --> 00:02:31.400]  不過
[00:02:31.400 --> 00:02:34.400]  有些時候在運作上
[00:02:34.400 --> 00:02:35.400]  我們也會發現
[00:02:35.400 --> 00:02:38.400]  可能是有輕有重
[00:02:38.400 --> 00:02:42.400]  當要看性別公義的時候
[00:02:42.400 --> 00:02:47.400]  有做一些資料搜集
[00:02:47.400 --> 00:02:48.400]  看一些東西
[00:02:48.400 --> 00:02:51.400]  因為我在香港生活那麼久
[00:02:51.400 --> 00:02:54.400]  其實我不是很留意
[00:02:54.400 --> 00:02:58.400]  男女的差異
[00:02:58.400 --> 00:02:59.400]  意思就是
[00:02:59.400 --> 00:03:01.400]  我不會因為我是女人
[00:03:01.400 --> 00:03:03.400]  然後我被看輕
[00:03:03.400 --> 00:03:06.400]  或者有些什麼事情做不到
[00:03:06.400 --> 00:03:09.400]  所以無論成長
[00:03:09.400 --> 00:03:11.400]  或者讀書工作的過程
[00:03:11.400 --> 00:03:13.400]  我只要做回自己
[00:03:13.400 --> 00:03:15.400]  就可以了
[00:03:15.400 --> 00:03:19.400]  所以原來上帝把我擠在一個
[00:03:19.400 --> 00:03:21.400]  男女都很平等的
[00:03:21.400 --> 00:03:23.400]  香港社會裏面生活
[00:03:23.400 --> 00:03:25.400]  所以不知道原來
[00:03:25.400 --> 00:03:27.400]  外面的世界
[00:03:27.400 --> 00:03:31.400]  真的有很多男女的差異
[00:03:31.400 --> 00:03:35.400]  在預備講道的時候
[00:03:35.400 --> 00:03:43.400]  我就看了兩個網上的短片
[00:03:43.400 --> 00:03:47.400]  一個是關乎近代中國婦女解放
[00:03:47.400 --> 00:03:50.400]  我把五集都看了
[00:03:50.400 --> 00:03:52.400]  然後又看了一個
[00:03:52.400 --> 00:03:54.400]  半世紀創新女性的
[00:03:54.400 --> 00:03:57.400]  一個香港電台的製作
[00:03:57.400 --> 00:04:02.400]  就發覺原來我們所身處的中國
[00:04:02.400 --> 00:04:06.400]  甚至我們所接觸的世界
[00:04:06.400 --> 00:04:08.400]  其實都有很多的角落
[00:04:08.400 --> 00:04:12.400]  男女的差異是很大的
[00:04:12.400 --> 00:04:14.400]  在那個短片裏面看到
[00:04:14.400 --> 00:04:16.400]  原來古舊的中國
[00:04:16.400 --> 00:04:18.400]  是一個男尊女卑
[00:04:18.400 --> 00:04:20.400]  很嚴重的地方
[00:04:20.400 --> 00:04:21.400]  作為女人
[00:04:21.400 --> 00:04:23.400]  常常都身不由己
[00:04:23.400 --> 00:04:27.400]  包括在身體上
[00:04:27.400 --> 00:04:29.400]  要束胸
[00:04:29.400 --> 00:04:31.400]  要紮腳
[00:04:31.400 --> 00:04:33.400]  而且在婚姻上
