
[00:00:00.000 --> 00:00:02.200]  這實在是神的榮耀
[00:00:02.200 --> 00:00:04.000]  一個小小的見證
[00:00:04.000 --> 00:00:05.800]  可以影響很深遠
[00:00:05.800 --> 00:00:08.000]  我從小在香港長大
[00:00:08.000 --> 00:00:09.400]  在香港出生
[00:00:09.400 --> 00:00:11.600]  十二三歲就出來鬼混
[00:00:11.600 --> 00:00:13.200]  十五歲那一年呢
[00:00:13.200 --> 00:00:16.400]  我就正式加入了黑社會的幫派
[00:00:16.400 --> 00:00:18.800]  什麼叫正式加入黑社會的幫派呢
[00:00:18.800 --> 00:00:21.000]  就是要殺雞頭 拜關帝
[00:00:21.000 --> 00:00:22.800]  而且要滴血爲盟
[00:00:22.800 --> 00:00:24.600]  表示我是屬於這個組織
[00:00:24.600 --> 00:00:26.400]  又要忠於這個組織
[00:00:26.400 --> 00:00:29.000]  我參加的黑社會叫14K
[00:00:29.000 --> 00:00:31.800]  那麼在黑社會里邊有很多的活動
[00:00:31.800 --> 00:00:34.000]  其中一種就是吸毒
[00:00:34.000 --> 00:00:36.600]  當時我也不信邪
[00:00:36.600 --> 00:00:38.800]  好奇 無知
[00:00:38.800 --> 00:00:40.800]  不相信我會上癮
[00:00:40.800 --> 00:00:43.000]  驕傲 自負
[00:00:43.000 --> 00:00:45.600]  結果就染上了這個毒品
[00:00:45.600 --> 00:00:48.600]  結果吸上了這個毒品之後呢
[00:00:48.600 --> 00:00:51.800]  就被這個毒勾勾住了十年
[00:00:51.800 --> 00:00:55.200]  十年吸毒 十年戒毒
[00:00:55.200 --> 00:00:57.200]  受盡了毒害的折磨
[00:00:57.200 --> 00:00:59.400]  那我吸的毒叫白粉
[00:00:59.400 --> 00:01:01.000]  白粉也就是海洛因
[00:01:01.000 --> 00:01:02.800]  海洛因呢到今天呢
[00:01:02.800 --> 00:01:05.000]  還是世界的毒王
[00:01:05.000 --> 00:01:06.600]  它王在哪裏呢
[00:01:06.600 --> 00:01:08.000]  昂貴難戒
[00:01:08.000 --> 00:01:09.600]  毒癮發作的時候
[00:01:09.600 --> 00:01:11.600]  上吐下瀉忽冷忽熱
[00:01:11.600 --> 00:01:13.000]  起雞皮疙瘩
[00:01:13.000 --> 00:01:16.000]  內心裏邊好像幾千根針在戳
[00:01:16.000 --> 00:01:17.600]  幾千只螞蟻在咬
[00:01:17.600 --> 00:01:19.400]  骨頭痠痛到一個地步
[00:01:19.400 --> 00:01:20.800]  幾乎是要爆裂
[00:01:20.800 --> 00:01:22.400]  所以沒有一口毒品呢
[00:01:22.400 --> 00:01:24.200]  我幾乎是要死的
[00:01:24.200 --> 00:01:26.400]  所以在毒癮發作之後呢
[00:01:26.400 --> 00:01:28.800]  什麼事情都做得出來
[00:01:28.800 --> 00:01:31.000]  喫喝嫖賭不在話下
[00:01:31.000 --> 00:01:34.400]  偷啊 搶啊 騙啊 販賣毒品
[00:01:34.400 --> 00:01:37.600]  到最後我賣血去吸毒
[00:01:37.600 --> 00:01:40.000]  在我們香港有個叫佐敦道
[00:01:40.000 --> 00:01:44.200]  叫佐敦道有個地方叫玉華百貨公司
[00:01:44.200 --> 00:01:47.000]  對面有很多那些的診所啊
[00:01:47.000 --> 00:01:48.800]  就是專門收買
[00:01:48.800 --> 00:01:52.400]  收買我們這些吸毒者的人的血的
[00:01:52.400 --> 00:01:53.800]  來賣給別人
[00:01:53.800 --> 00:01:55.600]  你說那個血還能用嗎
[00:01:55.600 --> 00:01:57.400]  是啊 是不能用啊
[00:01:57.400 --> 00:01:59.400]  但是唯利是圖啊
[00:01:59.400 --> 00:02:00.600]  爲了賺錢
[00:02:00.600 --> 00:02:02.000]  什麼都可以的
[00:02:02.000 --> 00:02:04.200]  所以那變成血毒了
[00:02:04.200 --> 00:02:05.400]  那我需要錢
[00:02:05.400 --> 00:02:06.600]  我就去賣血
[00:02:06.600 --> 00:02:07.800]  他要賺錢
[00:02:07.800 --> 00:02:10.000]  他就把我賣給他的血
[00:02:10.000 --> 00:02:11.600]  拿去賣給別人
[00:02:11.600 --> 00:02:13.400]  別人又需要輸血
[00:02:13.400 --> 00:02:15.400]  那就付更多的錢
[00:02:15.400 --> 00:02:17.000]  這個叫做血毒啊
[00:02:17.000 --> 00:02:18.400]  那是非常可憐
