
[00:00:00.000 --> 00:00:01.040]  轉回平安
[00:00:01.040 --> 00:00:04.040]  耶穌生命已經來到第七講了
[00:00:04.040 --> 00:00:09.640]  今天講的就是耶穌最後一個星期在地上
[00:00:09.640 --> 00:00:13.000]  通常稱為最後的一周
[00:00:13.000 --> 00:00:15.280]  或者叫做聖周
[00:00:15.280 --> 00:00:17.600]  起碼有五件事
[00:00:17.600 --> 00:00:22.840]  第一就是耶穌騎雷入耶路撒冷
[00:00:22.840 --> 00:00:26.680]  通常我們叫那次做鐘樹主日
[00:00:26.680 --> 00:00:31.280]  因為當耶穌騎在一隻驢驅子上
[00:00:31.280 --> 00:00:34.760]  就是一隻很小的驢仔
[00:00:34.760 --> 00:00:38.120]  祂騎在上面走入耶路撒冷
[00:00:38.120 --> 00:00:41.280]  誰知道那些人脫光衣服
[00:00:41.280 --> 00:00:43.040]  就鋪在地上
[00:00:43.040 --> 00:00:45.120]  好像一張地毯一樣
[00:00:45.120 --> 00:00:47.720]  然後紮了一些鐘樹枝
[00:00:47.720 --> 00:00:50.360]  在那裡搖著鐘樹枝說
[00:00:50.360 --> 00:00:57.120]  「和煞啊!和煞啊!奉主命來的是應當稱頌的」
[00:00:57.120 --> 00:01:04.800]  於是這個就成為教會鐘樹主日的傳統
[00:01:04.800 --> 00:01:09.000]  甚至有些教會在主日崇拜散會的時候
[00:01:09.000 --> 00:01:13.680]  會派給弟兄姊妹每人一支鐘樹枝
[00:01:13.680 --> 00:01:17.000]  他們就將那支鐘樹枝帶回家
[00:01:17.000 --> 00:01:20.160]  然後過了幾個星期
[00:01:20.160 --> 00:01:23.640]  會有一個叫做Ash Sunday
[00:01:23.640 --> 00:01:25.640]  就是聖灰日
[00:01:25.640 --> 00:01:28.440]  就是將這支鐘樹枝燒了
[00:01:28.440 --> 00:01:30.520]  讓它成為灰
[00:01:30.520 --> 00:01:34.400]  那些灰是用來做一些儀式的
[00:01:34.400 --> 00:01:40.600]  所以耶穌祂是騎著驢驅進耶路撒冷
[00:01:40.600 --> 00:01:46.280]  祂就由橄欖山一路走進耶路撒冷
[00:01:46.280 --> 00:01:50.200]  我聽過一個故事
