
[00:00:00.000 --> 00:00:02.000]  (主席)各位電影姊妹早安
[00:00:02.000 --> 00:00:05.600]  相信大家都是關心時事的人
[00:00:05.600 --> 00:00:09.000]  一定知道近一段時間
[00:00:09.000 --> 00:00:11.000]  很多負面的新聞
[00:00:11.000 --> 00:00:14.000]  都是關於食物和食材
[00:00:14.000 --> 00:00:19.000]  在這樣的風吹雨打的日子之中
[00:00:19.000 --> 00:00:21.000]  不知道有沒有人介紹這個方法
[00:00:21.000 --> 00:00:23.000]  是不怕地溝油
[00:00:23.000 --> 00:00:25.000]  又不怕發霉的豬肉
[00:00:25.000 --> 00:00:28.000]  更不怕老鼠咬過的肉類
[00:00:28.000 --> 00:00:32.000]  連糧食短缺都不用擔心
[00:00:32.000 --> 00:00:34.000]  這個叫做食太陽法
[00:00:34.000 --> 00:00:35.000]  有沒有人學過?
[00:00:35.000 --> 00:00:36.000]  沒有?
[00:00:36.000 --> 00:00:37.000]  這個方法很簡單
[00:00:37.000 --> 00:00:39.000]  我一教你就懂了
[00:00:39.000 --> 00:00:42.000]  你只要懂得脫鞋脫襪就可以了
[00:00:42.000 --> 00:00:44.000]  這個方法就是脫鞋脫襪
[00:00:44.000 --> 00:00:46.000]  腳就站在泥地上
[00:00:46.000 --> 00:00:49.000]  泥地不是紅毛泥地
[00:00:49.000 --> 00:00:52.000]  是種植的泥地草地
[00:00:52.000 --> 00:00:54.000]  腳就踏在泥地
[00:00:54.000 --> 00:00:58.000]  眼睛就睜大眼睛
[00:00:58.000 --> 00:01:02.000]  所以在太陽光柔和的時候
[00:01:02.000 --> 00:01:05.000]  中午你自己拿一支
[00:01:05.000 --> 00:01:06.000]  柔和的時候
[00:01:06.000 --> 00:01:07.000]  看著太陽
[00:01:07.000 --> 00:01:08.000]  十秒一
[00:01:08.000 --> 00:01:09.000]  懂得做嗎?
[00:01:09.000 --> 00:01:10.000]  十秒而已
[00:01:10.000 --> 00:01:11.000]  第一天
[00:01:11.000 --> 00:01:13.000]  接著每天這樣做
[00:01:13.000 --> 00:01:15.000]  每天加十秒
[00:01:15.000 --> 00:01:17.000]  做到什麼時候呢?
[00:01:17.000 --> 00:01:21.000]  做到大概你在九個月至十月的時間
[00:01:21.000 --> 00:01:23.000]  你就十秒十秒加上去
[00:01:23.000 --> 00:01:25.000]  加到你能夠站在這裡
[00:01:25.000 --> 00:01:26.000]  定格
[00:01:26.000 --> 00:01:27.000]  看著太陽
[00:01:27.000 --> 00:01:29.000]  四十四分鐘
[00:01:29.000 --> 00:01:30.000]  這個方法就是說
[00:01:30.000 --> 00:01:31.000]  這樣的時候
[00:01:31.000 --> 00:01:33.000]  你就修成
[00:01:33.000 --> 00:01:34.000]  不是正果
[00:01:34.000 --> 00:01:37.000]  修成這個食太陽法
[00:01:37.000 --> 00:01:38.000]  就是說
[00:01:38.000 --> 00:01:39.000]  很科學的
[00:01:39.000 --> 00:01:40.000]  他講到
[00:01:40.000 --> 00:01:41.000]  你的腦裡面
[00:01:41.000 --> 00:01:43.000]  有一個物體
[00:01:43.000 --> 00:01:45.000]  叫做松果體
[00:01:45.000 --> 00:01:47.000]  經過這樣的修煉之後
