
[00:00:00.000 --> 00:00:03.000]  各位在座的弟兄姊妹平安
[00:00:03.000 --> 00:00:06.000]  各位在網上的朋友都平安
[00:00:06.000 --> 00:00:10.000]  很快將會踏入七月了
[00:00:10.000 --> 00:00:15.000]  七月對學校來說是一個特別的時候
[00:00:15.000 --> 00:00:19.000]  因為七月是一個學年的結束
[00:00:19.000 --> 00:00:22.000]  而八月是一個新的學年的開始
[00:00:22.000 --> 00:00:25.000]  或者其實你都不太察覺
[00:00:25.000 --> 00:00:28.000]  因為無論是在山下的未懸湖
[00:00:28.000 --> 00:00:30.000]  和在山頂上的天然合一
[00:00:30.000 --> 00:00:31.000]  都是一樣的
[00:00:31.000 --> 00:00:34.000]  中間的百萬大道仍然是寬敞
[00:00:34.000 --> 00:00:36.000]  一樹一木一花一草
[00:00:36.000 --> 00:00:38.000]  都仿然是一切依舊
[00:00:38.000 --> 00:00:40.000]  沒有改變過
[00:00:40.000 --> 00:00:42.000]  但是你問一下同學們
[00:00:42.000 --> 00:00:44.000]  拿張學生證出來看看
[00:00:44.000 --> 00:00:46.000]  他們就見到expery day
[00:00:46.000 --> 00:00:48.000]  就是七月三十一日
[00:00:48.000 --> 00:00:50.000]  其實一個學年的結束
[00:00:50.000 --> 00:00:52.000]  除了同學的轉換之外
[00:00:52.000 --> 00:00:58.000]  亦都是很多同事退休離職的時候
[00:00:58.000 --> 00:01:01.000]  雖然不至於人面全非
[00:01:01.000 --> 00:01:07.000]  但是都總是會有很多依依不捨的感情
[00:01:07.000 --> 00:01:15.000]  要離開可以有一百種的心情
[00:01:15.000 --> 00:01:18.000]  不同人有不同的心情
[00:01:18.000 --> 00:01:20.000]  無論是離開一個崗位
[00:01:20.000 --> 00:01:22.000]  無論是離開一個地方
[00:01:22.000 --> 00:01:24.000]  無論是離開一段關係
[00:01:24.000 --> 00:01:30.000]  不同的人有不同的狀況
[00:01:30.000 --> 00:01:32.000]  有不同的想法
[00:01:32.000 --> 00:01:34.000]  有不同的感受
[00:01:34.000 --> 00:01:35.000]  不同的情緒
[00:01:35.000 --> 00:01:39.000]  如果好像以利亞那樣離開
[00:01:39.000 --> 00:01:41.000]  都算是頗為完美
[00:01:41.000 --> 00:01:44.000]  我們試試看以利亞怎樣離開
[00:01:44.000 --> 00:01:46.000]  我們回到今天的經文
[00:01:46.000 --> 00:01:50.000]  第一段的經課是舊約經課
[00:01:50.000 --> 00:01:52.000]  你忘記了
[00:01:52.000 --> 00:01:58.000]  第二章一節
[00:01:58.000 --> 00:02:03.000]  這裡說耶和華要用旋風接以利亞升天的時候
[00:02:03.000 --> 00:02:07.000]  以利亞和以利沙從吉甲前往
[00:02:07.000 --> 00:02:14.000]  接著他的徒弟以利沙就跟著他去到伯特利
[00:02:14.000 --> 00:02:16.000]  然後就跟他說
[00:02:16.000 --> 00:02:19.000]  我指著永生的耶和華起誓
