
[00:00:00.000 --> 00:00:07.000]  今日和大家繼續看彼得前書的訊息
[00:00:07.000 --> 00:00:11.560]  今天來到第五章 最後一章的經文
[00:00:11.560 --> 00:00:15.200]  我們感謝神
[00:00:15.200 --> 00:00:18.400]  祂是各位使我們有盼望的上帝
[00:00:18.400 --> 00:00:20.720]  亦在今年的主題裡
[00:00:20.720 --> 00:00:26.600]  我們一同來等候神所給我們應許的福分
[00:00:26.600 --> 00:00:30.200]  這就是主基督降臨 永恆的應許
[00:00:30.200 --> 00:00:33.600]  在彼得書信裡不斷提到這方面
[00:00:33.600 --> 00:00:37.600]  我們今天來看這段落時
[00:00:37.600 --> 00:00:40.600]  是講到領袖與跟隨者
[00:00:40.600 --> 00:00:43.600]  這幅圖畫
[00:00:43.600 --> 00:00:46.200]  不知道大家有沒有見過真正的
[00:00:46.200 --> 00:00:50.200]  鴨子跟著鴨媽媽走的路
[00:00:50.200 --> 00:00:55.200]  有時偶爾會看到 不是經常見到
[00:00:55.200 --> 00:00:59.200]  前幾天在我們這裡的教會兒童中心
[00:00:59.200 --> 00:01:02.600]  看到我們的童工 少年姊妹
[00:01:02.600 --> 00:01:06.600]  牽著小朋友的pre-schooler
[00:01:06.600 --> 00:01:11.600]  有幾個在後面跟著他們
[00:01:11.600 --> 00:01:14.600]  我自然想到這幅圖畫
[00:01:14.600 --> 00:01:17.600]  鴨子跟著鴨媽媽
[00:01:17.600 --> 00:01:23.600]  少年牽著他們 很有愛心地走
[00:01:23.600 --> 00:01:26.600]  小朋友在後面跟著他們
[00:01:26.600 --> 00:01:30.600]  事實上在彼得講到
[00:01:30.600 --> 00:01:33.600]  等候榮耀 盼望的時候
[00:01:33.600 --> 00:01:35.600]  他講到很多方面
[00:01:35.600 --> 00:01:38.600]  我們過往幾個月裡都看過
[00:01:38.600 --> 00:01:43.600]  包括在政府的權力下
[00:01:43.600 --> 00:01:45.600]  如何學信復
[00:01:45.600 --> 00:01:47.600]  在外邦人當中如何見證
[00:01:47.600 --> 00:01:50.600]  在那些逼迫我們的人當中
[00:01:50.600 --> 00:01:52.600]  我們繼續持守我們的信仰
[00:01:52.600 --> 00:01:55.600]  在教會裡我們親愛弟兄
[00:01:55.600 --> 00:01:57.600]  然後盡心侍奉
[00:01:57.600 --> 00:01:59.600]  靈性裡的操練
[00:01:59.600 --> 00:02:01.600]  我們需要警醒
[00:02:01.600 --> 00:02:04.600]  等候主降臨的時候
[00:02:04.600 --> 00:02:07.600]  亦是萬物結局的禁了
[00:02:07.600 --> 00:02:09.600]  叫我們盡心侍奉神
[00:02:09.600 --> 00:02:12.600]  所以到最後這一章的時候
[00:02:12.600 --> 00:02:16.600]  他重新提到教會的侍奉
[00:02:16.600 --> 00:02:19.600]  當然教會裡有長有幼
[00:02:19.600 --> 00:02:21.600]  有一些屬靈的領袖
[00:02:21.600 --> 00:02:23.600]  都有信徒
[00:02:23.600 --> 00:02:28.600]  我的聲音重複了
[00:02:28.600 --> 00:02:34.600]  我們看見在教會的生活裡
[00:02:34.600 --> 00:02:37.600]  教會的侍奉裡有不同的層次
[00:02:37.600 --> 00:02:41.600]  神亦設立了教會屬靈的長者 領袖
[00:02:41.600 --> 00:02:44.600]  來牧養 帶領
[00:02:44.600 --> 00:02:46.600]  特別在末世的時候
[00:02:46.600 --> 00:02:49.600]  遲些我們有機會講到彼得後書的時候
[00:02:49.600 --> 00:02:52.600]  在末世的時候亦有很多假的道理
[00:02:52.600 --> 00:02:57.600]  假先知 有一些異端邪說
[00:02:57.600 --> 00:02:59.600]  需要我們一同守望
[00:02:59.600 --> 00:03:02.600]  需要一些成熟的信徒來帶領
