
[00:00:00.000 --> 00:00:04.000]  感謝主,我們在羊年開始的時候
[00:00:04.000 --> 00:00:07.500]  我們先回到教會,去到神的殿
[00:00:07.500 --> 00:00:13.000]  一齊來感謝上帝祂自己的賜福
[00:00:13.000 --> 00:00:18.000]  恭祝大家羊年進步,羊年蒙福
[00:00:18.000 --> 00:00:21.500]  我相信沒有哪個宗教
[00:00:21.500 --> 00:00:25.000]  比基督教的信徒
[00:00:25.000 --> 00:00:31.000]  更加去明白羊的意義
[00:00:31.000 --> 00:00:36.000]  我記得我剛剛回教會不久的時候
[00:00:36.000 --> 00:00:39.000]  就學會唱一首詩歌
[00:00:39.000 --> 00:00:45.000]  那首詩歌叫做《我是主的羊》
[00:00:45.000 --> 00:00:49.000]  差不多四十年前,我1976年回教會
[00:00:49.000 --> 00:00:53.000]  這首是其中一首我最早學會唱的詩歌
[00:00:53.000 --> 00:00:56.000]  如果你懂得唱的話,跟我年紀差不多
[00:00:56.000 --> 00:00:59.000]  懂得唱嗎?
[00:00:59.000 --> 00:01:05.000]  主領我道程操的按揭在旗帥旁
[00:01:05.000 --> 00:01:11.000]  我憑是主與我一路同行
[00:01:11.000 --> 00:01:17.000]  目唱上主的羊都得滿足
[00:01:17.000 --> 00:01:25.000]  甚快唱我是主的羊
[00:01:25.000 --> 00:01:31.000]  原來大家回教會都超過四十年
[00:01:31.000 --> 00:01:35.000]  我是主的羊
[00:01:35.000 --> 00:01:43.000]  其實原來我們每一個都是主的羊仔和羊女
[00:01:43.000 --> 00:01:46.500]  所以在這個新年崇拜的時候
[00:01:46.500 --> 00:01:51.000]  我們去看一下我們這群羊仔羊女
[00:01:51.000 --> 00:01:53.000]  有些什麼福氣
[00:01:53.000 --> 00:01:56.000]  在《約翰福音》
[00:01:56.000 --> 00:01:59.000]  剛剛我們所讀的《以西傑書》都說了很多
[00:01:59.000 --> 00:02:01.000]  我們作為主的羊
[00:02:01.000 --> 00:02:03.000]  我們可以得到的福氣
[00:02:03.000 --> 00:02:08.000]  我特別用《約翰福音》第十章這段訊息
[00:02:08.000 --> 00:02:11.000]  和大家再思想一下
[00:02:11.000 --> 00:02:16.000]  我們起碼可以領受到有三種福氣
[00:02:16.000 --> 00:02:19.000]  在《約翰福音》這段經文裏面
