
[00:00:00.000 --> 00:00:03.000]  各位觀眾朋友,平安!
[00:00:03.000 --> 00:00:08.000]  今天和大家分享一個題目叫「誰是大老闆」
[00:00:08.000 --> 00:00:12.000]  多謝黃牧師找來這幅照片
[00:00:12.000 --> 00:00:14.000]  這個是誰來的?
[00:00:14.000 --> 00:00:17.000]  好像是傳說中的馬雲
[00:00:17.000 --> 00:00:19.000]  誰是大老闆呢?
[00:00:19.000 --> 00:00:22.000]  不知道馬雲是不是你大老闆呢?
[00:00:22.000 --> 00:00:24.000]  我們一起
[00:00:24.000 --> 00:00:27.000]  首先邀請大家有個祈禱
[00:00:29.000 --> 00:00:32.000]  親愛的,我們感謝你
[00:00:32.000 --> 00:00:34.000]  多謝你吸引我們
[00:00:34.000 --> 00:00:37.000]  多謝你加添我們對你的渴望
[00:00:37.000 --> 00:00:42.000]  以致我們能夠來到你的殿裡敬拜
[00:00:42.000 --> 00:00:45.000]  請你加添我們對你的渴望的心
[00:00:45.000 --> 00:00:47.000]  以致我們不單止在你的殿裡敬拜
[00:00:47.000 --> 00:00:49.000]  在我們生活裡
[00:00:49.000 --> 00:00:53.000]  我們都以你為我們的主,為尊
[00:00:53.000 --> 00:00:59.000]  願在這一刻,無論聽或說,都同蒙你的願
[00:00:59.000 --> 00:01:02.000]  祈禱奉主耶穌基督的名,阿們
[00:01:02.000 --> 00:01:07.000]  想問一下題目
[00:01:07.000 --> 00:01:10.000]  大老闆之前要問的就是
[00:01:10.000 --> 00:01:12.000]  你知不知道誰是你老闆呢?
[00:01:12.000 --> 00:01:16.000]  知不知道誰是你老闆呢?
[00:01:16.000 --> 00:01:19.000]  是你的老闆,不是姓李的老闆
[00:01:19.000 --> 00:01:21.000]  誰是你的老闆,你知不知道呢?
[00:01:22.000 --> 00:01:24.000]  說不出來
[00:01:24.000 --> 00:01:28.000]  有人說,有得選擇才是老闆
[00:01:28.000 --> 00:01:31.000]  所以長沙灣真的有一間餐廳
[00:01:31.000 --> 00:01:33.000]  叫做「誰是老闆」
[00:01:33.000 --> 00:01:36.000]  裡面的餐牌款式非常多
[00:01:36.000 --> 00:01:41.000]  可能是讓你選擇到滿意為止
[00:01:41.000 --> 00:01:43.000]  試試有得選擇的滋味
[00:01:43.000 --> 00:01:46.000]  不過不知道是否有得選擇就是老闆呢?
[00:01:46.000 --> 00:01:50.000]  有人又說,誰是我的米飯班主
[00:01:50.000 --> 00:01:52.000]  那個就是我老闆
[00:01:52.000 --> 00:01:55.000]  所以學生說,誰給你用錢
[00:01:55.000 --> 00:01:57.000]  那個就是我老闆
[00:01:57.000 --> 00:01:59.000]  打工仔說,誰出糧給我
[00:01:59.000 --> 00:02:01.000]  那個就是我老闆
[00:02:01.000 --> 00:02:04.000]  至於你以為他是你老闆的那個老闆
[00:02:04.000 --> 00:02:06.000]  就說,當然是顧客
[00:02:06.000 --> 00:02:09.000]  來光顧的才是我老闆
[00:02:09.000 --> 00:02:12.000]  每個人都有不同的老闆
[00:02:12.000 --> 00:02:16.000]  可能有些人有好幾個老闆
[00:02:16.000 --> 00:02:19.000]  所以我這裡寫了個「大」
[00:02:19.000 --> 00:02:22.000]  誰才是你最大的老闆呢?
[00:02:22.000 --> 00:02:24.000]  我們不如讀一下今天的經文
[00:02:24.000 --> 00:02:27.000]  《獵王記》上的十八章一至十六節
[00:02:27.000 --> 00:02:29.000]  我們一起讀出
[00:02:29.000 --> 00:02:35.000]  《獵王記》上十八章一至十六節
[00:02:35.000 --> 00:02:36.000]  預備起
[00:02:36.000 --> 00:02:38.000]  過了許多日子
[00:02:38.000 --> 00:02:40.000]  到了第三年
