
[00:00:00.000 --> 00:00:04.800]  我們今天分享的題目叫做「面對困境」
[00:00:04.800 --> 00:00:07.500]  我們會看三章的聖經
[00:00:07.500 --> 00:00:09.500]  不過不會到三點的
[00:00:09.500 --> 00:00:13.800]  我們從三號醫記下的十四章
[00:00:13.800 --> 00:00:16.100]  看到第十六章
[00:00:16.100 --> 00:00:19.100]  大家可能知道我很喜歡歷史
[00:00:19.100 --> 00:00:22.800]  所以近年都有兩齣我很喜歡
[00:00:22.800 --> 00:00:25.300]  有關第二次世界的電影
[00:00:25.300 --> 00:00:28.300]  不知道大家心裡想起了什麼電影
[00:00:28.300 --> 00:00:32.700]  第一齣我很喜歡的是「黑暗對峙」
[00:00:32.700 --> 00:00:37.000]  外容是講邱吉爾在第二次世界大戰的時候
[00:00:37.000 --> 00:00:40.000]  他做首相時候的故事
[00:00:40.000 --> 00:00:44.400]  當時英國正面臨一個很大的困境
[00:00:44.400 --> 00:00:49.900]  因為我們知道當時德國已經攻打了法國大部分的地方
[00:00:49.900 --> 00:00:52.800]  並且正要向英國進發
[00:00:52.800 --> 00:00:56.800]  當時很多人認為英國應該要跟德國講和
[00:00:56.800 --> 00:01:01.700]  你跟德國講和仍然可以保住英國的領土
[00:01:01.700 --> 00:01:04.300]  但當時邱吉爾在困境之中
[00:01:04.300 --> 00:01:06.300]  他力排忠義
[00:01:06.300 --> 00:01:08.200]  他拒絕講和
[00:01:08.200 --> 00:01:14.400]  並且堅決去帶領國家頑強的抵抗和反擊
[00:01:14.400 --> 00:01:19.000]  第二齣其實都是第二次世界大戰的時候的一個電影
[00:01:19.000 --> 00:01:22.600]  就是「鄧扣克大行動」
[00:01:22.600 --> 00:01:30.900]  這也是講述當時有超過三十萬的聯軍士兵
[00:01:30.900 --> 00:01:35.600]  被困在法國鄧扣克的海峽
[00:01:35.600 --> 00:01:38.600]  後面德軍已經追來了
[00:01:38.600 --> 00:01:41.600]  前無去路後有追兵
[00:01:41.600 --> 00:01:49.400]  起初的計劃是用軍艦將這三十幾萬的士兵退回英國
[00:01:49.400 --> 00:01:55.400]  但當時亦很擔心德國的軍艦和潛艇的攻擊
[00:01:55.400 --> 00:01:57.400]  所以他們就有一個行動
[00:01:57.400 --> 00:02:03.900]  就是在英國徵召了超過800艘民用的船
[00:02:03.900 --> 00:02:09.100]  這800艘的船仔去橫渡英國的海峽
[00:02:09.100 --> 00:02:14.600]  將這超過三十萬的士兵運回英國
[00:02:14.600 --> 00:02:20.900]  保住了兵力留待之後繼續與德軍作戰
[00:02:20.900 --> 00:02:24.000]  今天我們的題目叫做「面對困境」
[00:02:24.000 --> 00:02:27.800]  我們知道信耶穌不是天色常難
[00:02:27.800 --> 00:02:30.700]  我們的生命都會面對困境
[00:02:30.700 --> 00:02:34.000]  但當我們的生命面對困境的時候
[00:02:34.000 --> 00:02:36.500]  我們又可以怎樣回應呢?
[00:02:36.500 --> 00:02:38.500]  如果大家記得兩個星期前
[00:02:38.500 --> 00:02:46.700]  Pastor Irene和Pastor Sandy 和我們分享了大衛因為沒有好好管教好他的兒女
[00:02:46.700 --> 00:02:49.600]  導致他的家中出現了大混亂
[00:02:49.600 --> 00:02:55.700]  我們知道他的兒子暗亂就喜歡了同父異母的妹妹Tama
[00:02:55.700 --> 00:02:58.800]  但大衛沒有好好正視這個問題
[00:02:58.800 --> 00:03:01.600]  他反而是暗亂問他要甚麼
[00:03:01.600 --> 00:03:04.700]  他又去滿足了兒子的要求
[00:03:04.700 --> 00:03:09.900]  所以最後暗亂和他的妹妹就發生了亂倫的關係
