
[00:00:00.000 --> 00:00:02.300]  我們一起先低頭來祈禱
[00:00:02.300 --> 00:00:04.000]  天父我們多謝祢
[00:00:04.000 --> 00:00:10.740]  因為祢是那位願意來對我們說話的神
[00:00:10.740 --> 00:00:12.900]  當我們打開祢自己的話語
[00:00:12.900 --> 00:00:18.800]  我就求祢讓這些話語跳進我們的心裏
[00:00:18.800 --> 00:00:20.900]  捉摸我們的心對我們說話
[00:00:20.900 --> 00:00:24.400]  讓我們聽的、講的能夠同感一靈
[00:00:24.400 --> 00:00:25.800]  願神在中間裏面
[00:00:25.800 --> 00:00:28.200]  祢的聲音自由地來運行
[00:00:28.200 --> 00:00:29.000]  多謝祢
[00:00:29.000 --> 00:00:32.100]  我們這樣禱告,奉主耶穌名求,阿門
[00:00:59.000 --> 00:01:00.000]  還有一個華人
[00:01:00.000 --> 00:01:03.000]  他竟然提出在新舊約裏面
[00:01:03.000 --> 00:01:04.600]  各有三注的經文
[00:01:04.600 --> 00:01:06.000]  大家是應該必讀的
[00:01:06.000 --> 00:01:08.500]  如果你還未讀完全本聖經
[00:01:08.500 --> 00:01:11.000]  又很想讀一些所謂精品
[00:01:11.000 --> 00:01:12.400]  聖經的精品
[00:01:12.400 --> 00:01:15.000]  這三段經文你要記住了
[00:01:15.000 --> 00:01:17.300]  就是舊約有十誡
[00:01:17.300 --> 00:01:19.500]  出埃及記有二十章
[00:01:19.500 --> 00:01:21.300]  新約有登山補訓
[00:01:21.300 --> 00:01:24.100]  其中就是我們說的八福
[00:01:24.100 --> 00:01:26.900]  和我們的主禱文都在裏面
[00:01:26.900 --> 00:01:29.400]  另外就是亞倫的祝福
[00:01:29.400 --> 00:01:31.100]  大祭司亞倫的祝福
[00:01:31.100 --> 00:01:32.800]  也有使徒的祝福
[00:01:32.800 --> 00:01:33.800]  就是保羅的祝福
[00:01:33.800 --> 00:01:35.700]  在帖撒萊尼加前書
[00:01:35.700 --> 00:01:39.200]  接著就是今天我要說的這一篇詩篇
[00:01:39.200 --> 00:01:42.100]  是萬世傳頌的這一篇詩篇
[00:01:42.100 --> 00:01:43.400]  詩篇二十三篇
[00:01:43.400 --> 00:01:47.100]  也有新約的約翰福音第十章
[00:01:47.100 --> 00:01:48.700]  就是牧者的新綱
[00:01:48.700 --> 00:01:50.900]  因為牧者的新綱是說到耶穌
[00:01:50.900 --> 00:01:53.800]  耶穌就成為這個什麼?
[00:01:53.800 --> 00:02:00.100]  就是講到新的耶穌是我們的僕人
[00:02:00.100 --> 00:02:04.900]  所以我今天都會圍繞著詩篇二十三篇的講之外
[00:02:04.900 --> 00:02:08.400]  很多的概念都來自約翰福音第十章
[00:02:08.400 --> 00:02:11.800]  講到耶穌就是我們的好牧人
[00:02:11.800 --> 00:02:17.100]  所以我們一起來讀一下這一篇
[00:02:17.100 --> 00:02:20.100]  是二十三篇這一篇的詩篇
[00:02:20.100 --> 00:02:24.600]  這一篇詩篇是屬於一個信靠之詩
[00:02:24.600 --> 00:02:26.400]  因為洪友芝博士
[00:02:26.400 --> 00:02:30.900]  他將詩篇一百五十篇分成九輯去做
