
[00:00:00.000 --> 00:00:04.800]  丘子妹 我們的主配得我們尊崇 Amen
[00:00:04.800 --> 00:00:09.040]  保羅說丟棄萬事 如同糞土
[00:00:09.040 --> 00:00:13.640]  為要得著耶穌基督 為什麼 自保
[00:00:13.640 --> 00:00:17.040]  祂真是你的自保嗎
[00:00:17.040 --> 00:00:19.040]  所以在上次的信息裡我們講到說
[00:00:19.040 --> 00:00:23.440]  保羅說他得著基督為自保啊
[00:00:23.440 --> 00:00:25.880]  為了基督的緣故
[00:00:25.880 --> 00:00:30.040]  他所有一切都可以放棄
[00:00:30.040 --> 00:00:32.040]  哎呀 當他講到這裡的時候
[00:00:32.040 --> 00:00:33.040]  我們真覺得說
[00:00:33.040 --> 00:00:37.040]  如果我有一天能夠像保羅這樣子就好了 是不是
[00:00:37.040 --> 00:00:42.040]  但是保羅 他沒有停在這裡
[00:00:42.040 --> 00:00:49.040]  接著今天在十二節 十二節到十六節
[00:00:49.040 --> 00:00:53.040]  保羅就說 這不是說我已經得著了
[00:00:53.040 --> 00:00:55.040]  已經完全了
[00:00:55.040 --> 00:00:57.040]  保羅說 不
[00:00:57.040 --> 00:00:59.040]  我這樣講的意思並不是說
[00:00:59.040 --> 00:01:03.040]  我已經完全了 我已經得著了
[00:01:03.040 --> 00:01:06.040]  好像我覺得我對基督的認識
[00:01:06.040 --> 00:01:08.040]  已經到達了一個頂端
[00:01:08.040 --> 00:01:10.040]  我再也沒有什麼可以認識了 不是
[00:01:10.040 --> 00:01:12.040]  保羅說 我不是如此
[00:01:12.040 --> 00:01:14.040]  我乃是竭力追求
[00:01:14.040 --> 00:01:18.040]  或者可以得著基督耶穌所以得著我的
[00:01:18.040 --> 00:01:21.040]  他一直在強調一件事情
[00:01:21.040 --> 00:01:25.040]  他說 他不是以為自己已經得著了
[00:01:25.040 --> 00:01:27.040]  他只有一件事
[00:01:27.040 --> 00:01:31.040]  這件事情是什麼
[00:01:31.040 --> 00:01:39.040]  忘記背後 努力面前 向著標杆自保
[00:01:39.040 --> 00:01:44.040]  保羅說他只有一件事情
[00:01:44.040 --> 00:01:47.040]  只有一件事
[00:01:47.040 --> 00:01:52.040]  這一件事情是一個非常強烈的表達
[00:01:52.040 --> 00:01:55.040]  保羅在這裡的意思 他原來的意思是說
[00:01:55.040 --> 00:01:58.040]  我只做一件事情
[00:01:58.040 --> 00:02:01.040]  表明說 他一生他全部的精力
[00:02:01.040 --> 00:02:04.040]  都是花費在做這一件事情
[00:02:04.040 --> 00:02:05.040]  在追求這件事情
[00:02:05.040 --> 00:02:11.040]  這件事情何等的重要
[00:02:11.040 --> 00:02:17.040]  你一生當中所追求的是什麼事情
[00:02:17.040 --> 00:02:19.040]  我們今天這一生當中
[00:02:19.040 --> 00:02:23.040]  我們有太多的事情要我們追求了 是不是
[00:02:23.040 --> 00:02:25.040]  我們小的時候追求要怎麼樣
[00:02:25.040 --> 00:02:30.040]  只要我長大 只要我長大做什麼
[00:02:30.040 --> 00:02:35.040]  哥哥爸爸 曾偉達
[00:02:35.040 --> 00:02:37.040]  我們只要希望說我將來長大
[00:02:37.040 --> 00:02:39.040]  我讀書 我努力賺錢
[00:02:39.040 --> 00:02:43.040]  我希望我將來能夠有一天能夠光宗耀祖
[00:02:43.040 --> 00:02:46.040]  我能夠功成名就 是不是
[00:02:46.040 --> 00:02:48.040]  我們從小就被這樣教導
[00:02:48.040 --> 00:02:52.040]  我們整個社會的追求也是如此
[00:02:52.040 --> 00:02:56.040]  但是有人說基督徒的生活應該是像一隻箭
[00:02:56.040 --> 00:03:03.040]  只有一個重點
[00:03:03.040 --> 00:03:08.040]  基督徒的人生不應該像掃把的尾巴
[00:03:08.040 --> 00:03:11.040]  有看過掃把嗎
[00:03:11.040 --> 00:03:18.040]  掃把的尾巴是怎麼樣
[00:03:18.040 --> 00:03:22.040]  很多的怎麼樣
[00:03:22.040 --> 00:03:25.040]  掃把是怎麼樣
[00:03:25.040 --> 00:03:29.040]  所以掃把是很多的方向
[00:03:29.040 --> 00:03:31.040]  很多的重點
[00:03:31.040 --> 00:03:35.040]  今天很多的人人生的重點太多
[00:03:35.040 --> 00:03:36.040]  沒有focus
[00:03:36.040 --> 00:03:38.040]  保羅說他只有一件事情
[00:03:38.040 --> 00:03:43.040]  這件事情是什麼呢
[00:03:43.040 --> 00:03:47.040]  他說向著標杆怎麼樣 直跑
[00:03:47.040 --> 00:03:50.040]  這個標杆是什麼
