
[00:00:00.000 --> 00:00:04.000]  我們的題目是基督的平安做主
[00:00:04.000 --> 00:00:06.000]  在這個第15節裏頭
[00:00:06.000 --> 00:00:10.000]  又要教基督的平安在你們心裏做主
[00:00:10.000 --> 00:00:14.000]  我們就從這一段聖經裏頭
[00:00:14.000 --> 00:00:18.000]  來看看我們是怎樣脫去舊人
[00:00:18.000 --> 00:00:20.000]  穿上新人
[00:00:20.000 --> 00:00:23.000]  我們要先看到的就是
[00:00:23.000 --> 00:00:26.000]  穿上新人的美德
[00:00:26.000 --> 00:00:31.000]  在這個新人呢
[00:00:31.000 --> 00:00:33.000]  什麼叫做新人呢
[00:00:33.000 --> 00:00:36.000]  就是從以自己爲中心
[00:00:36.000 --> 00:00:38.000]  這樣的一個人生
[00:00:38.000 --> 00:00:42.000]  能夠轉變到以基督爲中心的人生
[00:00:42.000 --> 00:00:44.000]  這就是新人
[00:00:44.000 --> 00:00:46.000]  新人跟舊人最大的差別
[00:00:46.000 --> 00:00:49.000]  就是你以什麼爲中心
[00:00:49.000 --> 00:00:52.000]  新人不是說他完美無缺
[00:00:52.000 --> 00:00:56.000]  新人也不是說他什麼都對什麼都好
[00:00:56.000 --> 00:01:00.000]  新人是他能夠以神爲基督
[00:01:00.000 --> 00:01:02.000]  作爲他的中心
[00:01:02.000 --> 00:01:03.000]  這樣一個人生
[00:01:03.000 --> 00:01:04.000]  無論是說話
[00:01:04.000 --> 00:01:06.000]  無論是行事
[00:01:06.000 --> 00:01:10.000]  他都能夠把基督放在第一位
[00:01:10.000 --> 00:01:14.000]  那麼這個就是一個新人的人生
[00:01:14.000 --> 00:01:15.000]  這樣的話
[00:01:15.000 --> 00:01:19.000]  就可以把基督的美德表現出來
[00:01:19.000 --> 00:01:20.000]  因爲我們得救
[00:01:20.000 --> 00:01:24.000]  我們蒙恩乃是爲了要榮耀神
[00:01:24.000 --> 00:01:25.000]  怎樣能夠榮耀神呢
[00:01:25.000 --> 00:01:28.000]  就是能夠讓基督的美德
[00:01:28.000 --> 00:01:29.000]  他的美麗
[00:01:29.000 --> 00:01:33.000]  能夠從我們身上顯現出來
[00:01:33.000 --> 00:01:36.000]  在第十二節開始
[00:01:36.000 --> 00:01:41.000]  就講到基督的美德是什麼呢
