
[00:00:00.000 --> 00:00:04.000]  「逃性」 即是逃跑的逃
[00:00:04.000 --> 00:00:11.000]  是讓犯了誤殺罪的人去避難所
[00:00:11.000 --> 00:00:20.000]  在印言那裡我寫了八個字 叫做「公平公義 談何容易」
[00:00:20.000 --> 00:00:24.000]  這些字 即是廣告
[00:00:24.000 --> 00:00:29.000]  所以你跟政府說 要公平
[00:00:30.000 --> 00:00:35.000]  我都說過 有些人上公屋很快的
[00:00:35.000 --> 00:00:40.000]  不知為何很快的 有些人上公屋很久的
[00:00:40.000 --> 00:00:48.000]  公平嗎 過馬路警察抓了你又不抓我
[00:00:48.000 --> 00:00:53.000]  公平嗎 因為他說我看不到 我是盲人
[00:00:53.000 --> 00:00:57.000]  我走錯了 其實我聽到的
[00:00:58.000 --> 00:01:00.000]  不過他可能給我面子不抓我
[00:01:00.000 --> 00:01:04.000]  是否公平 這個世界說公平
[00:01:04.000 --> 00:01:09.000]  有些人都會說 說這些 即是甚麼意思
[00:01:09.000 --> 00:01:15.000]  沒有的 公平公義 談何容易
[00:01:15.000 --> 00:01:18.000]  但我們看看聖經說的神有多特別
[00:01:19.000 --> 00:01:29.000]  不過說聖經之前我想說 經歷一個在基督教機構裡有一個獨特的紛爭
[00:01:29.000 --> 00:01:35.000]  跟電子科技有關 很奇怪
[00:01:35.000 --> 00:01:44.000]  有一次在寫字樓裡有一個同事 發覺他的電腦不知為何跟平時有些不同
[00:01:44.000 --> 00:01:48.000]  他覺得好像被人黑了 英文叫黑客
[00:01:49.000 --> 00:01:54.000]  入侵 被人黑了
[00:01:54.000 --> 00:02:01.000]  他覺得很奇怪 後來他發覺他的同事交的報告裡
[00:02:01.000 --> 00:02:06.000]  有些好像是他寫的內容
[00:02:06.000 --> 00:02:12.000]  他直覺 他推測 他覺得是甚麼
[00:02:12.000 --> 00:02:17.000]  就是這個同事入侵了他的電腦 拿了他的東西
[00:02:18.000 --> 00:02:22.000]  他當然是無名火起 又覺得很不公道
[00:02:22.000 --> 00:02:33.000]  還跟相同的同事談 同事亦都發覺他的東西好像在某同事的報告裡出現
[00:02:33.000 --> 00:02:40.000]  即是有兩個人懷疑另外第三個人會偷東西
[00:02:41.000 --> 00:02:49.000]  更糟糕的是那個不是普通的江湖 不是普通的旺角 即是偷東西去旺角警署
[00:02:49.000 --> 00:02:56.000]  在基督教機構裡 那些同事就覺得不可以容忍這件事
[00:02:56.000 --> 00:03:03.000]  就跟老闆反映 老闆就嘗試調查 去問他們查了些甚麼
[00:03:04.000 --> 00:03:11.000]  但他們是一起侍奉的 在基督教機構裡
[00:03:11.000 --> 00:03:21.000]  有兩個人就覺得是他了 他九成九就入侵了我的電腦 偷了我的東西
[00:03:21.000 --> 00:03:27.000]  另外一個就說我沒有 我沒有做過 沒有冤枉我
[00:03:28.000 --> 00:03:35.000]  本身他們的關係不是太好 令到他很僵
[00:03:35.000 --> 00:03:45.000]  被人偷東西的其中一個基督徒就打電話跟我說 唉 真是激氣 現在都不知怎樣
[00:03:45.000 --> 00:03:52.000]  總之又投訴上去 關係很僵 怎樣繼續一起共事呢
[00:03:53.000 --> 00:04:00.000]  有一天晚上 他有時打電話來 我都不知幾點鐘 他就很煩惱
[00:04:00.000 --> 00:04:06.000]  我最後就想了一條很絕 跟聖經的橋段
[00:04:06.000 --> 00:04:15.000]  我問你 你怎樣解決呢 如果你有家人 有家人 親戚朋友 兄弟姐妹都好
