
[00:00:00.000 --> 00:00:01.000]  各位兄弟姊妹早晨
[00:00:01.000 --> 00:00:06.000]  願神的恩典常常與你們同在
[00:00:06.000 --> 00:00:10.000]  今天我們一起看亞摩斯宣誌書
[00:00:10.000 --> 00:00:15.000]  基督教很多討論經濟正義
[00:00:15.000 --> 00:00:18.000]  或者社會正義的文章
[00:00:18.000 --> 00:00:21.000]  都會引用亞摩斯書
[00:00:21.000 --> 00:00:26.000]  南美洲的那些強調救助窮人的神學
[00:00:27.000 --> 00:00:30.000]  又引用亞摩斯書
[00:00:30.000 --> 00:00:33.000]  美國的民權領袖馬丁路德金
[00:00:33.000 --> 00:00:36.000]  那個著名的演說
[00:00:36.000 --> 00:00:38.000]  《我有一個夢》
[00:00:38.000 --> 00:00:41.000]  也引用亞摩斯書
[00:00:41.000 --> 00:00:44.000]  亞摩斯才知道批判的
[00:00:44.000 --> 00:00:49.000]  是社會上、經濟上的一切不義
[00:00:49.000 --> 00:00:51.000]  他的軟象
[00:00:51.000 --> 00:00:55.000]  是建立一個不會欺凌弱小
[00:00:56.000 --> 00:00:57.000]  尊重人性
[00:00:57.000 --> 00:01:00.000]  資源共享的社會
[00:01:00.000 --> 00:01:03.000]  而這個社會之所以可能
[00:01:03.000 --> 00:01:08.000]  建基於人對上帝的無限敬畏
[00:01:08.000 --> 00:01:12.000]  亞摩斯書第一章第一節講到
[00:01:12.000 --> 00:01:16.000]  亞摩斯活在南國猶大
[00:01:16.000 --> 00:01:18.000]  烏西亞的年代
[00:01:18.000 --> 00:01:20.000]  北國以色列
[00:01:20.000 --> 00:01:23.000]  耶羅波安二世的年代
[00:01:24.000 --> 00:01:28.000]  大約是公元前七八四十四年左右
[00:01:28.000 --> 00:01:30.000]  那個時候
[00:01:30.000 --> 00:01:34.000]  猶大國和以色列國都極其鼎盛
[00:01:34.000 --> 00:01:38.000]  亞摩斯才知道是有點怪的
[00:01:38.000 --> 00:01:43.000]  他本來是一個南邊猶大國的人
[00:01:43.000 --> 00:01:47.000]  但神卻吩咐他去北邊
[00:01:47.000 --> 00:01:51.000]  以色列國傳港神的信息
[00:01:52.000 --> 00:01:56.000]  以色列國有個祭司叫阿瑪謝
[00:01:56.000 --> 00:02:01.000]  對這個走過來說話的亞摩斯
[00:02:01.000 --> 00:02:04.000]  才知道很不客氣
[00:02:04.000 --> 00:02:06.000]  跟他講
[00:02:06.000 --> 00:02:10.000]  喂喂喂,老友,你繞過界
[00:02:10.000 --> 00:02:13.000]  要謀生,麻煩你走遠一點
[00:02:13.000 --> 00:02:16.000]  請你回你鄉下
[00:02:16.000 --> 00:02:18.000]  不要在這裡搗亂
[00:02:18.000 --> 00:02:21.000]  這個經文就是亞摩斯書
[00:02:22.000 --> 00:02:23.000]  第七章第十二節
[00:02:23.000 --> 00:02:27.000]  在人間傳港神的說話
[00:02:27.000 --> 00:02:30.000]  只要你夠認真的話
[00:02:30.000 --> 00:02:34.000]  很多時候很多人都叫你走遠一點
[00:02:34.000 --> 00:02:36.000]  不要在這裡講
[00:02:36.000 --> 00:02:39.000]  或者有一天我都要走遠一點
[00:02:39.000 --> 00:02:41.000]  要回鄉下
[00:02:41.000 --> 00:02:47.000]  為什麼上帝要派一個南國的猶大先知
[00:02:47.000 --> 00:02:51.000]  去到北國以色列傳道呢
[00:02:52.000 --> 00:02:55.000]  那個時候,以色列是一個盛世
[00:02:55.000 --> 00:03:00.000]  有錢的人夜夜笙歌,不亦樂乎
[00:03:00.000 --> 00:03:03.000]  或者,這個或者
[00:03:03.000 --> 00:03:06.000]  在一個這麼美好的世界
[00:03:06.000 --> 00:03:08.000]  已經很難找到一個
[00:03:08.000 --> 00:03:13.000]  向同胞傳港神的審判的先知
[00:03:13.000 --> 00:03:16.000]  又或者,看來看去
[00:03:16.000 --> 00:03:18.000]  沒有一個對的人
[00:03:19.000 --> 00:03:22.000]  神就抽派亞摩斯去
[00:03:22.000 --> 00:03:25.000]  一定要講,因為要講的信息
[00:03:25.000 --> 00:03:27.000]  有點緊迫
[00:03:27.000 --> 00:03:31.000]  以色列人完全不察覺
[00:03:31.000 --> 00:03:34.000]  就是由他們那時候的盛世
[00:03:34.000 --> 00:03:38.000]  去到被亞述完全殲滅
[00:03:38.000 --> 00:03:44.000]  其實只需要二十多年的光景
[00:03:45.000 --> 00:03:49.000]  由極盛去到完全的衰敗
[00:03:49.000 --> 00:03:53.000]  只需要二十多個年頭
[00:03:53.000 --> 00:03:56.000]  所以上帝要跟他們講一些東西
[00:03:56.000 --> 00:03:59.000]  很緊急,時間無多
[00:03:59.000 --> 00:04:02.000]  發出一個緊急的警報
[00:04:02.000 --> 00:04:06.000]  大概就是前面就是懸崖
[00:04:06.000 --> 00:04:12.000]  現在很及時緊急掉頭
[00:04:13.000 --> 00:04:15.000]  人心的崩壞
[00:04:15.000 --> 00:04:17.000]  和社會的衰亡
[00:04:17.000 --> 00:04:19.000]  都是息息相關的
[00:04:19.000 --> 00:04:21.000]  就是這個存亡之秋
[00:04:21.000 --> 00:04:25.000]  先知呼喚人悔改了
[00:04:25.000 --> 00:04:29.000]  精神愛人努力做好它了
[00:04:29.000 --> 00:04:32.000]  或許這樣才能夠扭轉
[00:04:32.000 --> 00:04:35.000]  當時的以色列國的命運
[00:04:35.000 --> 00:04:38.000]  我們看看今天的港島經文
[00:04:39.000 --> 00:04:45.000]  我們看看先知書第四章第六至第十一節
[00:04:45.000 --> 00:04:49.000]  經文印製在我們的程序表較後的部分
[00:04:49.000 --> 00:04:52.000]  如果是網上的頂子妹
[00:04:52.000 --> 00:04:56.000]  請打開聖經相關的章節
[00:04:56.000 --> 00:05:01.000]  亞摩斯書我們先看第四章第六至第十一節
[00:05:01.000 --> 00:05:04.000]  我會讀這個經文
[00:05:04.000 --> 00:05:07.000]  讀的時候頂子妹留意一下
[00:05:08.000 --> 00:05:10.000]  每一節都在說不同的災禍
[00:05:10.000 --> 00:05:13.000]  還有每一節之間
[00:05:13.000 --> 00:05:15.000]  有些重複的句子
