
[00:00:00.000 --> 00:00:03.700]  這一張 大家認得中間那個人嗎?
[00:00:03.700 --> 00:00:05.280]  那個叫做
[00:00:05.280 --> 00:00:08.400]  叫阿彪
[00:00:08.400 --> 00:00:10.100]  克林頓
[00:00:10.100 --> 00:00:12.100]  他左邊那個是誰?
[00:00:12.100 --> 00:00:15.700]  那個拉賓 是不是法國國家隊那個?
[00:00:15.700 --> 00:00:17.200]  不是 不是那個
[00:00:17.200 --> 00:00:18.900]  這個是以色列的
[00:00:18.900 --> 00:00:21.200]  以前的總理
[00:00:21.200 --> 00:00:22.900]  現在那個叫做內塔尼亞胡
[00:00:22.900 --> 00:00:24.300]  這個拉賓
[00:00:24.300 --> 00:00:26.300]  他怎樣死的 知不知道?
[00:00:26.300 --> 00:00:29.700]  他是被刺殺
[00:00:30.500 --> 00:00:32.500]  聽說是被他自己
[00:00:32.500 --> 00:00:35.800]  猶太人的極端組織殺了他
[00:00:35.800 --> 00:00:40.200]  因為他願意用土地去換取和平
[00:00:40.200 --> 00:00:42.900]  右邊那個就叫做
[00:00:42.900 --> 00:00:44.500]  阿拉法
[00:00:44.500 --> 00:00:48.300]  阿拉法是巴勒斯坦解放組織的領袖
[00:00:48.300 --> 00:00:49.800]  你知道阿拉法
[00:00:49.800 --> 00:00:53.300]  我覺得差不多是他最厲害的一位
[00:00:53.300 --> 00:00:55.500]  比曼達拉還厲害
[00:00:55.500 --> 00:00:57.100]  因為他死的時候
[00:00:57.100 --> 00:00:59.600]  是全世界最大型的喪禮
[00:01:00.400 --> 00:01:02.000]  他在法國
[00:01:02.000 --> 00:01:03.600]  不知道在哪裡就醫
[00:01:03.600 --> 00:01:05.100]  最後又去法國
[00:01:05.100 --> 00:01:07.400]  在那裡過世
[00:01:07.400 --> 00:01:09.200]  安排了一個葬禮
[00:01:09.200 --> 00:01:10.400]  在
[00:01:10.400 --> 00:01:13.000]  就是他跨幾個國家的
[00:01:13.000 --> 00:01:14.800]  全世界很多元首
[00:01:14.800 --> 00:01:17.900]  最後用專機載他回去巴勒斯坦
[00:01:17.900 --> 00:01:19.100]  那裡落葬
[00:01:19.100 --> 00:01:22.100]  再考考大家這張照片
[00:01:22.100 --> 00:01:23.600]  是哪一年拍的?
[00:01:23.600 --> 00:01:27.500]  九幾
[00:01:27.500 --> 00:01:29.200]  好 正確
[00:01:29.700 --> 00:01:31.500]  是1993年
[00:01:31.500 --> 00:01:32.900]  9月13日
[00:01:32.900 --> 00:01:35.900]  這張照片是在美國拍的
[00:01:35.900 --> 00:01:36.700]  你知道
[00:01:36.700 --> 00:01:38.600]  能夠拍一張照片
[00:01:38.600 --> 00:01:41.000]  然後上國際頭條
[00:01:41.000 --> 00:01:43.400]  就是因為以巴和談
[00:01:43.400 --> 00:01:45.600]  繼續是世界的焦點
[00:01:45.600 --> 00:01:47.800]  我們說這個世界
[00:01:47.800 --> 00:01:50.600]  耶穌才是世界唯一的出路
[00:01:50.600 --> 00:01:52.800]  耶穌說祂是道路
[00:01:52.800 --> 00:01:53.800]  真理
[00:01:53.800 --> 00:01:54.600]  生命
[00:01:54.600 --> 00:01:56.800]  祂說話說得很絕對
[00:01:56.800 --> 00:01:58.300]  如果不相信祂
[00:01:58.300 --> 00:01:59.800]  人會玩完的
[00:01:59.800 --> 00:02:01.700]  因為不相信祂
[00:02:01.700 --> 00:02:04.600]  人就不能解決人的罪
[00:02:04.600 --> 00:02:06.500]  解決不了罪
[00:02:06.500 --> 00:02:08.600]  世界就沒有真正的公義
[00:02:08.600 --> 00:02:10.300]  沒有真正的公義
[00:02:10.300 --> 00:02:12.500]  就沒有真正的和平
[00:02:12.500 --> 00:02:15.000]  你知道今年
[00:02:15.000 --> 00:02:18.200]  特朗普說要將美國領事館
[00:02:18.200 --> 00:02:20.400]  在以色列的國慶
[00:02:20.400 --> 00:02:22.400]  擺在耶路撒冷
[00:02:22.400 --> 00:02:24.900]  今年剛剛是以色列的七十
[00:02:24.900 --> 00:02:26.700]  建國的七十週年
[00:02:27.300 --> 00:02:28.600]  就是國慶那天
[00:02:28.600 --> 00:02:29.600]  他要擺在那裡
[00:02:29.600 --> 00:02:30.800]  他去年說
[00:02:30.800 --> 00:02:32.400]  都馬上死了十幾二十人
[00:02:32.400 --> 00:02:33.500]  就是有衝突
[00:02:33.500 --> 00:02:35.100]  其實以巴
[00:02:35.100 --> 00:02:38.900]  只是反映世界其中一個地方
[00:02:38.900 --> 00:02:41.800]  最近哪個國家吵架呢?
[00:02:41.800 --> 00:02:44.300]  俄羅斯和英國
[00:02:44.300 --> 00:02:46.700]  之前俄羅斯和烏克蘭
[00:02:46.700 --> 00:02:50.300]  在歐洲的地方
[00:02:50.300 --> 00:02:52.400]  為了部署導彈
[00:02:52.400 --> 00:02:54.600]  在南北韓
[00:02:54.600 --> 00:02:55.900]  在南亞
[00:02:55.900 --> 00:02:57.000]  在南海
[00:02:57.400 --> 00:02:58.500]  全世界
[00:02:58.500 --> 00:02:59.500]  包括非洲
[00:02:59.500 --> 00:03:00.400]  南美洲
[00:03:00.400 --> 00:03:02.600]  到處都有很多軍事衝突
[00:03:02.600 --> 00:03:04.000]  兄弟姐妹
[00:03:04.000 --> 00:03:06.100]  聖經給我們的答案在哪裡呢?
[00:03:06.100 --> 00:03:07.700]  我想大家讀一讀
[00:03:07.700 --> 00:03:09.200]  在輔助經文的第一段
[00:03:09.200 --> 00:03:10.300]  約翰福音一章
[00:03:10.300 --> 00:03:13.800]  第十六和十七節
[00:03:13.800 --> 00:03:16.800]  耶穌基督是神給我們的答案
[00:03:16.800 --> 00:03:17.500]  我們一起讀
[00:03:17.500 --> 00:03:18.500]  預備起
[00:03:28.300 --> 00:03:29.300]  他說 律法
[00:03:29.300 --> 00:03:30.600]  神的標準
[00:03:30.600 --> 00:03:33.500]  就是指出人有什麼問題
[00:03:33.500 --> 00:03:35.600]  就好像一個探熱針
[00:03:35.600 --> 00:03:37.300]  好像一個血壓計
[00:03:37.300 --> 00:03:39.900]  好像一個醫療的檢查系統
[00:03:39.900 --> 00:03:41.100]  律法
[00:03:41.100 --> 00:03:42.600]  神透過摩西
[00:03:42.600 --> 00:03:43.700]  祂的僕人
[00:03:43.700 --> 00:03:45.100]  傳給我們
[00:03:45.100 --> 00:03:47.100]  傳給以前的以色列人
[00:03:47.100 --> 00:03:49.600]  神訂立了一些標準
[00:03:49.600 --> 00:03:51.100]  透過摩西
[00:03:51.100 --> 00:03:53.100]  帶給我們
[00:03:53.100 --> 00:03:54.100]  傳給我們
