
[00:00:00.000 --> 00:00:04.000]  他在戲裏面扮演很多不同的角色
[00:00:04.000 --> 00:00:09.000]  有忠、有奸、有些是好人、有些是壞人
[00:00:09.000 --> 00:00:11.000]  他每樣角色都做過
[00:00:11.000 --> 00:00:15.000]  有一天他做完戲卸妝的時候
[00:00:15.000 --> 00:00:17.000]  在鏡子上望着自己
[00:00:17.000 --> 00:00:19.000]  他突然間自言自語地問
[00:00:19.000 --> 00:00:24.000]  他說你一生人就做過很多不同的角色
[00:00:24.000 --> 00:00:27.000]  但有一個角色你從未演過
[00:00:27.000 --> 00:00:30.000]  那這個是什麼角色呢?
[00:00:30.000 --> 00:00:32.000]  你未曾做過你自己
[00:00:32.000 --> 00:00:36.000]  那你想想,做我自己?
[00:00:36.000 --> 00:00:38.000]  怎樣做我自己?
[00:00:38.000 --> 00:00:40.000]  劇本在哪裏?
[00:00:40.000 --> 00:00:42.000]  演員自然是我,對吧?
[00:00:42.000 --> 00:00:45.000]  那什麼叫做我自己呢?
[00:00:45.000 --> 00:00:47.000]  他突然間想到
[00:00:47.000 --> 00:00:50.000]  如果你心裏面有罪惡感
[00:00:50.000 --> 00:00:53.000]  有罪疚的時候
[00:00:53.000 --> 00:00:56.000]  肯定你不是扮演一個角色
[00:00:56.000 --> 00:00:59.000]  比如你要扮演希特拉
[00:00:59.000 --> 00:01:01.000]  你拍戲的時候
[00:01:01.000 --> 00:01:03.000]  你謀殺很多的猶太人
[00:01:03.000 --> 00:01:06.000]  你不會覺得是罪疚感
[00:01:06.000 --> 00:01:08.000]  因為你都不是希特拉
[00:01:08.000 --> 00:01:11.000]  你只不過是扮演希特拉的角色
[00:01:11.000 --> 00:01:15.000]  所以什麼時候你覺得有罪惡感
[00:01:15.000 --> 00:01:17.000]  記得是有內疚的時候
[00:01:17.000 --> 00:01:20.000]  那你就知道你是扮演自己
[00:01:20.000 --> 00:01:22.000]  那他就想一下
[00:01:22.000 --> 00:01:27.000]  有一晚,很黑,風很大
[00:01:27.000 --> 00:01:30.000]  他就拿了半瓶電油
[00:01:30.000 --> 00:01:32.000]  去到這個貧民區裏面
[00:01:32.000 --> 00:01:34.000]  放火
[00:01:34.000 --> 00:01:38.000]  一時之間,風成火勢
[00:01:38.000 --> 00:01:42.000]  砰砰聲,燒了所有的貧民區
[00:01:42.000 --> 00:01:47.000]  他見到很多的小孩大聲叫
[00:01:47.000 --> 00:01:49.000]  爸爸媽媽,你在哪裏?
[00:01:49.000 --> 00:01:51.000]  又見到爸爸媽媽問
[00:01:51.000 --> 00:01:53.000]  小孩,你在哪裏?
[00:01:53.000 --> 00:01:55.000]  很驚慌
[00:01:55.000 --> 00:01:57.000]  但這個人他發覺
[00:01:57.000 --> 00:01:59.000]  他好像看戲一樣
[00:01:59.000 --> 00:02:01.000]  無動於衷
[00:02:01.000 --> 00:02:03.000]  他就奇怪了
[00:02:03.000 --> 00:02:06.000]  為什麼我不會有內疚呢?
[00:02:06.000 --> 00:02:08.000]  難道我現在是在演戲?
[00:02:08.000 --> 00:02:10.000]  我去了哪裏?
[00:02:10.000 --> 00:02:13.000]  不行,我要再試多一次
[00:02:13.000 --> 00:02:17.000]  於是他就走到海邊的一個燈塔
[00:02:17.000 --> 00:02:19.000]  弄壞了燈塔
[00:02:19.000 --> 00:02:21.000]  殺了燈塔裏面的人
[00:02:21.000 --> 00:02:24.000]  有一艘船撞向潮石
[00:02:24.000 --> 00:02:27.000]  有很多人露海逃生
[00:02:27.000 --> 00:02:29.000]  在叫救命
[00:02:29.000 --> 00:02:32.000]  但這個人見到這樣的情景的時候
[00:02:32.000 --> 00:02:34.000]  竟然之間無動於衷
[00:02:34.000 --> 00:02:36.000]  他就瘋了一樣
[00:02:36.000 --> 00:02:38.000]  大聲地說
[00:02:38.000 --> 00:02:39.000]  我去了哪裏?
[00:02:39.000 --> 00:02:41.000]  我去了哪裏?
[00:02:41.000 --> 00:02:46.000]  這個故事當然是好像很荒謬
[00:02:46.000 --> 00:02:49.000]  但在某程度上
[00:02:49.000 --> 00:02:52.000]  我們個個都好像這個戲子一樣
[00:02:52.000 --> 00:02:54.000]  扮演一個角色
[00:02:54.000 --> 00:02:56.000]  個個不是真我
[00:02:56.000 --> 00:02:58.000]  很多時候
[00:02:58.000 --> 00:03:02.000]  我們叫做公眾的我
[00:03:02.000 --> 00:03:05.000]  但公眾的我不是一個真正的我
