
[00:00:00.000 --> 00:00:02.000]  (主席)各位姐妹,午安
[00:00:02.000 --> 00:00:05.000]  (主席)在講道之前,我們一同同心低頭禱告
[00:00:05.000 --> 00:00:11.000]  (主席)天父,我們多謝祢在終之主日
[00:00:11.000 --> 00:00:14.000]  (主席)我們一同回到教會敬拜
[00:00:14.000 --> 00:00:17.000]  (主席)上帝求祢預備我們的心靈與主同行
[00:00:17.000 --> 00:00:19.000]  (主席)在這個星期當中裏面
[00:00:19.000 --> 00:00:22.000]  (主席)讓我們心靈都能夠貼近主耶穌
[00:00:22.000 --> 00:00:25.000]  (主席)讓我們更加明白主祢的心意
[00:00:25.000 --> 00:00:28.000]  (主席)也更加看到主祢是一個為他人
[00:00:28.000 --> 00:00:30.000]  (主席)願意為人犧牲的主
[00:00:30.000 --> 00:00:32.000]  (主席)也是給我們生命的神
[00:00:32.000 --> 00:00:35.000]  (主席)主祢求祢用祢的說話去激勵我們
[00:00:35.000 --> 00:00:37.000]  (主席)鼓勵我們在教會當中
[00:00:37.000 --> 00:00:39.000]  (主席)用我們的恩賜彼此造就
[00:00:39.000 --> 00:00:41.000]  (主席)也造就教會
[00:00:41.000 --> 00:00:42.000]  (主席)榮耀祢的名
[00:00:42.000 --> 00:00:45.000]  (主席)我們這樣祈禱奉靠主耶穌基督的名字
[00:00:45.000 --> 00:00:46.000]  (主席)阿門
[00:00:46.000 --> 00:00:51.000]  (主席)教會很多時候有很多工作,很多事工
[00:00:51.000 --> 00:00:54.000]  (主席)當我們面對很多不同的工作的時候
[00:00:54.000 --> 00:00:56.000]  (主席)很多時候會有很多的聲音
[00:00:56.000 --> 00:00:58.000]  (主席)很多不同的意見
[00:00:58.000 --> 00:01:01.000]  (主席)有時候還會搞到很大件事
[00:01:01.000 --> 00:01:05.000]  (主席)於是我就想起
[00:01:05.000 --> 00:01:08.000]  (主席)教會最重要或者最激的是什麼呢?
[00:01:08.000 --> 00:01:11.000]  (主席)很多時候是建堂
[00:01:11.000 --> 00:01:14.000]  (主席)或者重建一間新的教堂
[00:01:14.000 --> 00:01:15.000]  (主席)於是我就怎樣呢?
[00:01:15.000 --> 00:01:22.000]  (主席)我就上互聯網上去尋找基督教建堂
[00:01:22.000 --> 00:01:24.000]  (主席)找這幾個關鍵字去找
[00:01:24.000 --> 00:01:28.000]  (主席)讓我找到原來也有很多新聞
[00:01:28.000 --> 00:01:32.000]  (主席)最近有一宗很大的新聞
[00:01:32.000 --> 00:01:36.000]  (主席)其實當中有一間教會
[00:01:36.000 --> 00:01:37.000]  (主席)它準備怎樣呢?
[00:01:37.000 --> 00:01:42.000]  (主席)它準備尋找那個地方重建教會
[00:01:42.000 --> 00:01:46.000]  (主席)當中在互聯網上有很多的新聞和資訊
[00:01:46.000 --> 00:01:49.000]  (主席)其實也應該不是新聞了
[00:01:49.000 --> 00:01:52.000]  (主席)應該是三年多前了
[00:01:52.000 --> 00:01:53.000]  (主席)是一些舊聞
[00:01:53.000 --> 00:01:56.000]  (主席)其實是跟我們很近的一間教會
[00:01:56.000 --> 00:01:57.000]  (主席)在我們附近
[00:01:57.000 --> 00:02:01.000]  (主席)它正在尋找另一個地方
[00:02:01.000 --> 00:02:03.000]  (主席)因為教會已經用了很久
[00:02:03.000 --> 00:02:06.000]  (主席)再重新建造一個新的教堂
