
[00:00:00.000 --> 00:00:06.000]  我們今天讀這段經文是《已忽所書》第一章第十四節
[00:00:06.000 --> 00:00:12.000]  大家家傳會語都知道萬母三遷的故事
[00:00:12.000 --> 00:00:17.000]  母親為著孩子知道那個環境對孩子的影響很大
[00:00:17.000 --> 00:00:20.000]  所以就幫她來去改變她的環境
[00:00:20.000 --> 00:00:22.000]  希望她有好的學習
[00:00:22.000 --> 00:00:25.000]  但其實更重要的就是她的新教
[00:00:25.000 --> 00:00:30.000]  當孩子從她的新教裏面更加經歷到母親對她的愛
[00:00:30.000 --> 00:00:35.000]  想起我兒子小時候
[00:00:35.000 --> 00:00:38.000]  他們很多時候我們大人做一些事
[00:00:38.000 --> 00:00:39.000]  他們都去模仿
[00:00:39.000 --> 00:00:41.000]  在不經不覺底下
[00:00:41.000 --> 00:00:44.000]  原來他已經在跟著我們所做的事
[00:00:44.000 --> 00:00:46.000]  很感謝主
[00:00:46.000 --> 00:00:49.000]  我大兒子兩年前結婚
[00:00:49.000 --> 00:00:57.000]  我最近發現原來他現在在家裏所煮的一些菜
[00:00:57.000 --> 00:00:59.000]  都是跟我以前煮的差不多
[00:00:59.000 --> 00:01:05.000]  甚至他那個行為的作息都是跟我們很相似
[00:01:05.000 --> 00:01:09.000]  他現在分開不是跟我們一起住
[00:01:09.000 --> 00:01:11.000]  他自己住一個地方是很小的
[00:01:11.000 --> 00:01:14.000]  但我發現他經常都招呼一些朋友
[00:01:14.000 --> 00:01:16.000]  帶一些年青人在他家裏
[00:01:16.000 --> 00:01:17.000]  甚至請他們吃飯
[00:01:17.000 --> 00:01:21.000]  他煮的那些菜就是我以前煮給他吃的那些
[00:01:21.000 --> 00:01:25.000]  甚至他那個款待的方法也都很相似
[00:01:25.000 --> 00:01:28.000]  在這個情況底下
[00:01:28.000 --> 00:01:32.000]  又讓我去想起原來我們作父母
[00:01:32.000 --> 00:01:33.000]  我們所表達的
[00:01:33.000 --> 00:01:36.000]  在我們所一切的事
[00:01:36.000 --> 00:01:41.000]  我們的兒女在我們的前沿文化底下都受影響
[00:01:41.000 --> 00:01:46.000]  所以兒女去效法父母是很自然的事
[00:01:46.000 --> 00:01:49.000]  今天在這段經文裏給我們學習
[00:01:49.000 --> 00:01:51.000]  我們作主的門徒
[00:01:51.000 --> 00:01:53.000]  我們去效法耶穌基督
[00:01:53.000 --> 00:01:56.000]  從第五章的第一節我們看到
[00:01:56.000 --> 00:02:02.000]  「所以你們該後發神,好像蒙慈愛的兒女一樣」
[00:02:02.000 --> 00:02:06.000]  在這段經文裏面有三節的「所以」
[00:02:06.000 --> 00:02:11.000]  「所以」這個「所以」就是承接我們上個禮拜的經文
[00:02:11.000 --> 00:02:15.000]  就是第四章的第三十二節
[00:02:15.000 --> 00:02:19.000]  「神在基督裏去饒恕了我們一樣」
[00:02:19.000 --> 00:02:22.000]  因為我們被基督饒恕了
[00:02:22.000 --> 00:02:25.000]  以致我們在神的角度裏面有份
[00:02:25.000 --> 00:02:28.000]  我們可以成為神的兒女
[00:02:28.000 --> 00:02:33.000]  在這裏保羅就更加去提醒
[00:02:33.000 --> 00:02:36.000]  我們因為已經和基督有份
[00:02:36.000 --> 00:02:38.000]  我們是一個新造的人
[00:02:38.000 --> 00:02:41.000]  舊時已過都變成新的了
[00:02:41.000 --> 00:02:43.000]  有一個新的生命
[00:02:43.000 --> 00:02:48.000]  以致我們可以去效法我們的神
[00:02:48.000 --> 00:02:52.000]  好像祂的聖情一樣
[00:02:52.000 --> 00:02:55.000]  在四章裏面都有提到
[00:02:55.000 --> 00:03:00.000]  祂的人意和聖潔是祂的聖情
[00:03:00.000 --> 00:03:02.000]  今日讓我們一齊去看
[00:03:02.000 --> 00:03:05.000]  我們怎樣去效法我們的神
