
[00:00:00.000 --> 00:00:03.240]  羅馬書三章二十三節 大家一起
[00:00:03.240 --> 00:00:05.920]  因為世人都犯了罪
[00:00:05.920 --> 00:00:08.120]  虧缺了神的榮耀
[00:00:08.120 --> 00:00:09.600]  好 我們做一個禱告
[00:00:09.600 --> 00:00:11.460]  前輩
[00:00:11.460 --> 00:00:15.200]  我們來到你的面前
[00:00:15.200 --> 00:00:18.480]  真的求你來幫助我們
[00:00:18.480 --> 00:00:20.080]  讓我們認識到
[00:00:20.080 --> 00:00:21.880]  我們在你面前
[00:00:21.880 --> 00:00:25.100]  是個罪人 我們需要你的幫助
[00:00:25.100 --> 00:00:27.360]  我們才能真正過一個
[00:00:27.800 --> 00:00:31.360]  心靈平安 內心平靜的生活
[00:00:31.360 --> 00:00:35.040]  大告奉靠我主耶穌基督 得聖了真名
[00:00:35.040 --> 00:00:38.680]  為什麼好人
[00:00:38.680 --> 00:00:40.600]  不能進天堂
[00:00:40.600 --> 00:00:43.580]  對於
[00:00:43.580 --> 00:00:47.280]  我相信對於我們
[00:00:47.280 --> 00:00:49.580]  從國內來的很多的年輕人
[00:00:49.580 --> 00:00:51.300]  或者說上過學的
[00:00:51.300 --> 00:00:54.440]  我們都是受無神論影響長大的
[00:00:55.660 --> 00:00:58.660]  當我們接觸到基督教的時候
[00:00:58.660 --> 00:01:02.400]  基督教給我們一個很明確的答案
[00:01:02.400 --> 00:01:05.100]  什麼樣的人才能進天堂呢
[00:01:05.100 --> 00:01:09.300]  跟我們之前說的 理解的好像有點不一樣
[00:01:09.300 --> 00:01:11.480]  基督教很明確地告訴我們說
[00:01:11.480 --> 00:01:16.100]  只有信耶穌的人才能進天堂
[00:01:16.100 --> 00:01:18.500]  我們就會有很多的辯論
[00:01:18.500 --> 00:01:20.660]  歸根一點 大家都會說
[00:01:20.660 --> 00:01:22.920]  為什麼好人不能進天堂呢
[00:01:22.920 --> 00:01:27.920]  我們就會舉出很多我們教科書上
[00:01:27.920 --> 00:01:30.120]  給我們說到的很多的好人
[00:01:30.120 --> 00:01:32.540]  比方說大家都會說的一個例子
[00:01:32.540 --> 00:01:34.260]  雷鋒都會辯論
[00:01:34.260 --> 00:01:36.520]  雷鋒這樣的人能不能進天堂呢
[00:01:36.520 --> 00:01:40.420]  說實話 我在這裡告訴你
[00:01:40.420 --> 00:01:43.100]  因為我不是神 我不能告訴你這個答案
[00:01:43.100 --> 00:01:46.980]  但是
[00:01:46.980 --> 00:01:48.900]  聖經告訴我們
[00:01:48.900 --> 00:01:51.360]  只有信耶穌的人
[00:01:52.340 --> 00:01:53.680]  才能進天堂
[00:01:53.680 --> 00:01:54.800]  為什麼呢
[00:01:54.800 --> 00:01:56.800]  因為在神的眼中
[00:01:56.800 --> 00:02:01.500]  是神都是罪人 沒有好人
[00:02:01.500 --> 00:02:03.200]  在神的眼中
[00:02:03.200 --> 00:02:05.200]  聖經裡面從來沒有
[00:02:05.200 --> 00:02:08.540]  用好人這個詞來描述人
[00:02:08.540 --> 00:02:10.540]  是因為給我們世人
[00:02:10.540 --> 00:02:12.940]  通通的一律的標準
[00:02:12.940 --> 00:02:13.940]  是什麼人呢
[00:02:13.940 --> 00:02:15.560]  罪人
[00:02:15.560 --> 00:02:18.820]  很多人很不服氣
[00:02:18.820 --> 00:02:22.540]  那麼首先問 我們常說好人
[00:02:22.540 --> 00:02:24.540]  你的好人的標準是什麼
[00:02:24.540 --> 00:02:27.540]  有沒有想過
[00:02:27.540 --> 00:02:29.540]  我們都會說這麼好的人
[00:02:29.540 --> 00:02:31.540]  像雷鋒這樣做好事的人
[00:02:31.540 --> 00:02:33.540]  怎麼不能進天堂呢
[00:02:33.540 --> 00:02:35.540]  那麼有沒有想過
[00:02:35.540 --> 00:02:37.540]  你說的好人的標準是什麼
[00:02:37.540 --> 00:02:38.540]  你有沒有發現
[00:02:38.540 --> 00:02:40.540]  當我們提到好人的時候
[00:02:40.540 --> 00:02:42.540]  都是仁者見仁 智者什麼
[00:02:42.540 --> 00:02:44.540]  見智
[00:02:44.540 --> 00:02:46.540]  別人常常問你
[00:02:46.540 --> 00:02:48.540]  你是不是一個好人
[00:02:49.540 --> 00:02:51.540]  我們問問自己
[00:02:51.540 --> 00:02:53.540]  我是不是一個好人
[00:02:53.540 --> 00:02:55.540]  我想大家都會說
[00:02:55.540 --> 00:02:57.540]  我怎麼不是一個好人呢
[00:02:57.540 --> 00:02:59.540]  好
[00:02:59.540 --> 00:03:01.540]  那麼我就舉一個例子
[00:03:01.540 --> 00:03:03.540]  舉個什麼例子呢
[00:03:03.540 --> 00:03:05.540]  九月份
[00:03:05.540 --> 00:03:07.540]  一個
[00:03:07.540 --> 00:03:09.540]  娛樂圈
[00:03:09.540 --> 00:03:11.540]  一個很轟動的一個
[00:03:11.540 --> 00:03:13.540]  新聞
[00:03:13.540 --> 00:03:15.540]  你知道我要舉哪個例子嗎
[00:03:15.540 --> 00:03:17.540]  啊
[00:03:17.540 --> 00:03:19.540]  好萊塢
[00:03:19.540 --> 00:03:21.540]  上百位明星的
