
[00:00:00.000 --> 00:00:05.000]  今天我們要講的這一段經文,跟我們的時代很像
[00:00:05.000 --> 00:00:12.000]  今日我們要講的經文,跟我們的時代是很相似的
[00:00:12.000 --> 00:00:18.000]  我們現在這個時代是很特別,很多事情發生
[00:00:18.000 --> 00:00:22.000]  我們現在的世代是很特別,很多事情發生
[00:00:22.000 --> 00:00:27.000]  我們知道人類歷史上總會發生一些奇怪的事情
[00:00:27.000 --> 00:00:31.000]  我們知道人類歷史上總會發生一些奇怪的事情
[00:00:31.000 --> 00:00:34.000]  但是一個最明顯的就是苦難或者說災難
[00:00:34.000 --> 00:00:38.000]  但是一個最明顯的就是苦難或者說災難
[00:00:38.000 --> 00:00:40.000]  有一些災難是民族性的
[00:00:40.000 --> 00:00:41.000]  有一些災難是民族性的
[00:00:41.000 --> 00:00:42.000]  有一些災難是民族性的
[00:00:42.000 --> 00:00:43.000]  有一些是國家性的
[00:00:43.000 --> 00:00:44.000]  有一些是國家性的
[00:00:44.000 --> 00:00:45.000]  當然也有個人性的
[00:00:45.000 --> 00:00:46.000]  當然也有個人性的
[00:00:46.000 --> 00:00:48.000]  還有一些是時代性的
[00:00:48.000 --> 00:00:49.000]  還有一些是時代性的
[00:00:49.000 --> 00:00:51.000]  有一些是全球性的
[00:00:51.000 --> 00:00:52.000]  有一些是全球性的
[00:00:52.000 --> 00:00:57.000]  所以我們從去年到現在所經歷的這場病毒的瘟疫
[00:00:57.000 --> 00:01:01.000]  所以我們從去年到現在所經歷的這場瘟疫
[00:01:01.000 --> 00:01:02.000]  所以我們從去年到現在所經歷的這場瘟疫
[00:01:02.000 --> 00:01:04.000]  它既是時代性的也是全球性的
[00:01:04.000 --> 00:01:06.000]  它既是時代性的也是全球性的
[00:01:06.000 --> 00:01:09.000]  也就是說它影響了整個的世界
[00:01:09.000 --> 00:01:11.000]  也就是說它影響了整個的世界
[00:01:11.000 --> 00:01:13.000]  影響了活在地球上的每一個人
[00:01:13.000 --> 00:01:16.000]  影響了活在地球上的每一個人
[00:01:16.000 --> 00:01:18.000]  所以這就給我們帶來思考
[00:01:18.000 --> 00:01:20.000]  所以是帶給我們一個思考
[00:01:20.000 --> 00:01:23.000]  所以這場災難不僅僅關乎我們一個人
[00:01:23.000 --> 00:01:26.000]  所以這場災難不僅僅是我們個人的
[00:01:26.000 --> 00:01:27.000]  所以這場災難不僅僅是我們個人的
[00:01:27.000 --> 00:01:30.000]  因為災難的發生可能很多事情也發生了變化
[00:01:30.000 --> 00:01:34.000]  因為災難的發生可能很多事情也發生了變化
[00:01:34.000 --> 00:01:36.000]  人對宗教信仰的看法
[00:01:36.000 --> 00:01:38.000]  人對宗教信仰的看法
[00:01:38.000 --> 00:01:40.000]  人對文化觀念的看法
[00:01:40.000 --> 00:01:42.000]  人對文化觀念的看法
[00:01:42.000 --> 00:01:46.000]  人對社會上很多發生的事情的看法
[00:01:46.000 --> 00:01:49.000]  人對社會上很多發生的事情的看法
[00:01:49.000 --> 00:01:53.000]  也就是說一場災難的發生會改變人的觀念
[00:01:53.000 --> 00:01:57.000]  所以一場災難的發生也會影響到人的觀念的改變
[00:01:57.000 --> 00:02:00.000]  也會改變人的價值觀
[00:02:00.000 --> 00:02:02.000]  也會改變人的價值觀
[00:02:02.000 --> 00:02:04.000]  甚至會改變人的宗教信仰
[00:02:04.000 --> 00:02:06.000]  甚至會改變人的宗教信仰
[00:02:06.000 --> 00:02:09.000]  當然也會改變你對政治的看法
[00:02:09.000 --> 00:02:11.000]  也會改變你對政治的看法
[00:02:11.000 --> 00:02:13.000]  也會改變你對人生的看法
