
[00:00:00.000 --> 00:00:01.320]  我們同心吐槽
[00:00:01.320 --> 00:00:06.800]  天父啊,是你的恩典實在何等奇妙
[00:00:06.800 --> 00:00:11.480]  當我們面對我們每一天的生活的時候
[00:00:11.480 --> 00:00:16.680]  主,我們求你讓我們在當中都體會你的恩典
[00:00:16.680 --> 00:00:21.080]  主,我們多謝你,你不單止恩典足夠
[00:00:21.080 --> 00:00:24.960]  你也賜下你的聖靈與我們同在
[00:00:24.960 --> 00:00:27.920]  賜下你的聖言、你的話語
[00:00:28.120 --> 00:00:30.960]  讓我們能夠繼續學習成長
[00:00:30.960 --> 00:00:33.600]  主,當我們翻開你的話的時候
[00:00:33.600 --> 00:00:36.240]  求你的靈就向我們每一個人說話
[00:00:36.240 --> 00:00:39.840]  讓我們在當中領受你的教導
[00:00:39.840 --> 00:00:43.040]  我們禱告奉耶穌基督德性的名求
[00:00:43.040 --> 00:00:43.960]  阿們
[00:00:43.960 --> 00:00:46.680]  弟兄姊妹,平安
[00:00:46.680 --> 00:00:50.920]  我不知道生活對你來說
[00:00:50.920 --> 00:00:55.280]  是開心多些還是不開心多些呢
[00:00:56.080 --> 00:00:58.960]  我想無論你多麼樂觀
[00:00:58.960 --> 00:01:03.320]  這三幾年疫情和社會的改變
[00:01:03.320 --> 00:01:08.120]  都會迫使我們不多不少面對一些艱難
[00:01:08.120 --> 00:01:12.920]  有時候聽到身邊認識的人因為疫情離世
[00:01:12.920 --> 00:01:16.720]  又或者近這幾個月全城都關注
[00:01:16.720 --> 00:01:21.520]  演唱會受傷的事件、地盤的意外
[00:01:21.520 --> 00:01:25.960]  都不斷提醒我們患難是很埋身的
[00:01:26.640 --> 00:01:30.800]  我們如何面對患難而活出敬畏上帝
[00:01:30.800 --> 00:01:33.480]  超越人生憂患的生命呢
[00:01:33.480 --> 00:01:38.560]  今天我想和大家在詩篇八十六篇裏面
[00:01:38.560 --> 00:01:41.280]  思考一下這個答案
[00:01:41.280 --> 00:01:47.120]  詩篇八十六篇我們先來慢慢一齊讀
[00:01:47.120 --> 00:01:51.800]  耶和華,求你則以應允我
[00:01:51.800 --> 00:01:54.240]  因我是困苦
[00:01:55.880 --> 00:01:58.400]  求你保存我的性命
[00:01:58.400 --> 00:02:00.920]  因我是虔誠人
[00:02:00.920 --> 00:02:02.560]  我的神啊
[00:02:02.560 --> 00:02:06.400]  求你拯救這依靠你的僕人
[00:02:06.400 --> 00:02:09.480]  主啊,求你憐憫我
[00:02:09.480 --> 00:02:12.280]  因我終日求告你
[00:02:12.280 --> 00:02:16.920]  主啊,求你使僕人心裡歡喜
[00:02:16.920 --> 00:02:20.000]  因為我的心仰望你
[00:02:20.000 --> 00:02:23.480]  主啊,你本為良善
[00:02:23.480 --> 00:02:25.480]  樂意饒恕人
[00:02:25.960 --> 00:02:30.600]  有豐盛的慈愛賜給凡求告你的人
[00:02:30.600 --> 00:02:35.360]  耶和華,求你留心聽我的禱告
[00:02:35.360 --> 00:02:38.400]  誰聽我懇求的聲音
[00:02:38.400 --> 00:02:42.320]  我在患難之日要求告你
[00:02:42.320 --> 00:02:45.160]  因為你必應允我
[00:02:45.160 --> 00:02:49.880]  主啊,天神之中沒有可比你的
[00:02:49.880 --> 00:02:52.960]  你的作為也無可比
[00:02:53.520 --> 00:02:58.240]  主啊,你所造的萬民都要來敬拜你
[00:02:58.240 --> 00:03:01.480]  他們也要榮耀你的名
[00:03:01.480 --> 00:03:05.880]  因為你偉大,且行奇妙的事
[00:03:05.880 --> 00:03:08.080]  唯獨你是神
[00:03:08.080 --> 00:03:12.880]  耶和華,求你將你的道指教我
[00:03:12.880 --> 00:03:15.720]  我要照你的真理行
