
[00:00:00.000 --> 00:00:01.400]  這份愛
[00:00:01.400 --> 00:00:04.360]  你拍拖有這份愛
[00:00:04.360 --> 00:00:08.120]  你的職場有這份愛
[00:00:08.120 --> 00:00:09.880]  在你的教會裏面
[00:00:09.880 --> 00:00:11.440]  團體裏面
[00:00:11.440 --> 00:00:14.760]  有這份耶穌基督的愛
[00:00:14.760 --> 00:00:17.200]  是多麼有福氣
[00:00:17.200 --> 00:00:20.920]  但在今時今日講愛很難講
[00:00:20.920 --> 00:00:24.600]  在後現代講愛我覺得是很難講
[00:00:24.600 --> 00:00:28.520]  難在因為後現代都不是很講理性
[00:00:28.520 --> 00:00:30.080]  很講感受
[00:00:30.080 --> 00:00:33.640]  我的感覺是怎樣
[00:00:33.640 --> 00:00:34.840]  但我們都要講愛
[00:00:34.840 --> 00:00:38.200]  因為聖經有很多地方都是流露
[00:00:38.200 --> 00:00:42.680]  耶穌基督的愛是一個情理兼備的愛
[00:00:42.680 --> 00:00:47.160]  我想起大約二十年前一件的我的經歷
[00:00:47.160 --> 00:00:50.520]  當時我在台灣公幹
[00:00:50.520 --> 00:00:53.280]  做完事之後就去台北機場
[00:00:53.280 --> 00:00:56.240]  打算坐飛機回香港
[00:00:56.240 --> 00:00:59.480]  在機場那裏碰到一個人
[00:00:59.480 --> 00:01:03.960]  一個女人主動走到我身邊
[00:01:03.960 --> 00:01:06.560]  她的口音是一個很純正的廣東話
[00:01:06.560 --> 00:01:08.760]  我相信是香港人
[00:01:08.760 --> 00:01:12.760]  她就告訴我她遺失了金錢
[00:01:12.760 --> 00:01:14.440]  她的錢都不見了
[00:01:14.440 --> 00:01:16.200]  流落在台北
[00:01:16.200 --> 00:01:18.120]  沒有人沒有物
[00:01:18.120 --> 00:01:20.320]  她的表情 她的語氣
[00:01:20.320 --> 00:01:21.960]  我今天回想
[00:01:21.960 --> 00:01:24.920]  提名金馬獎都應該有機會
[00:01:24.920 --> 00:01:27.640]  很逼真 很情詞狠切
[00:01:27.640 --> 00:01:30.040]  很迫切 很淒慘
[00:01:30.040 --> 00:01:32.400]  我問怎樣幫到你呢
[00:01:32.400 --> 00:01:35.680]  可不可以幫她回香港
[00:01:35.680 --> 00:01:40.280]  我就動了慈心在當時
[00:01:40.280 --> 00:01:45.080]  把我的銀包所有的台幣都給她
[00:01:45.080 --> 00:01:47.960]  大約是五千多元的台幣
[00:01:47.960 --> 00:01:50.840]  剛剛購買一張機票
[00:01:50.840 --> 00:01:53.160]  由台灣回香港
[00:01:53.160 --> 00:01:56.360]  這個女人就千多謝 萬多謝
[00:01:56.360 --> 00:01:58.240]  寫了一個電話
[00:01:58.240 --> 00:02:00.240]  你回來香港找我
[00:02:00.240 --> 00:02:03.680]  我一定會給你一筆錢
[00:02:03.680 --> 00:02:08.760]  於是我就自己上飛機回到香港
[00:02:08.760 --> 00:02:10.360]  我打這個電話
[00:02:10.360 --> 00:02:12.560]  我想大家都猜到
[00:02:12.560 --> 00:02:15.480]  這個永遠打不通的電話
[00:02:15.480 --> 00:02:18.960]  我相信是一個全真機的號碼
[00:02:18.960 --> 00:02:20.320]  我找了幾個月
[00:02:20.320 --> 00:02:22.640]  終於都放棄
[00:02:22.640 --> 00:02:25.320]  事隔二十年
[00:02:25.320 --> 00:02:27.440]  我經常都想起這件事
[00:02:27.440 --> 00:02:29.680]  發覺自己這種愛
[00:02:29.680 --> 00:02:31.680]  就是蠢得無比的愛
[00:02:31.680 --> 00:02:34.360]  不是情理兼備的愛
[00:02:34.360 --> 00:02:36.720]  簡直是傻子
[00:02:36.720 --> 00:02:40.920]  你明知 或者你知道他有需要
[00:02:40.920 --> 00:02:44.160]  但是否這樣去幫他呢
[00:02:44.160 --> 00:02:46.800]  是否這樣去愛他呢
[00:02:46.800 --> 00:02:48.200]  會不會可以問多些資料
[00:02:48.200 --> 00:02:52.920]  或者找當地的警方去幫助他呢
[00:02:52.920 --> 00:02:56.040]  所以愛就不是一腔熱誠
[00:02:56.040 --> 00:03:00.200]  一個我動了自心很想愛他
[00:03:00.200 --> 00:03:01.080]  不是這樣
[00:03:01.080 --> 00:03:06.200]  愛需要有智慧 有真理
[00:03:06.200 --> 00:03:07.880]  我們會一直講菲律賓書
[00:03:07.880 --> 00:03:10.160]  我上一次講就是一章一到二節
[00:03:10.160 --> 00:03:11.760]  一個信手語
[00:03:11.760 --> 00:03:16.440]  到今天會講一章的三到十一節
[00:03:16.440 --> 00:03:19.040]  就是保羅很常用的
[00:03:19.040 --> 00:03:23.200]  信手語之後他就會講一個感恩
[00:03:23.200 --> 00:03:24.600]  一個代禱
[00:03:24.600 --> 00:03:28.480]  所以這一段的內容是一個感恩的代禱
[00:03:28.480 --> 00:03:31.080]  或者感恩和代禱
