
[00:00:00.000 --> 00:00:02.000]  多謝施班一首很好的詩歌
[00:00:02.000 --> 00:00:04.000]  「愛心等候主」
[00:00:04.000 --> 00:00:08.000]  我常常覺得等候是一個很難
[00:00:08.000 --> 00:00:12.000]  並且很有挑戰性的一件事
[00:00:12.000 --> 00:00:16.000]  為甚麼要等候呢?
[00:00:16.000 --> 00:00:20.000]  即是你期待、希望出現的東西沒有出現
[00:00:20.000 --> 00:00:22.000]  你就要等候
[00:00:22.000 --> 00:00:24.000]  約了人七點九在門口
[00:00:24.000 --> 00:00:27.000]  如果來到七點九
[00:00:27.000 --> 00:00:30.000]  「噢!在這裡了!」就不用等候了
[00:00:30.000 --> 00:00:33.000]  但是七點九到八點還沒來呢?
[00:00:33.000 --> 00:00:35.000]  那就要等候
[00:00:35.000 --> 00:00:38.000]  等候是一個很不容易的功課
[00:00:38.000 --> 00:00:41.000]  即是你期待的東西沒有出現
[00:00:41.000 --> 00:00:43.000]  我不知道在你人生裡
[00:00:43.000 --> 00:00:45.000]  我們說等候主的時候
[00:00:45.000 --> 00:00:46.000]  我們說得多了
[00:00:46.000 --> 00:00:48.000]  但是我們能不能夠
[00:00:48.000 --> 00:00:53.000]  可以去期待出現的事情沒有出現的時候
[00:00:53.000 --> 00:00:55.000]  我們最主要仍然信靠
[00:00:55.000 --> 00:00:57.000]  以致我們可以
[00:00:57.000 --> 00:01:01.000]  有這種信任和耐心去等候
[00:01:01.000 --> 00:01:03.000]  大家記住
[00:01:03.000 --> 00:01:05.000]  我們等候的是主
[00:01:05.000 --> 00:01:07.000]  不是等候的朋友
[00:01:07.000 --> 00:01:09.000]  人都會有失約的
[00:01:09.000 --> 00:01:11.000]  如果你相信他是主的話
[00:01:11.000 --> 00:01:13.000]  他是不會失約的
[00:01:13.000 --> 00:01:15.000]  不過有時候你等候他
[00:01:15.000 --> 00:01:18.000]  那個就是一個挑戰和學習
[00:01:18.000 --> 00:01:21.000]  我們今天一樣是面對這段聖經的時候
[00:01:21.000 --> 00:01:24.000]  我相信當時候的讀者
[00:01:24.000 --> 00:01:27.000]  希伯來背景的弟兄姊妹
[00:01:27.000 --> 00:01:30.000]  都有相同的挑戰
[00:01:30.000 --> 00:01:32.000]  我們看希伯來書第十章
[00:01:32.000 --> 00:01:34.000]  我們剛才讀的那段聖經
[00:01:34.000 --> 00:01:37.000]  今天我們看中間兩段的經文
[00:01:37.000 --> 00:01:39.000]  剛才我們所讀了
[00:01:39.000 --> 00:01:41.000]  在希伯來書
[00:01:41.000 --> 00:01:44.000]  大家都知道我們一直都會讀希伯來書
[00:01:44.000 --> 00:01:47.000]  希伯來書的主要當時的讀者
[00:01:47.000 --> 00:01:49.000]  就是希伯來人
[00:01:49.000 --> 00:01:51.000]  希伯來人就是以色列人
[00:01:51.000 --> 00:01:55.000]  以色列人就是當時有很深的
[00:01:55.000 --> 00:01:58.000]  本來猶太教的背景的以色列人
[00:01:58.000 --> 00:02:00.000]  他皈信了耶穌基督
[00:02:00.000 --> 00:02:02.000]  希伯來書的作者就告訴他
[00:02:02.000 --> 00:02:04.000]  你信了耶穌之後
[00:02:04.000 --> 00:02:06.000]  生命很不同
[00:02:06.000 --> 00:02:08.000]  因為以前你不認識耶穌
[00:02:08.000 --> 00:02:10.000]  現在我想介紹給你知道
