
[00:00:00.000 --> 00:00:02.080]  今天我們看的聖經故事
[00:00:02.080 --> 00:00:06.160]  是我聖經裏面一個相當喜愛的故事
[00:00:06.160 --> 00:00:07.720]  為甚麼呢 因為這個故事
[00:00:07.720 --> 00:00:10.040]  無論你從哪個角度去看這個故事
[00:00:10.040 --> 00:00:14.880]  你都會得到很多寶貴的屬靈的教導
[00:00:14.880 --> 00:00:20.760]  今天我想從一個屬靈增薦的角度來看這個故事
[00:00:20.760 --> 00:00:24.960]  如果我們想看一個看不到
[00:00:24.960 --> 00:00:28.360]  但它是很真實的屬靈增薦的話
[00:00:28.360 --> 00:00:31.240]  我們一定要將這個故事連同
[00:00:31.240 --> 00:00:34.720]  之前剛剛發生的故事一起看
[00:00:34.720 --> 00:00:37.920]  大家記不記得今天我們所看的聖經故事
[00:00:37.920 --> 00:00:40.840]  之前是發生過甚麼事情
[00:00:40.840 --> 00:00:48.520]  之前發生了一個主耶穌平靜風浪的故事
[00:00:48.520 --> 00:00:52.320]  如果我們看第八章的二十二到二十五節
[00:00:52.320 --> 00:00:55.680]  主耶穌跟門徒說我們上這個船
[00:00:55.680 --> 00:00:57.880]  然後去到湖的那一邊
[00:00:57.880 --> 00:01:01.360]  在坐船的時候遇著風暴
[00:01:01.360 --> 00:01:08.040]  耶穌醒來就斥責風和浪
[00:01:08.040 --> 00:01:11.320]  風浪因此而平靜
[00:01:11.320 --> 00:01:18.040]  很明顯這個故事最主要和最明顯的一個訊息
[00:01:18.040 --> 00:01:25.400]  就是主耶穌是有平靜風雨和凌駕大自然的能力
[00:01:25.400 --> 00:01:30.840]  亦因為這個能力彰顯了主耶穌神聖的一面
[00:01:30.840 --> 00:01:33.720]  不過如果我們將風浪這個故事
[00:01:33.720 --> 00:01:36.640]  和今天趕鬼的這個故事
[00:01:36.640 --> 00:01:39.480]  兩個故事一同去看的時候
[00:01:39.480 --> 00:01:42.360]  我們會發覺我們可以看到一些
[00:01:42.360 --> 00:01:47.880]  單看一個故事而忽略的一些真理重點
[00:01:47.880 --> 00:01:51.960]  那你說這個甚麼重點這麼厲害
[00:01:51.960 --> 00:01:54.400]  或者我這樣問大家
[00:01:54.400 --> 00:01:55.960]  為甚麼這麼巧合
[00:01:55.960 --> 00:01:59.880]  主耶穌帶著門徒坐船的時候就有風和浪出現呢?
[00:01:59.880 --> 00:02:02.240]  就有暴風雨出現呢?
[00:02:02.240 --> 00:02:04.360]  是不是巧合呢?
[00:02:04.360 --> 00:02:07.880]  還是主耶穌是刻意安排這個風浪的來臨
[00:02:07.880 --> 00:02:12.800]  以致祂可以通過平靜風浪顯出祂神聖的一面呢?
[00:02:12.800 --> 00:02:18.240]  還是撒旦安排的呢?
[00:02:18.240 --> 00:02:20.560]  從經文我們所看
[00:02:20.560 --> 00:02:25.440]  我們知道主耶穌和祂的門徒坐船去哪裡?
[00:02:25.440 --> 00:02:28.400]  去格拉森林的地方
[00:02:28.400 --> 00:02:31.760]  普遍大家更加相信這是一個外邦人
[00:02:31.760 --> 00:02:34.320]  即是非猶太人所聚居的一個地方
[00:02:34.320 --> 00:02:35.840]  不單止這樣
[00:02:35.840 --> 00:02:37.360]  如果經文一路看的時候
[00:02:37.360 --> 00:02:38.560]  這個地方是甚麼?
[00:02:38.560 --> 00:02:39.600]  很多豬的
[00:02:39.600 --> 00:02:41.440]  養豬的地方
[00:02:41.440 --> 00:02:43.280]  根據《馬學福音》甚至說
[00:02:43.280 --> 00:02:45.800]  是有二千隻即是數以千計的豬
[00:02:45.800 --> 00:02:49.000]  在那裡是人們去養的
[00:02:49.000 --> 00:02:50.760]  大家要明白
[00:02:50.760 --> 00:02:51.640]  對猶太人來說
[00:02:51.640 --> 00:02:54.160]  豬是一種不潔的動物
[00:02:54.160 --> 00:02:55.160]  不潔淨的
